player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Nicolas Batum,batumni01,2024,1,994.0,1.0,2023-10-25,,,POR,"W, 123-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.3,-2.0
Nicolas Batum,batumni01,2024,2,995.0,2.0,2023-10-27,,,UTA,"L, 118-120",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,3.0,0.0,4.0,8.0,10.6,-4.0
Nicolas Batum,batumni01,2024,3,996.0,3.0,2023-10-29,,,SAS,"W, 123-83",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.9,6.0
Nicolas Batum,batumni01,2024,4,997.0,6.0,2023-11-06,,,WAS,"W, 146-128",,,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.1,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,11.0,10.3,30.0
Nicolas Batum,batumni01,2024,5,998.0,7.0,2023-11-08,,,BOS,"W, 106-103",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,5.0,6.3,7.0
Nicolas Batum,batumni01,2024,6,999.0,8.0,2023-11-10,,,DET,"W, 114-106",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,2.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,4.8,13.0
Nicolas Batum,batumni01,2024,7,1000.0,9.0,2023-11-12,,,IND,"W, 137-126",*,,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,,0.9,0.0,0.0,,2.0,5.0,7.0,0.0,1.0,3.0,1.0,2.0,9.0,10.9,1.0
Nicolas Batum,batumni01,2024,8,1001.0,13.0,2023-11-19,,,BRK,"W, 121-99",*,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,4.9,25.0
Nicolas Batum,batumni01,2024,9,1002.0,14.0,2023-11-21,,,CLE,"L, 119-122 (OT)",*,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,2.0,5.0,5.0,0.9,-3.0
Nicolas Batum,batumni01,2024,10,1003.0,15.0,2023-11-22,,,MIN,"L, 99-112",*,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,3.8,-23.0
Nicolas Batum,batumni01,2024,11,1004.0,16.0,2023-11-25,,,OKC,"W, 127-123",*,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,3.0,4.0,0.75,4.0,3.0,7.0,3.0,0.0,2.0,1.0,0.0,14.0,16.5,14.0
Nicolas Batum,batumni01,2024,12,1005.0,17.0,2023-11-27,,,LAL,"W, 138-94",*,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,0.0,0.0,,3.0,4.0,7.0,4.0,3.0,0.0,0.0,3.0,10.0,14.6,30.0
Nicolas Batum,batumni01,2024,13,1006.0,18.0,2023-11-29,,,NOP,"L, 114-124",*,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.6,-21.0
Nicolas Batum,batumni01,2024,14,1007.0,20.0,2023-12-06,,,WAS,"W, 131-126",*,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,4.0,7.0,0.571,1.0,5.0,6.0,5.0,0.0,0.0,0.0,2.0,9.0,10.7,7.0
Nicolas Batum,batumni01,2024,15,1008.0,21.0,2023-12-08,,,ATL,"W, 125-114",*,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,8.0,10.8,3.0
Nicolas Batum,batumni01,2024,16,1009.0,22.0,2023-12-11,,,WAS,"W, 146-101",*,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0,12.0
Nicolas Batum,batumni01,2024,17,1010.0,23.0,2023-12-13,,,DET,"W, 129-111",*,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,4.9,6.0
Nicolas Batum,batumni01,2024,18,1011.0,24.0,2023-12-15,,,DET,"W, 124-92",*,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,2.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,4.0,9.1,30.0
Nicolas Batum,batumni01,2024,19,1012.0,25.0,2023-12-16,,,CHO,"W, 135-82",*,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,3.5,24.0
Nicolas Batum,batumni01,2024,20,1013.0,26.0,2023-12-18,,,CHI,"L, 104-108",*,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,2.3,7.0
Nicolas Batum,batumni01,2024,21,1014.0,32.0,2023-12-30,,,CHI,"L, 92-105",,,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,9.0,6.9,-1.0
Nicolas Batum,batumni01,2024,22,1015.0,33.0,2024-01-02,,,CHI,"W, 110-97",*,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,6.0,6.0,18.0
Nicolas Batum,batumni01,2024,23,1016.0,34.0,2024-01-05,,,NYK,"L, 92-128",*,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,-1.2,-6.0
Nicolas Batum,batumni01,2024,24,1017.0,35.0,2024-01-06,,,UTA,"L, 109-120",*,,1.0,6.0,0.167,0.0,5.0,0.0,1.0,1.0,1.0,0.167,0.0,0.0,,1.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.8,-13.0
Nicolas Batum,batumni01,2024,25,1018.0,36.0,2024-01-10,,,ATL,"L, 132-139 (OT)",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,1.0,2.0,0.5,2.0,2.0,4.0,2.0,0.0,3.0,1.0,4.0,6.0,6.5,2.0
Nicolas Batum,batumni01,2024,26,1019.0,37.0,2024-01-12,,,SAC,"W, 112-93",*,,5.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.4,0.0,0.0,,3.0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,14.0,16.5,2.0
Nicolas Batum,batumni01,2024,27,1020.0,38.0,2024-01-15,,,HOU,"W, 124-115",*,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,2.0,3.0,5.0,3.0,2.0,1.0,0.0,2.0,5.0,7.2,0.0
Nicolas Batum,batumni01,2024,28,1021.0,39.0,2024-01-16,,,DEN,"W, 126-121",*,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,2.0,2.0,3.0,8.0,7.6,7.0
Nicolas Batum,batumni01,2024,29,1022.0,40.0,2024-01-19,,,ORL,"W, 124-109",*,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,2.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0,3.0,5.3,11.0
Nicolas Batum,batumni01,2024,30,1023.0,41.0,2024-01-20,,,CHO,"W, 97-89",*,,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,0.75,0.0,0.0,,3.0,2.0,5.0,1.0,2.0,2.0,0.0,1.0,9.0,12.8,11.0
Nicolas Batum,batumni01,2024,31,1024.0,42.0,2024-01-22,,,SAS,"W, 133-123",*,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,4.0,4.0,8.0,6.0,3.0,0.0,1.0,3.0,5.0,12.0,3.0
Nicolas Batum,batumni01,2024,32,1025.0,43.0,2024-01-25,,,IND,"L, 122-134",*,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,10.0,7.9,-14.0
Nicolas Batum,batumni01,2024,33,1026.0,44.0,2024-01-27,,,DEN,"L, 105-111",*,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,-0.3,-10.0
Nicolas Batum,batumni01,2024,34,1027.0,45.0,2024-01-29,,,POR,"L, 104-130",*,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,2.6,-19.0
Nicolas Batum,batumni01,2024,35,1028.0,55.0,2024-02-22,,,NYK,"L, 96-110",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,-1.4,-12.0
Nicolas Batum,batumni01,2024,36,1029.0,56.0,2024-02-23,,,CLE,"W, 104-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nicolas Batum,batumni01,2024,37,1030.0,57.0,2024-02-25,,,MIL,"L, 98-119",*,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.6,-13.0
Nicolas Batum,batumni01,2024,38,1031.0,58.0,2024-02-27,,,BOS,"L, 99-117",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,0.7,-4.0
Nicolas Batum,batumni01,2024,39,1032.0,59.0,2024-03-01,,,CHO,"W, 121-114",,,3.0,7.0,0.429,2.0,6.0,0.333,1.0,1.0,1.0,0.571,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,8.0,8.0,-4.0
Nicolas Batum,batumni01,2024,40,1033.0,60.0,2024-03-03,,,DAL,"W, 120-116",,,2.0,8.0,0.25,1.0,5.0,0.2,1.0,3.0,0.333,0.313,2.0,2.0,1.0,2.0,9.0,11.0,3.0,3.0,1.0,0.0,1.0,7.0,11.7,3.0
Nicolas Batum,batumni01,2024,41,1034.0,61.0,2024-03-05,,,BRK,"L, 107-112",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,0.0,0.0,,2.0,5.0,7.0,4.0,0.0,1.0,1.0,2.0,2.0,2.8,-1.0
Nicolas Batum,batumni01,2024,42,1035.0,62.0,2024-03-06,,,MEM,"L, 109-115",*,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,3.0,3.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,10.0,10.2,0.0
Nicolas Batum,batumni01,2024,43,1036.0,64.0,2024-03-10,,,NYK,"W, 79-73",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.0,5.0,3.0,2.0,0.0,1.0,2.0,0.0,2.4,18.0
