player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
MarJon Beauchamp,beaucma01,2024,1,53.0,1.0,2023-10-26,,,PHI,"W, 118-117",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.5,-3.0
MarJon Beauchamp,beaucma01,2024,2,54.0,2.0,2023-10-29,,,ATL,"L, 110-127",,,3.0,5.0,0.6,2.0,2.0,1.0,1.0,3.0,0.333,0.8,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,4.2,-2.0
MarJon Beauchamp,beaucma01,2024,3,55.0,4.0,2023-11-01,,,TOR,"L, 111-130",,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.9,5.0
MarJon Beauchamp,beaucma01,2024,4,56.0,5.0,2023-11-03,,,NYK,"W, 110-105",,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,13.0,11.3,5.0
MarJon Beauchamp,beaucma01,2024,5,57.0,6.0,2023-11-06,,,BRK,"W, 129-125",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,4.1,18.0
MarJon Beauchamp,beaucma01,2024,6,58.0,7.0,2023-11-08,,,DET,"W, 120-118",,,4.0,8.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,0.5,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,10.0,5.1,-25.0
MarJon Beauchamp,beaucma01,2024,7,59.0,8.0,2023-11-09,,,IND,"L, 124-126",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0
MarJon Beauchamp,beaucma01,2024,8,60.0,9.0,2023-11-11,,,ORL,"L, 97-112",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,1.0,3.0,0.333,1.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,5.0,-2.1,-19.0
MarJon Beauchamp,beaucma01,2024,9,61.0,10.0,2023-11-13,,,CHI,"W, 118-109",,,3.0,7.0,0.429,2.0,4.0,0.5,1.0,3.0,0.333,0.571,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,8.0,7.9,7.0
MarJon Beauchamp,beaucma01,2024,10,62.0,11.0,2023-11-15,,,TOR,"W, 128-112",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,3.6,2.0
MarJon Beauchamp,beaucma01,2024,11,63.0,15.0,2023-11-22,,,BOS,"L, 116-119",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,4.2,-7.0
MarJon Beauchamp,beaucma01,2024,12,64.0,16.0,2023-11-24,,,WAS,"W, 131-128",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.3,8.0
