player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Oshae Brissett,brissos01,2024,1,173.0,2.0,2023-10-27,,,MIA,"W, 119-111",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,1.3,7.0
Oshae Brissett,brissos01,2024,2,174.0,3.0,2023-10-30,,,WAS,"W, 126-107",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,-0.9,-10.0
Oshae Brissett,brissos01,2024,3,175.0,4.0,2023-11-01,,,IND,"W, 155-104",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.9,21.0
Oshae Brissett,brissos01,2024,4,176.0,5.0,2023-11-04,,,BRK,"W, 124-114",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,4.6,-13.0
Oshae Brissett,brissos01,2024,5,177.0,8.0,2023-11-10,,,BRK,"W, 121-107",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.6,-6.0
Oshae Brissett,brissos01,2024,6,178.0,9.0,2023-11-11,,,TOR,"W, 117-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
Oshae Brissett,brissos01,2024,7,179.0,14.0,2023-11-20,,,CHO,"L, 118-121 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,2.0,5.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,3.4,17.0
Oshae Brissett,brissos01,2024,8,180.0,16.0,2023-11-24,,,ORL,"L, 96-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.6,-11.0
Oshae Brissett,brissos01,2024,9,181.0,21.0,2023-12-08,,,NYK,"W, 133-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Oshae Brissett,brissos01,2024,10,182.0,24.0,2023-12-15,,,ORL,"W, 128-111",,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.125,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,11.0,7.6,-3.0
Oshae Brissett,brissos01,2024,11,183.0,25.0,2023-12-17,,,ORL,"W, 114-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.0
Oshae Brissett,brissos01,2024,12,184.0,26.0,2023-12-19,,,GSW,"L, 126-132 (OT)",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.1,1.0
Oshae Brissett,brissos01,2024,13,185.0,27.0,2023-12-20,,,SAC,"W, 144-119",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,6.4,4.0
Oshae Brissett,brissos01,2024,14,186.0,28.0,2023-12-23,,,LAC,"W, 145-108",,,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.1,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,11.7,12.0
Oshae Brissett,brissos01,2024,15,187.0,30.0,2023-12-28,,,DET,"W, 128-122 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9.0
Oshae Brissett,brissos01,2024,16,188.0,31.0,2023-12-29,,,TOR,"W, 120-118",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,2.0,5.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,2.9,3.0
Oshae Brissett,brissos01,2024,17,189.0,32.0,2023-12-31,,,SAS,"W, 134-101",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,1.0,0.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0,5.1,9.0
Oshae Brissett,brissos01,2024,18,190.0,34.0,2024-01-05,,,UTA,"W, 126-97",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,6.0,6.8,1.0
Oshae Brissett,brissos01,2024,19,191.0,35.0,2024-01-06,,,IND,"W, 118-101",,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,1.0,1.0,1.0,5.0,3.0,8.0,0.0,0.0,1.0,0.0,3.0,8.0,6.8,4.0
