player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
John Collins,collijo01,2024,1,365.0,1.0,2023-10-25,,,SAC,"L, 114-130",*,,6.0,11.0,0.545,1.0,3.0,0.333,5.0,8.0,0.625,0.591,2.0,2.0,1.0,3.0,8.0,11.0,2.0,1.0,0.0,0.0,3.0,15.0,15.4,-9.0
John Collins,collijo01,2024,2,366.0,2.0,2023-10-27,,,LAC,"W, 120-118",*,,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,4.0,4.0,1.0,5.0,7.0,12.0,0.0,0.0,1.0,0.0,4.0,13.0,11.6,-4.0
John Collins,collijo01,2024,3,367.0,3.0,2023-10-28,,,PHO,"L, 104-126",*,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,0.0,0.0,,5.0,5.0,10.0,3.0,0.0,0.0,1.0,3.0,11.0,11.6,-28.0
John Collins,collijo01,2024,4,368.0,4.0,2023-10-30,,,DEN,"L, 102-110",*,,7.0,16.0,0.438,1.0,3.0,0.333,6.0,13.0,0.462,0.469,0.0,3.0,0.0,3.0,6.0,9.0,1.0,1.0,0.0,0.0,3.0,15.0,9.8,-5.0
John Collins,collijo01,2024,5,369.0,5.0,2023-11-01,,,MEM,"W, 133-109",*,,5.0,12.0,0.417,2.0,5.0,0.4,3.0,7.0,0.429,0.5,4.0,6.0,0.667,2.0,2.0,4.0,2.0,2.0,0.0,1.0,2.0,16.0,12.4,21.0
John Collins,collijo01,2024,6,370.0,6.0,2023-11-02,,,ORL,"L, 113-115",*,,7.0,10.0,0.7,3.0,4.0,0.75,4.0,6.0,0.667,0.85,3.0,4.0,0.75,3.0,7.0,10.0,0.0,0.0,1.0,2.0,5.0,20.0,16.3,0.0
John Collins,collijo01,2024,7,371.0,7.0,2023-11-04,,,MIN,"L, 95-123",*,,5.0,10.0,0.5,1.0,5.0,0.2,4.0,5.0,0.8,0.55,3.0,4.0,0.75,2.0,4.0,6.0,0.0,1.0,1.0,2.0,5.0,14.0,8.9,-21.0
John Collins,collijo01,2024,8,372.0,8.0,2023-11-06,,,CHI,"L, 113-130",*,,6.0,9.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,0.722,1.0,1.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,2.0,5.0,14.0,9.3,-13.0
John Collins,collijo01,2024,9,373.0,9.0,2023-11-08,,,IND,"L, 118-134",*,,6.0,9.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,0.722,1.0,1.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,2.0,3.0,14.0,10.7,-7.0
John Collins,collijo01,2024,10,374.0,10.0,2023-11-10,,,MEM,"W, 127-121",*,,5.0,6.0,0.833,3.0,3.0,1.0,2.0,3.0,0.667,1.083,5.0,7.0,0.714,0.0,3.0,3.0,0.0,0.0,4.0,3.0,2.0,18.0,14.9,8.0
