player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Luka Dončić,doncilu01,2024,1,331.0,1.0,2023-10-25,,,SAS,"W, 126-119",*,,13.0,25.0,0.52,3.0,11.0,0.273,10.0,14.0,0.714,0.58,4.0,7.0,0.571,1.0,12.0,13.0,10.0,2.0,0.0,4.0,1.0,33.0,28.4,4.0
Luka Dončić,doncilu01,2024,2,332.0,2.0,2023-10-27,,,BRK,"W, 125-120",*,,16.0,25.0,0.64,9.0,14.0,0.643,7.0,11.0,0.636,0.82,8.0,10.0,0.8,1.0,9.0,10.0,7.0,0.0,0.0,0.0,1.0,49.0,45.0,9.0
Luka Dončić,doncilu01,2024,3,333.0,3.0,2023-10-30,,,MEM,"W, 125-110",*,,11.0,22.0,0.5,6.0,12.0,0.5,5.0,10.0,0.5,0.636,7.0,10.0,0.7,0.0,12.0,12.0,12.0,1.0,1.0,6.0,4.0,35.0,28.9,6.0
Luka Dončić,doncilu01,2024,4,334.0,4.0,2023-11-01,,,CHI,"W, 114-105",*,,5.0,16.0,0.313,1.0,8.0,0.125,4.0,8.0,0.5,0.344,7.0,9.0,0.778,0.0,7.0,7.0,10.0,2.0,1.0,6.0,2.0,18.0,13.0,11.0
Luka Dončić,doncilu01,2024,5,335.0,5.0,2023-11-03,,,DEN,"L, 114-125",*,,11.0,24.0,0.458,6.0,11.0,0.545,5.0,13.0,0.385,0.583,6.0,7.0,0.857,3.0,7.0,10.0,8.0,0.0,1.0,9.0,2.0,34.0,21.9,-4.0
Luka Dončić,doncilu01,2024,6,336.0,6.0,2023-11-05,,,CHO,"W, 124-118",*,,8.0,19.0,0.421,1.0,9.0,0.111,7.0,10.0,0.7,0.447,6.0,7.0,0.857,1.0,11.0,12.0,9.0,0.0,1.0,4.0,3.0,23.0,18.3,3.0
Luka Dončić,doncilu01,2024,7,337.0,7.0,2023-11-06,,,ORL,"W, 117-102",*,,9.0,17.0,0.529,5.0,10.0,0.5,4.0,7.0,0.571,0.676,6.0,6.0,1.0,0.0,3.0,3.0,6.0,2.0,0.0,6.0,2.0,29.0,21.0,7.0
Luka Dončić,doncilu01,2024,8,338.0,8.0,2023-11-08,,,TOR,"L, 116-127",*,,11.0,26.0,0.423,2.0,10.0,0.2,9.0,16.0,0.563,0.462,7.0,10.0,0.7,0.0,7.0,7.0,8.0,4.0,1.0,4.0,3.0,31.0,23.2,-7.0
Luka Dončić,doncilu01,2024,9,339.0,9.0,2023-11-10,,,LAC,"W, 144-126",*,,17.0,21.0,0.81,6.0,9.0,0.667,11.0,12.0,0.917,0.952,4.0,4.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,44.0,41.7,32.0
Luka Dončić,doncilu01,2024,10,340.0,10.0,2023-11-12,,,NOP,"W, 136-124",*,,11.0,18.0,0.611,4.0,9.0,0.444,7.0,9.0,0.778,0.722,4.0,5.0,0.8,0.0,4.0,4.0,9.0,1.0,0.0,2.0,0.0,30.0,27.9,14.0
Luka Dončić,doncilu01,2024,11,341.0,11.0,2023-11-14,,,NOP,"L, 110-131",*,,5.0,16.0,0.313,3.0,5.0,0.6,2.0,11.0,0.182,0.406,3.0,5.0,0.6,1.0,1.0,2.0,2.0,0.0,0.0,8.0,0.0,16.0,0.4,-26.0
Luka Dončić,doncilu01,2024,12,342.0,12.0,2023-11-15,,,WAS,"W, 130-117",*,,7.0,18.0,0.389,4.0,11.0,0.364,3.0,7.0,0.429,0.5,8.0,12.0,0.667,1.0,6.0,7.0,10.0,0.0,0.0,3.0,2.0,26.0,20.3,12.0
Luka Dončić,doncilu01,2024,13,343.0,13.0,2023-11-18,,,MIL,"L, 125-132",*,,15.0,26.0,0.577,4.0,9.0,0.444,11.0,17.0,0.647,0.654,1.0,4.0,0.25,1.0,8.0,9.0,9.0,0.0,0.0,3.0,1.0,35.0,27.6,-17.0
Luka Dončić,doncilu01,2024,14,344.0,14.0,2023-11-19,,,SAC,"L, 113-129",*,,7.0,19.0,0.368,3.0,7.0,0.429,4.0,12.0,0.333,0.447,8.0,10.0,0.8,1.0,9.0,10.0,7.0,3.0,0.0,2.0,0.0,25.0,23.0,-14.0
Luka Dončić,doncilu01,2024,15,345.0,15.0,2023-11-22,,,LAL,"W, 104-101",*,,10.0,26.0,0.385,3.0,12.0,0.25,7.0,14.0,0.5,0.442,7.0,8.0,0.875,0.0,12.0,12.0,8.0,2.0,0.0,0.0,2.0,30.0,25.8,-11.0
Luka Dončić,doncilu01,2024,16,346.0,16.0,2023-11-25,,,LAC,"L, 88-107",*,,12.0,27.0,0.444,1.0,8.0,0.125,11.0,19.0,0.579,0.463,5.0,5.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,30.0,17.4,-14.0
Luka Dončić,doncilu01,2024,17,347.0,17.0,2023-11-28,,,HOU,"W, 121-115",*,,15.0,29.0,0.517,3.0,10.0,0.3,12.0,19.0,0.632,0.569,8.0,9.0,0.889,0.0,9.0,9.0,9.0,2.0,0.0,0.0,3.0,41.0,36.1,12.0
Luka Dončić,doncilu01,2024,18,348.0,19.0,2023-12-02,,,OKC,"L, 120-126",*,,11.0,22.0,0.5,5.0,13.0,0.385,6.0,9.0,0.667,0.614,9.0,14.0,0.643,2.0,13.0,15.0,18.0,2.0,2.0,7.0,2.0,36.0,36.5,-7.0
Luka Dončić,doncilu01,2024,19,349.0,20.0,2023-12-06,,,UTA,"W, 147-97",*,,14.0,25.0,0.56,6.0,12.0,0.5,8.0,13.0,0.615,0.68,6.0,8.0,0.75,2.0,8.0,10.0,11.0,1.0,0.0,4.0,2.0,40.0,35.0,34.0
Luka Dončić,doncilu01,2024,20,350.0,21.0,2023-12-08,,,POR,"W, 125-112",*,,11.0,28.0,0.393,3.0,14.0,0.214,8.0,14.0,0.571,0.446,7.0,8.0,0.875,0.0,6.0,6.0,10.0,1.0,1.0,5.0,1.0,32.0,21.5,13.0
Luka Dončić,doncilu01,2024,21,351.0,22.0,2023-12-11,,,MEM,"W, 120-113",*,,9.0,21.0,0.429,5.0,10.0,0.5,4.0,11.0,0.364,0.548,12.0,13.0,0.923,0.0,8.0,8.0,6.0,2.0,2.0,3.0,3.0,35.0,29.3,3.0
Luka Dončić,doncilu01,2024,22,352.0,23.0,2023-12-12,,,LAL,"W, 127-125",*,,12.0,28.0,0.429,3.0,10.0,0.3,9.0,18.0,0.5,0.482,6.0,6.0,1.0,0.0,6.0,6.0,17.0,1.0,0.0,4.0,0.0,33.0,28.9,10.0
Luka Dončić,doncilu01,2024,23,353.0,24.0,2023-12-14,,,MIN,"L, 101-119",*,,15.0,27.0,0.556,2.0,7.0,0.286,13.0,20.0,0.65,0.593,7.0,7.0,1.0,1.0,5.0,6.0,13.0,2.0,0.0,8.0,2.0,39.0,30.6,-12.0
Luka Dončić,doncilu01,2024,24,354.0,25.0,2023-12-16,,,POR,"W, 131-120",*,,15.0,28.0,0.536,4.0,12.0,0.333,11.0,16.0,0.688,0.607,6.0,6.0,1.0,2.0,10.0,12.0,10.0,1.0,0.0,4.0,3.0,40.0,33.6,-4.0
Luka Dončić,doncilu01,2024,25,355.0,26.0,2023-12-18,,,DEN,"L, 104-130",*,,13.0,24.0,0.542,6.0,12.0,0.5,7.0,12.0,0.583,0.667,6.0,10.0,0.6,3.0,8.0,11.0,8.0,0.0,0.0,3.0,1.0,38.0,31.5,-29.0
Luka Dončić,doncilu01,2024,26,356.0,27.0,2023-12-20,,,LAC,"L, 111-120",*,,9.0,25.0,0.36,2.0,11.0,0.182,7.0,14.0,0.5,0.4,8.0,14.0,0.571,1.0,8.0,9.0,10.0,1.0,0.0,5.0,1.0,28.0,17.4,-4.0
