player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Luguentz Dort,dortlu01,2024,1,214.0,1.0,2023-10-25,,,CHI,"W, 124-104",*,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,0.0,0.0,,0.0,7.0,7.0,2.0,2.0,1.0,2.0,1.0,8.0,7.4,13.0
Luguentz Dort,dortlu01,2024,2,215.0,2.0,2023-10-27,,,CLE,"W, 108-105",*,,9.0,13.0,0.692,3.0,4.0,0.75,6.0,9.0,0.667,0.808,4.0,6.0,0.667,3.0,3.0,6.0,2.0,1.0,1.0,1.0,5.0,25.0,21.8,-6.0
Luguentz Dort,dortlu01,2024,3,216.0,3.0,2023-10-29,,,DEN,"L, 95-128",*,,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,0.5,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,7.9,-18.0
Luguentz Dort,dortlu01,2024,4,217.0,4.0,2023-10-30,,,DET,"W, 124-112",*,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,7.0,6.2,12.0
Luguentz Dort,dortlu01,2024,5,218.0,5.0,2023-11-01,,,NOP,"L, 106-110",*,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,9.0,4.7,-3.0
Luguentz Dort,dortlu01,2024,6,219.0,6.0,2023-11-03,,,GSW,"L, 139-141",*,,9.0,12.0,0.75,6.0,6.0,1.0,3.0,6.0,0.5,1.0,5.0,7.0,0.714,2.0,3.0,5.0,0.0,0.0,0.0,1.0,4.0,29.0,23.1,-5.0
Luguentz Dort,dortlu01,2024,7,220.0,7.0,2023-11-06,,,ATL,"W, 126-117",*,,6.0,10.0,0.6,2.0,5.0,0.4,4.0,5.0,0.8,0.7,5.0,5.0,1.0,2.0,7.0,9.0,3.0,0.0,2.0,2.0,1.0,19.0,19.0,7.0
Luguentz Dort,dortlu01,2024,8,221.0,8.0,2023-11-08,,,CLE,"W, 128-120",*,,3.0,9.0,0.333,3.0,5.0,0.6,0.0,4.0,0.0,0.5,5.0,6.0,0.833,1.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,14.0,12.1,-5.0
Luguentz Dort,dortlu01,2024,9,222.0,9.0,2023-11-10,,,SAC,"L, 98-105",*,,2.0,5.0,0.4,2.0,3.0,0.667,0.0,2.0,0.0,0.6,2.0,2.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,2.0,4.0,8.0,9.4,-11.0
Luguentz Dort,dortlu01,2024,10,223.0,10.0,2023-11-12,,,PHO,"W, 111-99",*,,3.0,10.0,0.3,0.0,5.0,0.0,3.0,5.0,0.6,0.3,3.0,4.0,0.75,2.0,4.0,6.0,1.0,2.0,1.0,0.0,5.0,9.0,6.8,8.0
Luguentz Dort,dortlu01,2024,11,224.0,11.0,2023-11-14,,,SAS,"W, 123-87",*,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,6.0,4.4,22.0
Luguentz Dort,dortlu01,2024,12,225.0,12.0,2023-11-16,,,GSW,"W, 128-109",*,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,2.1,-1.0
