player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevin Durant,duranke01,2024,1,987.0,1.0,2023-10-24,,,GSW,"W, 108-104",*,,7.0,22.0,0.318,1.0,2.0,0.5,6.0,20.0,0.3,0.341,3.0,5.0,0.6,2.0,9.0,11.0,3.0,0.0,1.0,2.0,1.0,18.0,9.1,0.0
Kevin Durant,duranke01,2024,2,988.0,2.0,2023-10-26,,,LAL,"L, 95-100",*,,14.0,28.0,0.5,1.0,5.0,0.2,13.0,23.0,0.565,0.518,10.0,13.0,0.769,0.0,11.0,11.0,2.0,1.0,1.0,8.0,2.0,39.0,21.4,18.0
Kevin Durant,duranke01,2024,3,989.0,3.0,2023-10-28,,,UTA,"W, 126-104",*,,8.0,11.0,0.727,1.0,4.0,0.25,7.0,7.0,1.0,0.773,9.0,9.0,1.0,0.0,4.0,4.0,7.0,1.0,1.0,2.0,1.0,26.0,26.9,30.0
Kevin Durant,duranke01,2024,4,990.0,4.0,2023-10-31,,,SAS,"L, 114-115",*,,12.0,19.0,0.632,1.0,3.0,0.333,11.0,16.0,0.688,0.658,1.0,2.0,0.5,0.0,2.0,2.0,7.0,2.0,0.0,5.0,0.0,26.0,19.6,3.0
Kevin Durant,duranke01,2024,5,991.0,5.0,2023-11-02,,,SAS,"L, 121-132",*,,10.0,15.0,0.667,3.0,5.0,0.6,7.0,10.0,0.7,0.767,5.0,9.0,0.556,0.0,6.0,6.0,1.0,0.0,2.0,3.0,3.0,28.0,19.6,-17.0
Kevin Durant,duranke01,2024,6,992.0,6.0,2023-11-04,,,PHI,"L, 100-112",*,,9.0,20.0,0.45,1.0,4.0,0.25,8.0,16.0,0.5,0.475,12.0,14.0,0.857,1.0,7.0,8.0,3.0,1.0,2.0,5.0,1.0,31.0,21.7,-13.0
Kevin Durant,duranke01,2024,7,993.0,7.0,2023-11-05,,,DET,"W, 120-106",*,,14.0,27.0,0.519,1.0,3.0,0.333,13.0,24.0,0.542,0.537,12.0,12.0,1.0,0.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,41.0,31.4,7.0
Kevin Durant,duranke01,2024,8,994.0,8.0,2023-11-08,,,CHI,"W, 116-115 (OT)",*,,7.0,16.0,0.438,2.0,5.0,0.4,5.0,11.0,0.455,0.5,9.0,9.0,1.0,1.0,6.0,7.0,9.0,2.0,1.0,6.0,2.0,25.0,21.3,5.0
Kevin Durant,duranke01,2024,9,995.0,9.0,2023-11-10,,,LAL,"L, 119-122",*,,13.0,27.0,0.481,4.0,6.0,0.667,9.0,21.0,0.429,0.556,8.0,10.0,0.8,1.0,8.0,9.0,5.0,0.0,0.0,4.0,4.0,38.0,24.5,8.0
Kevin Durant,duranke01,2024,10,996.0,10.0,2023-11-12,,,OKC,"L, 99-111",*,,7.0,18.0,0.389,3.0,5.0,0.6,4.0,13.0,0.308,0.472,11.0,11.0,1.0,0.0,9.0,9.0,4.0,1.0,2.0,3.0,1.0,28.0,22.7,-13.0
Kevin Durant,duranke01,2024,11,997.0,11.0,2023-11-15,,,MIN,"W, 133-115",*,,11.0,15.0,0.733,2.0,2.0,1.0,9.0,13.0,0.692,0.8,7.0,7.0,1.0,0.0,6.0,6.0,6.0,0.0,1.0,2.0,3.0,31.0,28.4,27.0
Kevin Durant,duranke01,2024,12,998.0,12.0,2023-11-17,,,UTA,"W, 131-128",*,,15.0,22.0,0.682,6.0,8.0,0.75,9.0,14.0,0.643,0.818,2.0,2.0,1.0,0.0,9.0,9.0,9.0,0.0,0.0,1.0,1.0,38.0,36.2,-8.0
Kevin Durant,duranke01,2024,13,999.0,13.0,2023-11-19,,,UTA,"W, 140-137 (2OT)",*,,14.0,27.0,0.519,4.0,9.0,0.444,10.0,18.0,0.556,0.593,7.0,7.0,1.0,0.0,8.0,8.0,10.0,2.0,2.0,7.0,2.0,39.0,30.7,4.0
Kevin Durant,duranke01,2024,14,1000.0,14.0,2023-11-21,,,POR,"W, 120-107",*,,13.0,21.0,0.619,2.0,2.0,1.0,11.0,19.0,0.579,0.667,3.0,3.0,1.0,0.0,4.0,4.0,9.0,0.0,1.0,3.0,4.0,31.0,25.1,20.0
Kevin Durant,duranke01,2024,15,1001.0,15.0,2023-11-22,,,GSW,"W, 123-115",*,,7.0,14.0,0.5,3.0,4.0,0.75,4.0,10.0,0.4,0.607,15.0,15.0,1.0,0.0,8.0,8.0,2.0,0.0,2.0,6.0,2.0,32.0,23.4,5.0
