player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tari Eason,easonta01,2024,1,83.0,7.0,2023-11-08,,,LAL,"W, 128-94",,,4.0,10.0,0.4,1.0,2.0,0.5,3.0,8.0,0.375,0.45,0.0,0.0,,4.0,5.0,9.0,2.0,0.0,1.0,2.0,1.0,9.0,7.6,5.0
Tari Eason,easonta01,2024,2,84.0,8.0,2023-11-10,,,NOP,"W, 104-101",,,1.0,8.0,0.125,0.0,2.0,0.0,1.0,6.0,0.167,0.125,0.0,0.0,,1.0,7.0,8.0,0.0,0.0,2.0,0.0,3.0,2.0,-0.2,-2.0
Tari Eason,easonta01,2024,3,85.0,9.0,2023-11-12,,,DEN,"W, 107-104",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,8.0,9.7,12.0
Tari Eason,easonta01,2024,4,86.0,10.0,2023-11-17,,,LAC,"L, 100-106",,,6.0,9.0,0.667,0.0,1.0,0.0,6.0,8.0,0.75,0.667,0.0,2.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,3.0,12.0,10.1,11.0
Tari Eason,easonta01,2024,5,87.0,11.0,2023-11-19,,,LAL,"L, 104-105",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,2.4,-18.0
Tari Eason,easonta01,2024,6,88.0,13.0,2023-11-22,,,MEM,"W, 111-91",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,6.0,7.2,24.0
Tari Eason,easonta01,2024,7,89.0,14.0,2023-11-24,,,DEN,"W, 105-86",,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,7.0,6.5,9.0
Tari Eason,easonta01,2024,8,90.0,15.0,2023-11-28,,,DAL,"L, 115-121",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,3.0,5.0,0.6,2.0,6.0,8.0,0.0,0.0,2.0,2.0,4.0,11.0,7.9,9.0
Tari Eason,easonta01,2024,9,91.0,16.0,2023-11-29,,,DEN,"L, 124-134",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.1,8.0
Tari Eason,easonta01,2024,10,92.0,17.0,2023-12-02,,,LAL,"L, 97-107",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,2.0,1.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,2.0,6.0,7.5,-4.0
