player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Aaron Gordon,gordoaa01,2024,1,597.0,1.0,2023-10-24,,,LAL,"W, 119-107",*,,7.0,11.0,0.636,1.0,2.0,0.5,6.0,9.0,0.667,0.682,0.0,0.0,,2.0,5.0,7.0,5.0,2.0,1.0,0.0,0.0,15.0,19.2,6.0
Aaron Gordon,gordoaa01,2024,2,598.0,2.0,2023-10-27,,,MEM,"W, 108-104",*,,5.0,11.0,0.455,0.0,1.0,0.0,5.0,10.0,0.5,0.455,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,10.0,8.5,8.0
Aaron Gordon,gordoaa01,2024,3,599.0,3.0,2023-10-29,,,OKC,"W, 128-95",*,,4.0,7.0,0.571,0.0,1.0,0.0,4.0,6.0,0.667,0.571,1.0,3.0,0.333,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,9.0,9.3,22.0
Aaron Gordon,gordoaa01,2024,4,600.0,4.0,2023-10-30,,,UTA,"W, 110-102",*,,10.0,12.0,0.833,0.0,0.0,,10.0,12.0,0.833,0.833,1.0,4.0,0.25,3.0,4.0,7.0,2.0,0.0,0.0,3.0,2.0,21.0,16.3,8.0
Aaron Gordon,gordoaa01,2024,5,601.0,5.0,2023-11-01,,,MIN,"L, 89-110",*,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,4.0,2.2,-13.0
Aaron Gordon,gordoaa01,2024,6,602.0,6.0,2023-11-03,,,DAL,"W, 125-114",*,,8.0,17.0,0.471,2.0,6.0,0.333,6.0,11.0,0.545,0.529,0.0,0.0,,2.0,6.0,8.0,6.0,2.0,1.0,4.0,2.0,18.0,14.6,22.0
Aaron Gordon,gordoaa01,2024,7,603.0,7.0,2023-11-04,,,CHI,"W, 123-101",*,,4.0,9.0,0.444,1.0,3.0,0.333,3.0,6.0,0.5,0.5,6.0,8.0,0.75,3.0,9.0,12.0,5.0,2.0,1.0,3.0,2.0,15.0,16.7,26.0
Aaron Gordon,gordoaa01,2024,8,604.0,8.0,2023-11-06,,,NOP,"W, 134-116",*,,7.0,11.0,0.636,0.0,2.0,0.0,7.0,9.0,0.778,0.636,1.0,2.0,0.5,5.0,7.0,12.0,6.0,0.0,1.0,2.0,1.0,15.0,17.8,8.0
Aaron Gordon,gordoaa01,2024,9,605.0,9.0,2023-11-08,,,GSW,"W, 108-105",*,,5.0,14.0,0.357,1.0,2.0,0.5,4.0,12.0,0.333,0.393,3.0,4.0,0.75,4.0,7.0,11.0,3.0,3.0,1.0,2.0,2.0,14.0,13.7,12.0
Aaron Gordon,gordoaa01,2024,10,606.0,10.0,2023-11-12,,,HOU,"L, 104-107",*,,6.0,10.0,0.6,1.0,2.0,0.5,5.0,8.0,0.625,0.65,3.0,6.0,0.5,1.0,7.0,8.0,5.0,0.0,2.0,2.0,2.0,16.0,15.1,8.0
