player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mouhamed Gueye,gueyemo01,2024,1,1.0,54.0,2024-02-12,,,SAS,"L, 99-122",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0
Mouhamed Gueye,gueyemo01,2024,2,2.0,62.0,2024-03-05,,,NOP,"L, 98-139",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6,-3.0
Mouhamed Gueye,gueyemo01,2024,3,3.0,69.0,2024-03-20,,,SAC,"L, 89-123",,,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,0.167,0.167,1.0,4.0,0.25,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,-2.7,-19.0
Mouhamed Gueye,gueyemo01,2024,4,4.0,70.0,2024-03-22,,,OKC,"L, 103-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
Mouhamed Gueye,gueyemo01,2024,5,5.0,71.0,2024-03-23,,,WAS,"L, 109-112",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,-9.0
Mouhamed Gueye,gueyemo01,2024,6,6.0,72.0,2024-03-25,,,BRK,"L, 88-96",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-8.0
Mouhamed Gueye,gueyemo01,2024,7,7.0,73.0,2024-03-27,,,NYK,"L, 101-145",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,-10.0
Mouhamed Gueye,gueyemo01,2024,8,8.0,74.0,2024-03-31,,,PHI,"L, 120-135",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.7,-5.0
Mouhamed Gueye,gueyemo01,2024,9,9.0,75.0,2024-04-02,,,LAL,"L, 111-128",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,6.0,1.6,-3.0
Mouhamed Gueye,gueyemo01,2024,10,10.0,76.0,2024-04-03,,,MIN,"L, 85-133",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,3.0,3.0,6.0,0.0,0.0,3.0,1.0,3.0,3.0,3.1,-24.0
Mouhamed Gueye,gueyemo01,2024,11,11.0,80.0,2024-04-10,,,BRK,"L, 102-106",,,1.0,7.0,0.143,0.0,0.0,,1.0,7.0,0.143,0.143,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,4.0,3.0,2.3,-4.0
