player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Isaiah Hartenstein,harteis01,2024,1,248.0,1.0,2023-10-25,,,BOS,"L, 104-108",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,5.0,3.0,8.0,2.0,0.0,0.0,1.0,5.0,7.0,7.8,-5.0
Isaiah Hartenstein,harteis01,2024,2,249.0,2.0,2023-10-27,,,ATL,"W, 126-120",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,4.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,8.0,6.4,-5.0
Isaiah Hartenstein,harteis01,2024,3,250.0,3.0,2023-10-28,,,NOP,"L, 87-96",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,4.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,4.9,-8.0
Isaiah Hartenstein,harteis01,2024,4,251.0,4.0,2023-10-31,,,CLE,"W, 109-91",,,5.0,10.0,0.5,0.0,2.0,0.0,5.0,8.0,0.625,0.5,3.0,3.0,1.0,4.0,3.0,7.0,1.0,2.0,1.0,1.0,3.0,13.0,12.9,12.0
Isaiah Hartenstein,harteis01,2024,5,252.0,5.0,2023-11-01,,,CLE,"L, 89-95",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,4.0,6.0,2.0,3.0,0.0,2.0,2.0,0.0,2.8,-5.0
Isaiah Hartenstein,harteis01,2024,6,253.0,6.0,2023-11-03,,,MIL,"L, 105-110",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,4.0,0.8,-1.0
Isaiah Hartenstein,harteis01,2024,7,254.0,7.0,2023-11-06,,,LAC,"W, 111-97",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,6.0,8.0,10.0
Isaiah Hartenstein,harteis01,2024,8,255.0,8.0,2023-11-08,,,SAS,"W, 126-105",,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,13.0,11.6,-7.0
Isaiah Hartenstein,harteis01,2024,9,256.0,9.0,2023-11-12,,,CHO,"W, 129-107",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,4.0,0.5,2.0,4.0,6.0,1.0,1.0,2.0,2.0,6.0,6.0,5.2,24.0
Isaiah Hartenstein,harteis01,2024,10,257.0,10.0,2023-11-13,,,BOS,"L, 98-114",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,5.8,-2.0
