player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Scoot Henderson,hendesc01,2024,1,1.0,1.0,2023-10-25,,,LAC,"L, 111-123",*,,5.0,11.0,0.455,0.0,3.0,0.0,5.0,8.0,0.625,0.455,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,4.0,2.0,11.0,4.6,-16.0
Scoot Henderson,hendesc01,2024,2,2.0,2.0,2023-10-27,,,ORL,"L, 97-102",*,,3.0,12.0,0.25,1.0,5.0,0.2,2.0,7.0,0.286,0.292,0.0,0.0,,2.0,1.0,3.0,2.0,1.0,0.0,5.0,5.0,7.0,-3.1,-3.0
Scoot Henderson,hendesc01,2024,3,3.0,3.0,2023-10-29,,,PHI,"L, 98-126",*,,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,1.0,4.0,5.0,4.0,-3.0,-17.0
Scoot Henderson,hendesc01,2024,4,4.0,4.0,2023-10-30,,,TOR,"W, 99-91",*,,4.0,12.0,0.333,0.0,6.0,0.0,4.0,6.0,0.667,0.333,3.0,4.0,0.75,0.0,4.0,4.0,7.0,2.0,0.0,4.0,6.0,11.0,5.5,1.0
Scoot Henderson,hendesc01,2024,5,5.0,5.0,2023-11-01,,,DET,"W, 110-101",*,,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,2.0,11.0,6.7,-11.0
Scoot Henderson,hendesc01,2024,6,6.0,15.0,2023-11-22,,,UTA,"W, 121-105",,,1.0,7.0,0.143,0.0,3.0,0.0,1.0,4.0,0.25,0.143,1.0,2.0,0.5,1.0,2.0,3.0,7.0,0.0,0.0,3.0,4.0,3.0,-0.3,15.0
Scoot Henderson,hendesc01,2024,7,7.0,16.0,2023-11-26,,,MIL,"L, 102-108",,,5.0,10.0,0.5,3.0,4.0,0.75,2.0,6.0,0.333,0.65,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,2.0,5.0,13.0,6.3,2.0
Scoot Henderson,hendesc01,2024,8,8.0,17.0,2023-11-27,,,IND,"W, 114-110",,,4.0,10.0,0.4,2.0,3.0,0.667,2.0,7.0,0.286,0.5,3.0,6.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,4.0,5.0,13.0,3.4,10.0
Scoot Henderson,hendesc01,2024,9,9.0,18.0,2023-11-30,,,CLE,"W, 103-95",,,1.0,8.0,0.125,0.0,5.0,0.0,1.0,3.0,0.333,0.125,0.0,0.0,,0.0,1.0,1.0,7.0,0.0,0.0,3.0,2.0,2.0,-1.8,12.0
Scoot Henderson,hendesc01,2024,10,10.0,19.0,2023-12-02,,,UTA,"L, 113-118 (OT)",,,6.0,15.0,0.4,2.0,5.0,0.4,4.0,10.0,0.4,0.467,3.0,4.0,0.75,2.0,3.0,5.0,3.0,1.0,0.0,2.0,5.0,17.0,9.9,-5.0
