player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Luke Kennard,kennalu01,2024,1,357.0,1.0,2023-10-25,,,NOP,"L, 104-111",,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.9,-14.0
Luke Kennard,kennalu01,2024,2,358.0,5.0,2023-11-01,,,UTA,"L, 109-133",,,1.0,9.0,0.111,1.0,8.0,0.125,0.0,1.0,0.0,0.167,0.0,0.0,,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.5,-19.0
Luke Kennard,kennalu01,2024,3,359.0,6.0,2023-11-03,,,POR,"L, 113-115 (OT)",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,1.0,7.0,8.0,3.0,0.0,0.0,0.0,1.0,5.0,5.4,-10.0
Luke Kennard,kennalu01,2024,4,360.0,7.0,2023-11-05,,,POR,"W, 112-100",,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,1.0,1.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,15.0,13.6,30.0
Luke Kennard,kennalu01,2024,5,361.0,8.0,2023-11-08,,,MIA,"L, 102-108",,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,13.0,10.0,7.0
Luke Kennard,kennalu01,2024,6,362.0,9.0,2023-11-10,,,UTA,"L, 121-127",,,5.0,11.0,0.455,4.0,9.0,0.444,1.0,2.0,0.5,0.636,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,14.0,9.6,-13.0
Luke Kennard,kennalu01,2024,7,363.0,10.0,2023-11-12,,,LAC,"W, 105-101",,,4.0,5.0,0.8,4.0,5.0,0.8,0.0,0.0,,1.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,13.0,13.4,-1.0
Luke Kennard,kennalu01,2024,8,364.0,11.0,2023-11-14,,,LAL,"L, 107-134",,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,-6.0
Luke Kennard,kennalu01,2024,9,365.0,32.0,2023-12-31,,,SAC,"L, 92-123",,,6.0,9.0,0.667,5.0,8.0,0.625,1.0,1.0,1.0,0.944,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,17.0,13.6,-7.0
Luke Kennard,kennalu01,2024,10,366.0,33.0,2024-01-02,,,SAS,"W, 106-98",,,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,,0.643,3.0,3.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,12.0,11.5,16.0
Luke Kennard,kennalu01,2024,11,367.0,34.0,2024-01-03,,,TOR,"L, 111-116",,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.2,-17.0
Luke Kennard,kennalu01,2024,12,368.0,35.0,2024-01-05,,,LAL,"W, 127-113",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.3,0.0
Luke Kennard,kennalu01,2024,13,369.0,36.0,2024-01-07,,,PHO,"W, 121-115",*,,3.0,5.0,0.6,3.0,3.0,1.0,0.0,2.0,0.0,0.9,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,9.0,8.9,2.0
Luke Kennard,kennalu01,2024,14,370.0,37.0,2024-01-09,,,DAL,"W, 120-103",*,,5.0,7.0,0.714,3.0,4.0,0.75,2.0,3.0,0.667,0.929,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,2.0,2.0,14.0,14.0,-3.0
Luke Kennard,kennalu01,2024,15,371.0,38.0,2024-01-12,,,LAC,"L, 119-128",*,,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,0.0,0.0,,1.0,6.0,7.0,6.0,0.0,0.0,1.0,2.0,11.0,12.6,-13.0
Luke Kennard,kennalu01,2024,16,372.0,39.0,2024-01-13,,,NYK,"L, 94-106",*,,6.0,13.0,0.462,2.0,8.0,0.25,4.0,5.0,0.8,0.538,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,14.0,8.8,-1.0
Luke Kennard,kennalu01,2024,17,373.0,40.0,2024-01-15,,,GSW,"W, 116-107",*,,2.0,9.0,0.222,2.0,7.0,0.286,0.0,2.0,0.0,0.333,5.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,11.0,9.6,15.0
Luke Kennard,kennalu01,2024,18,374.0,41.0,2024-01-18,,,MIN,"L, 103-118",*,,6.0,9.0,0.667,5.0,7.0,0.714,1.0,2.0,0.5,0.944,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,18.0,15.7,4.0
Luke Kennard,kennalu01,2024,19,375.0,42.0,2024-01-20,,,CHI,"L, 96-125",*,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,14.0,11.1,-15.0
