player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevin Knox,knoxke01,2024,1,276.0,11.0,2023-11-12,,,CHI,"L, 108-119",,,7.0,8.0,0.875,4.0,5.0,0.8,3.0,3.0,1.0,1.125,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,18.0,17.0,-3.0
Kevin Knox,knoxke01,2024,2,277.0,12.0,2023-11-14,,,ATL,"L, 120-126",,,5.0,8.0,0.625,2.0,4.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,12.0,7.5,-6.0
Kevin Knox,knoxke01,2024,3,278.0,13.0,2023-11-17,,,CLE,"L, 100-108",*,,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,0.55,0.0,0.0,,3.0,7.0,10.0,1.0,2.0,1.0,0.0,3.0,11.0,12.4,15.0
Kevin Knox,knoxke01,2024,4,279.0,14.0,2023-11-19,,,TOR,"L, 113-142",*,,2.0,11.0,0.182,1.0,5.0,0.2,1.0,6.0,0.167,0.227,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,2.0,3.0,6.0,-1.9,-22.0
Kevin Knox,knoxke01,2024,5,280.0,18.0,2023-11-29,,,LAL,"L, 107-133",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,4.0
Kevin Knox,knoxke01,2024,6,281.0,19.0,2023-11-30,,,NYK,"L, 112-118",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,-1.1,-10.0
Kevin Knox,knoxke01,2024,7,282.0,22.0,2023-12-08,,,ORL,"L, 91-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,-3.0
Kevin Knox,knoxke01,2024,8,283.0,23.0,2023-12-11,,,IND,"L, 123-131",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Kevin Knox,knoxke01,2024,9,284.0,24.0,2023-12-13,,,PHI,"L, 111-129",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,7.0,5.0,8.0
Kevin Knox,knoxke01,2024,10,285.0,26.0,2023-12-16,,,MIL,"L, 114-146",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.2,0.0
Kevin Knox,knoxke01,2024,11,286.0,29.0,2023-12-23,,,BRK,"L, 115-126",,,5.0,6.0,0.833,3.0,3.0,1.0,2.0,3.0,0.667,1.083,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,14.0,11.3,-11.0
Kevin Knox,knoxke01,2024,12,287.0,30.0,2023-12-26,,,BRK,"L, 112-118",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.1,-11.0
Kevin Knox,knoxke01,2024,13,288.0,31.0,2023-12-28,,,BOS,"L, 122-128 (OT)",*,,3.0,9.0,0.333,0.0,6.0,0.0,3.0,3.0,1.0,0.333,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,6.0,1.3,9.0
Kevin Knox,knoxke01,2024,14,289.0,32.0,2023-12-30,,,TOR,"W, 129-127",*,,7.0,14.0,0.5,3.0,8.0,0.375,4.0,6.0,0.667,0.607,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,17.0,11.9,1.0
Kevin Knox,knoxke01,2024,15,290.0,33.0,2024-01-01,,,HOU,"L, 113-136",*,,4.0,7.0,0.571,1.0,4.0,0.25,3.0,3.0,1.0,0.643,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,11.0,7.8,-5.0
Kevin Knox,knoxke01,2024,16,291.0,34.0,2024-01-03,,,UTA,"L, 148-154 (OT)",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,6.0
Kevin Knox,knoxke01,2024,17,292.0,35.0,2024-01-05,,,GSW,"L, 109-113",,,7.0,13.0,0.538,4.0,8.0,0.5,3.0,5.0,0.6,0.692,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,18.0,15.3,-6.0
Kevin Knox,knoxke01,2024,18,293.0,36.0,2024-01-07,,,DEN,"L, 114-131",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,3.0,4.0,0.75,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,-13.0
Kevin Knox,knoxke01,2024,19,294.0,37.0,2024-01-09,,,SAC,"L, 110-131",,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,8.0,3.9,-5.0
Kevin Knox,knoxke01,2024,20,295.0,38.0,2024-01-10,,,SAS,"L, 108-130",,,5.0,11.0,0.455,2.0,5.0,0.4,3.0,6.0,0.5,0.545,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,12.0,7.9,-17.0
Kevin Knox,knoxke01,2024,21,296.0,39.0,2024-01-12,,,HOU,"L, 110-112",*,,7.0,9.0,0.778,2.0,4.0,0.5,5.0,5.0,1.0,0.889,3.0,3.0,1.0,0.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,19.0,20.0,-1.0
Kevin Knox,knoxke01,2024,22,297.0,40.0,2024-01-15,,,WAS,"W, 129-117",*,,1.0,7.0,0.143,1.0,4.0,0.25,0.0,3.0,0.0,0.214,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.6,7.0
Kevin Knox,knoxke01,2024,23,298.0,41.0,2024-01-17,,,MIN,"L, 117-124",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,3.6,-13.0
Kevin Knox,knoxke01,2024,24,299.0,42.0,2024-01-20,,,MIL,"L, 135-141",*,,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,0.0,0.3,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.6,-22.0
Kevin Knox,knoxke01,2024,25,300.0,43.0,2024-01-22,,,MIL,"L, 113-122",*,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.1,-6.0
Kevin Knox,knoxke01,2024,26,301.0,44.0,2024-01-24,,,CHO,"W, 113-106",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,6.0
Kevin Knox,knoxke01,2024,27,302.0,45.0,2024-01-27,,,WAS,"L, 104-118",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.9,-10.0
Kevin Knox,knoxke01,2024,28,303.0,46.0,2024-01-28,,,OKC,"W, 120-104",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,6.0,3.5,4.0
Kevin Knox,knoxke01,2024,29,304.0,47.0,2024-01-31,,,CLE,"L, 121-128",,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,12.0,7.6,4.0
Kevin Knox,knoxke01,2024,30,305.0,48.0,2024-02-02,,,LAC,"L, 125-136",*,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,-0.9,16.0
Kevin Knox,knoxke01,2024,31,306.0,49.0,2024-02-04,,,ORL,"L, 99-111",*,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.5,1.0
