player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Leonard Miller,millele01,2024,1,1.0,2.0,2023-10-28,,,MIA,"W, 106-90",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-7.0
Leonard Miller,millele01,2024,2,2.0,14.0,2023-11-22,,,PHI,"W, 112-99",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,-1.0
Leonard Miller,millele01,2024,3,3.0,16.0,2023-11-26,,,MEM,"W, 119-97",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0
Leonard Miller,millele01,2024,4,4.0,29.0,2023-12-26,,,OKC,"L, 106-129",,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.167,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.4,-1.0
Leonard Miller,millele01,2024,5,5.0,38.0,2024-01-12,,,POR,"W, 116-93",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,2.5,-9.0
Leonard Miller,millele01,2024,6,6.0,52.0,2024-02-08,,,MIL,"W, 129-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,1.0
Leonard Miller,millele01,2024,7,7.0,55.0,2024-02-15,,,POR,"W, 128-91",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,8.0
Leonard Miller,millele01,2024,8,8.0,66.0,2024-03-12,,,LAC,"W, 118-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,-2.0
Leonard Miller,millele01,2024,9,9.0,67.0,2024-03-16,,,UTA,"W, 119-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0
Leonard Miller,millele01,2024,10,10.0,72.0,2024-03-27,,,DET,"W, 106-91",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Leonard Miller,millele01,2024,11,11.0,73.0,2024-03-29,,,DEN,"W, 111-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Leonard Miller,millele01,2024,12,12.0,76.0,2024-04-03,,,TOR,"W, 133-85",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,7.1,7.0
Leonard Miller,millele01,2024,13,13.0,77.0,2024-04-05,,,PHO,"L, 87-97",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,12.0
Leonard Miller,millele01,2024,14,14.0,78.0,2024-04-07,,,LAL,"W, 127-117",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Leonard Miller,millele01,2024,15,15.0,79.0,2024-04-09,,,WAS,"W, 130-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Leonard Miller,millele01,2024,16,16.0,80.0,2024-04-10,,,DEN,"L, 107-116",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,3.2,7.0
Leonard Miller,millele01,2024,17,17.0,82.0,2024-04-14,,,PHO,"L, 106-125",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0
