player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Patty Mills,millspa02,2024,1,861.0,15.0,2023-11-25,,,WAS,"W, 136-108",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,-2.0
Patty Mills,millspa02,2024,2,862.0,21.0,2023-12-08,,,PHI,"L, 114-125",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.2,1.0
Patty Mills,millspa02,2024,3,863.0,24.0,2023-12-15,,,TOR,"W, 125-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Patty Mills,millspa02,2024,4,864.0,25.0,2023-12-16,,,CLE,"L, 119-127",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.8,-1.0
Patty Mills,millspa02,2024,5,865.0,28.0,2023-12-22,,,MIA,"L, 113-122",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,0.8,-2.0
Patty Mills,millspa02,2024,6,866.0,31.0,2023-12-29,,,SAC,"L, 110-117",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-11.0
Patty Mills,millspa02,2024,7,867.0,32.0,2023-12-31,,,WAS,"W, 130-126",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,17.0
Patty Mills,millspa02,2024,8,868.0,36.0,2024-01-10,,,PHI,"W, 139-132 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,0.0
Patty Mills,millspa02,2024,9,869.0,37.0,2024-01-12,,,IND,"L, 108-126",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.6,-11.0
Patty Mills,millspa02,2024,10,870.0,41.0,2024-01-19,,,MIA,"W, 109-108",,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,4.0,11.0,9.1,-7.0
Patty Mills,millspa02,2024,11,871.0,42.0,2024-01-20,,,CLE,"L, 95-116",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,5.3,3.0
Patty Mills,millspa02,2024,12,872.0,43.0,2024-01-22,,,SAC,"L, 107-122",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.3,-2.0
Patty Mills,millspa02,2024,13,873.0,44.0,2024-01-24,,,GSW,"L, 112-134",,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,13.0,9.4,-13.0
Patty Mills,millspa02,2024,14,874.0,45.0,2024-01-26,,,DAL,"L, 143-148",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
Patty Mills,millspa02,2024,15,875.0,46.0,2024-01-28,,,TOR,"W, 126-125",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6,-18.0
