player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Davion Mitchell,mitchda01,2024,1,156.0,1.0,2023-10-25,,,UTA,"W, 130-114",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,-0.6,4.0
Davion Mitchell,mitchda01,2024,2,157.0,2.0,2023-10-27,,,GSW,"L, 114-122",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,-2.8,-8.0
Davion Mitchell,mitchda01,2024,3,158.0,3.0,2023-10-29,,,LAL,"W, 132-127 (OT)",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,5.0,3.4,-17.0
Davion Mitchell,mitchda01,2024,4,159.0,4.0,2023-11-01,,,GSW,"L, 101-102",*,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,0.0,0.0,,0.0,3.0,3.0,4.0,3.0,0.0,2.0,1.0,13.0,13.0,-3.0
Davion Mitchell,mitchda01,2024,5,160.0,5.0,2023-11-04,,,HOU,"L, 89-107",*,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,3.0,3.0,5.0,0.0,1.0,1.0,3.0,7.0,6.2,-13.0
Davion Mitchell,mitchda01,2024,6,161.0,6.0,2023-11-06,,,HOU,"L, 97-122",*,,2.0,11.0,0.182,1.0,5.0,0.2,1.0,6.0,0.167,0.227,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,0.1,-30.0
Davion Mitchell,mitchda01,2024,7,162.0,7.0,2023-11-08,,,POR,"W, 121-118 (OT)",,,6.0,9.0,0.667,3.0,4.0,0.75,3.0,5.0,0.6,0.833,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,16.0,11.3,3.0
Davion Mitchell,mitchda01,2024,8,163.0,8.0,2023-11-10,,,OKC,"W, 105-98",,,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,-0.2,1.0
Davion Mitchell,mitchda01,2024,9,164.0,12.0,2023-11-19,,,DAL,"W, 129-113",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-3.4,1.0
Davion Mitchell,mitchda01,2024,10,165.0,13.0,2023-11-20,,,NOP,"L, 93-129",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,4.8,-4.0
