player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Moses Moody,moodymo01,2024,1,116.0,1.0,2023-10-24,,,PHO,"L, 104-108",,,4.0,6.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.833,1.0,2.0,0.5,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,11.0,11.6,-6.0
Moses Moody,moodymo01,2024,2,117.0,2.0,2023-10-27,,,SAC,"W, 122-114",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,10.0,11.7,11.0
Moses Moody,moodymo01,2024,3,118.0,3.0,2023-10-29,,,HOU,"W, 106-95",,,1.0,6.0,0.167,1.0,5.0,0.2,0.0,1.0,0.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,3.1,11.0
Moses Moody,moodymo01,2024,4,119.0,4.0,2023-10-30,,,NOP,"W, 130-102",*,,5.0,8.0,0.625,2.0,5.0,0.4,3.0,3.0,1.0,0.75,1.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,13.0,13.9,18.0
Moses Moody,moodymo01,2024,5,120.0,5.0,2023-11-01,,,SAC,"W, 102-101",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.3,-5.0
Moses Moody,moodymo01,2024,6,121.0,6.0,2023-11-03,,,OKC,"W, 141-139",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,8.0,5.2,4.0
Moses Moody,moodymo01,2024,7,122.0,7.0,2023-11-05,,,CLE,"L, 104-115",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,2.8,-1.0
Moses Moody,moodymo01,2024,8,123.0,8.0,2023-11-06,,,DET,"W, 120-109",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,6.0,8.0
Moses Moody,moodymo01,2024,9,124.0,9.0,2023-11-08,,,DEN,"L, 105-108",,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,10.0,9.3,6.0
Moses Moody,moodymo01,2024,10,125.0,10.0,2023-11-11,,,CLE,"L, 110-118",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,8.0,6.4,2.0
Moses Moody,moodymo01,2024,11,126.0,11.0,2023-11-12,,,MIN,"L, 110-116",,,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.9,-10.0
