player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Gary Payton II,paytoga01,2024,1,165.0,1.0,2023-10-24,,,PHO,"L, 104-108",,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.7,15.0
Gary Payton II,paytoga01,2024,2,166.0,2.0,2023-10-27,,,SAC,"W, 122-114",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,7.0,3.5,-3.0
Gary Payton II,paytoga01,2024,3,167.0,3.0,2023-10-29,,,HOU,"W, 106-95",,,6.0,8.0,0.75,3.0,4.0,0.75,3.0,4.0,0.75,0.938,0.0,0.0,,0.0,4.0,4.0,1.0,3.0,1.0,0.0,1.0,15.0,17.0,13.0
Gary Payton II,paytoga01,2024,4,168.0,4.0,2023-10-30,,,NOP,"W, 130-102",,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,10.0,7.4,17.0
Gary Payton II,paytoga01,2024,5,169.0,5.0,2023-11-01,,,SAC,"W, 102-101",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,3.3,5.0
Gary Payton II,paytoga01,2024,6,170.0,6.0,2023-11-03,,,OKC,"W, 141-139",,,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,0.75,0.0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,9.0,8.2,9.0
Gary Payton II,paytoga01,2024,7,171.0,7.0,2023-11-05,,,CLE,"L, 104-115",,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,2.2,-10.0
Gary Payton II,paytoga01,2024,8,172.0,8.0,2023-11-06,,,DET,"W, 120-109",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,4.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,6.0,8.3,11.0
Gary Payton II,paytoga01,2024,9,173.0,10.0,2023-11-11,,,CLE,"L, 110-118",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1.5,-12.0
Gary Payton II,paytoga01,2024,10,174.0,11.0,2023-11-12,,,MIN,"L, 110-116",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,4.0,5.0,-2.0
Gary Payton II,paytoga01,2024,11,175.0,12.0,2023-11-14,,,MIN,"L, 101-104",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,7.0,-3.0
Gary Payton II,paytoga01,2024,12,176.0,13.0,2023-11-16,,,OKC,"L, 109-128",,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.9,-12.0
Gary Payton II,paytoga01,2024,13,177.0,17.0,2023-11-24,,,SAS,"W, 118-112",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,4.0,1.7,0.0
Gary Payton II,paytoga01,2024,14,178.0,18.0,2023-11-28,,,SAC,"L, 123-124",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,1.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,7.0,8.5,-9.0
Gary Payton II,paytoga01,2024,15,179.0,32.0,2023-12-30,,,DAL,"L, 122-132",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,-0.2,-1.0
Gary Payton II,paytoga01,2024,16,180.0,33.0,2024-01-02,,,ORL,"W, 121-115",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,-0.5,10.0
Gary Payton II,paytoga01,2024,17,181.0,50.0,2024-02-10,,,PHO,"W, 113-112",,,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.1,0.0,0.0,,2.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,11.0,13.8,-2.0
Gary Payton II,paytoga01,2024,18,182.0,51.0,2024-02-12,,,UTA,"W, 129-107",,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.125,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,10.8,9.0
Gary Payton II,paytoga01,2024,19,183.0,52.0,2024-02-14,,,LAC,"L, 125-130",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.9,3.0
Gary Payton II,paytoga01,2024,20,184.0,53.0,2024-02-15,,,UTA,"W, 140-137",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,5.3,7.0
Gary Payton II,paytoga01,2024,21,185.0,55.0,2024-02-23,,,CHO,"W, 97-84",,,5.0,8.0,0.625,1.0,2.0,0.5,4.0,6.0,0.667,0.688,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,8.6,6.0
Gary Payton II,paytoga01,2024,22,186.0,56.0,2024-02-25,,,DEN,"L, 103-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,4.3,7.0
Gary Payton II,paytoga01,2024,23,187.0,57.0,2024-02-27,,,WAS,"W, 123-112",,,6.0,10.0,0.6,1.0,1.0,1.0,5.0,9.0,0.556,0.65,0.0,0.0,,4.0,0.0,4.0,2.0,3.0,1.0,1.0,1.0,13.0,14.9,7.0
Gary Payton II,paytoga01,2024,24,188.0,58.0,2024-02-29,,,NYK,"W, 110-99",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.5,-12.0
Gary Payton II,paytoga01,2024,25,189.0,59.0,2024-03-01,,,TOR,"W, 120-105",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,6.1,0.0
Gary Payton II,paytoga01,2024,26,190.0,60.0,2024-03-03,,,BOS,"L, 88-140",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,3.0,1.0,6.0,3.6,-23.0
Gary Payton II,paytoga01,2024,27,191.0,61.0,2024-03-06,,,MIL,"W, 125-90",,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.125,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,9.0,9.6,19.0
Gary Payton II,paytoga01,2024,28,192.0,62.0,2024-03-07,,,CHI,"L, 122-125",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.4,2.0
