player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Pickett,pickeja01,2024,1,1.0,1.0,2023-10-24,,,LAL,"W, 119-107",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.0
Jalen Pickett,pickeja01,2024,2,2.0,5.0,2023-11-01,,,MIN,"L, 89-110",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.2,0.0
Jalen Pickett,pickeja01,2024,3,3.0,7.0,2023-11-04,,,CHI,"W, 123-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-1.0
Jalen Pickett,pickeja01,2024,4,4.0,8.0,2023-11-06,,,NOP,"W, 134-116",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0
Jalen Pickett,pickeja01,2024,5,5.0,11.0,2023-11-14,,,LAC,"W, 111-108",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,3.9,-4.0
Jalen Pickett,pickeja01,2024,6,6.0,12.0,2023-11-17,,,NOP,"L, 110-115",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.2,9.0
Jalen Pickett,pickeja01,2024,7,7.0,13.0,2023-11-19,,,CLE,"L, 109-121",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,8.0,8.7,7.0
Jalen Pickett,pickeja01,2024,8,8.0,14.0,2023-11-20,,,DET,"W, 107-103",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0
Jalen Pickett,pickeja01,2024,9,9.0,15.0,2023-11-22,,,ORL,"L, 119-124",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.5,1.0
Jalen Pickett,pickeja01,2024,10,10.0,17.0,2023-11-26,,,SAS,"W, 132-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-4.0
Jalen Pickett,pickeja01,2024,11,11.0,19.0,2023-11-29,,,HOU,"W, 134-124",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-9.0
Jalen Pickett,pickeja01,2024,12,12.0,26.0,2023-12-14,,,BRK,"W, 124-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.4,6.0
Jalen Pickett,pickeja01,2024,13,13.0,33.0,2023-12-28,,,MEM,"W, 142-105",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.7,3.0
Jalen Pickett,pickeja01,2024,14,14.0,34.0,2023-12-29,,,OKC,"L, 93-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-6.0
Jalen Pickett,pickeja01,2024,15,15.0,35.0,2024-01-01,,,CHO,"W, 111-93",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
