player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Craig Porter Jr.,portecr01,2024,1,1.0,3.0,2023-10-28,,,IND,"L, 113-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-10.0
Craig Porter Jr.,portecr01,2024,2,2.0,4.0,2023-10-31,,,NYK,"L, 91-109",,,5.0,12.0,0.417,0.0,1.0,0.0,5.0,11.0,0.455,0.417,0.0,0.0,,1.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,10.0,5.1,-9.0
Craig Porter Jr.,portecr01,2024,3,3.0,5.0,2023-11-01,,,NYK,"W, 95-89",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,3.8,3.0
Craig Porter Jr.,portecr01,2024,4,4.0,9.0,2023-11-11,,,GSW,"W, 118-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-8.0
Craig Porter Jr.,portecr01,2024,5,5.0,10.0,2023-11-13,,,SAC,"L, 120-132",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.9,1.0
Craig Porter Jr.,portecr01,2024,6,6.0,11.0,2023-11-15,,,POR,"W, 109-95",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.9,-8.0
Craig Porter Jr.,portecr01,2024,7,7.0,12.0,2023-11-17,,,DET,"W, 108-100",,,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,2.0,2.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,12.0,13.1,14.0
Craig Porter Jr.,portecr01,2024,8,8.0,13.0,2023-11-19,,,DEN,"W, 121-109",,,7.0,10.0,0.7,0.0,0.0,,7.0,10.0,0.7,0.7,7.0,7.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,21.0,22.1,-2.0
Craig Porter Jr.,portecr01,2024,9,9.0,14.0,2023-11-21,,,PHI,"W, 122-119 (OT)",,,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,2.0,2.0,1.0,0.0,3.0,3.0,9.0,0.0,1.0,1.0,0.0,12.0,14.6,21.0
Craig Porter Jr.,portecr01,2024,10,10.0,15.0,2023-11-22,,,MIA,"L, 96-129",*,,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,2.0,3.0,0.667,0.0,2.0,2.0,5.0,1.0,2.0,4.0,1.0,16.0,11.7,-24.0
Craig Porter Jr.,portecr01,2024,11,11.0,16.0,2023-11-25,,,LAL,"L, 115-121",,,5.0,7.0,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,11.0,7.3,-10.0
Craig Porter Jr.,portecr01,2024,12,12.0,18.0,2023-11-28,,,ATL,"W, 128-105",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,-8.0
Craig Porter Jr.,portecr01,2024,13,13.0,20.0,2023-12-02,,,DET,"W, 110-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Craig Porter Jr.,portecr01,2024,14,14.0,22.0,2023-12-08,,,MIA,"W, 111-99",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,2.0,4.0,0.5,0.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,8.0,9.9,7.0
Craig Porter Jr.,portecr01,2024,15,15.0,26.0,2023-12-16,,,ATL,"W, 127-119",,,3.0,8.0,0.375,0.0,1.0,0.0,3.0,7.0,0.429,0.375,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,6.0,3.3,6.0
Craig Porter Jr.,portecr01,2024,16,16.0,27.0,2023-12-18,,,HOU,"W, 135-130 (OT)",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,5.1,4.0
Craig Porter Jr.,portecr01,2024,17,17.0,28.0,2023-12-20,,,UTA,"W, 124-116",*,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,2.0,2.0,1.0,3.0,4.0,7.0,6.0,0.0,3.0,0.0,0.0,6.0,11.5,-2.0
Craig Porter Jr.,portecr01,2024,18,18.0,29.0,2023-12-21,,,NOP,"L, 104-123",*,,3.0,9.0,0.333,1.0,1.0,1.0,2.0,8.0,0.25,0.389,0.0,0.0,,0.0,3.0,3.0,11.0,1.0,0.0,2.0,1.0,7.0,9.1,3.0
Craig Porter Jr.,portecr01,2024,19,19.0,30.0,2023-12-23,,,CHI,"W, 109-95",*,,8.0,14.0,0.571,1.0,3.0,0.333,7.0,11.0,0.636,0.607,2.0,5.0,0.4,1.0,6.0,7.0,8.0,1.0,1.0,3.0,1.0,19.0,17.6,14.0
Craig Porter Jr.,portecr01,2024,20,20.0,31.0,2023-12-27,,,DAL,"W, 113-110",*,,4.0,11.0,0.364,0.0,1.0,0.0,4.0,10.0,0.4,0.364,1.0,2.0,0.5,4.0,8.0,12.0,7.0,3.0,1.0,2.0,4.0,9.0,12.7,9.0
Craig Porter Jr.,portecr01,2024,21,21.0,32.0,2023-12-29,,,MIL,"L, 111-119",,,6.0,10.0,0.6,1.0,3.0,0.333,5.0,7.0,0.714,0.65,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14.0,11.0,0.0
Craig Porter Jr.,portecr01,2024,22,22.0,33.0,2024-01-01,,,TOR,"L, 121-124",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-11.0
Craig Porter Jr.,portecr01,2024,23,23.0,34.0,2024-01-03,,,WAS,"W, 140-101",,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,8.0,8.1,7.0
Craig Porter Jr.,portecr01,2024,24,24.0,35.0,2024-01-05,,,WAS,"W, 114-90",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,5.0,2.0,7.0,3.6,4.0
Craig Porter Jr.,portecr01,2024,25,25.0,36.0,2024-01-07,,,SAS,"W, 117-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.7,8.0
Craig Porter Jr.,portecr01,2024,26,26.0,39.0,2024-01-17,,,MIL,"W, 135-95",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,6.3,6.0
Craig Porter Jr.,portecr01,2024,27,27.0,40.0,2024-01-20,,,ATL,"W, 116-95",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,2.0,4.0,2.1,5.0
Craig Porter Jr.,portecr01,2024,28,28.0,41.0,2024-01-22,,,ORL,"W, 126-99",,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,2.0,12.0,11.7,0.0
