player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Michael Porter Jr.,portemi01,2024,1,188.0,1.0,2023-10-24,,,LAL,"W, 119-107",*,,5.0,13.0,0.385,2.0,9.0,0.222,3.0,4.0,0.75,0.462,0.0,0.0,,2.0,10.0,12.0,2.0,2.0,0.0,0.0,1.0,12.0,12.3,12.0
Michael Porter Jr.,portemi01,2024,2,189.0,2.0,2023-10-27,,,MEM,"W, 108-104",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,1.0,1.0,1.0,1.0,12.0,13.0,3.0,0.0,0.0,1.0,4.0,9.0,9.1,4.0
Michael Porter Jr.,portemi01,2024,3,190.0,3.0,2023-10-29,,,OKC,"W, 128-95",*,,8.0,14.0,0.571,4.0,7.0,0.571,4.0,7.0,0.571,0.714,0.0,0.0,,3.0,6.0,9.0,2.0,0.0,0.0,1.0,3.0,20.0,16.5,12.0
Michael Porter Jr.,portemi01,2024,4,191.0,4.0,2023-10-30,,,UTA,"W, 110-102",*,,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,8.0,3.8,2.0
Michael Porter Jr.,portemi01,2024,5,192.0,5.0,2023-11-01,,,MIN,"L, 89-110",*,,2.0,11.0,0.182,0.0,5.0,0.0,2.0,6.0,0.333,0.182,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,2.8,-19.0
Michael Porter Jr.,portemi01,2024,6,193.0,6.0,2023-11-03,,,DAL,"W, 125-114",*,,10.0,18.0,0.556,4.0,8.0,0.5,6.0,10.0,0.6,0.667,0.0,0.0,,5.0,4.0,9.0,1.0,0.0,2.0,1.0,2.0,24.0,20.4,17.0
Michael Porter Jr.,portemi01,2024,7,194.0,7.0,2023-11-04,,,CHI,"W, 123-101",*,,9.0,16.0,0.563,5.0,10.0,0.5,4.0,6.0,0.667,0.719,4.0,5.0,0.8,1.0,5.0,6.0,2.0,1.0,2.0,2.0,4.0,27.0,21.4,30.0
Michael Porter Jr.,portemi01,2024,8,195.0,8.0,2023-11-06,,,NOP,"W, 134-116",*,,8.0,16.0,0.5,2.0,6.0,0.333,6.0,10.0,0.6,0.563,4.0,4.0,1.0,2.0,7.0,9.0,3.0,0.0,0.0,1.0,2.0,22.0,17.8,13.0
Michael Porter Jr.,portemi01,2024,9,196.0,9.0,2023-11-08,,,GSW,"W, 108-105",*,,7.0,17.0,0.412,3.0,8.0,0.375,4.0,9.0,0.444,0.5,0.0,0.0,,2.0,6.0,8.0,2.0,0.0,2.0,0.0,1.0,17.0,13.5,13.0
Michael Porter Jr.,portemi01,2024,10,197.0,10.0,2023-11-12,,,HOU,"L, 104-107",*,,11.0,19.0,0.579,3.0,10.0,0.3,8.0,9.0,0.889,0.658,0.0,0.0,,2.0,8.0,10.0,0.0,0.0,1.0,2.0,3.0,25.0,17.4,2.0
