player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Orlando Robinson,robinor01,2024,1,32.0,3.0,2023-10-28,,,MIN,"L, 90-106",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4,2.0
Orlando Robinson,robinor01,2024,2,33.0,4.0,2023-10-30,,,MIL,"L, 114-122",,,4.0,7.0,0.571,1.0,1.0,1.0,3.0,6.0,0.5,0.643,2.0,2.0,1.0,2.0,5.0,7.0,7.0,1.0,0.0,3.0,4.0,11.0,11.9,4.0
Orlando Robinson,robinor01,2024,3,34.0,14.0,2023-11-20,,,CHI,"W, 118-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-6.0
Orlando Robinson,robinor01,2024,4,35.0,15.0,2023-11-22,,,CLE,"W, 129-96",,,6.0,9.0,0.667,1.0,1.0,1.0,5.0,8.0,0.625,0.722,1.0,2.0,0.5,4.0,5.0,9.0,2.0,1.0,2.0,2.0,4.0,14.0,14.2,22.0
Orlando Robinson,robinor01,2024,5,36.0,19.0,2023-11-30,,,IND,"W, 142-132",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.2,5.0
Orlando Robinson,robinor01,2024,6,37.0,20.0,2023-12-02,,,IND,"L, 129-144",*,,7.0,11.0,0.636,2.0,2.0,1.0,5.0,9.0,0.556,0.727,0.0,0.0,,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,16.0,13.7,-6.0
Orlando Robinson,robinor01,2024,7,38.0,21.0,2023-12-06,,,TOR,"W, 112-103",*,,5.0,9.0,0.556,2.0,3.0,0.667,3.0,6.0,0.5,0.667,3.0,3.0,1.0,3.0,9.0,12.0,4.0,3.0,1.0,1.0,3.0,15.0,19.8,27.0
Orlando Robinson,robinor01,2024,8,39.0,22.0,2023-12-08,,,CLE,"L, 99-111",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,1.0,1.0,2.0,6.0,8.0,3.0,0.0,1.0,1.0,3.0,5.0,7.5,-18.0
Orlando Robinson,robinor01,2024,9,40.0,23.0,2023-12-11,,,CHO,"W, 116-114",*,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,2.0,4.0,0.5,1.0,5.0,6.0,2.0,0.0,2.0,1.0,5.0,7.0,5.5,-7.0
Orlando Robinson,robinor01,2024,10,41.0,24.0,2023-12-13,,,CHO,"W, 115-104",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,6.0,2.6,3.0
Orlando Robinson,robinor01,2024,11,42.0,25.0,2023-12-14,,,CHI,"L, 116-124",*,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.2,-13.0
Orlando Robinson,robinor01,2024,12,43.0,26.0,2023-12-16,,,CHI,"W, 118-116",*,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,-1.0
Orlando Robinson,robinor01,2024,13,44.0,28.0,2023-12-20,,,ORL,"W, 115-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Orlando Robinson,robinor01,2024,14,45.0,33.0,2024-01-01,,,LAC,"L, 104-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.6,3.0
Orlando Robinson,robinor01,2024,15,46.0,34.0,2024-01-03,,,LAL,"W, 110-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Robinson,robinor01,2024,16,47.0,39.0,2024-01-14,,,CHO,"W, 104-87",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Orlando Robinson,robinor01,2024,17,48.0,41.0,2024-01-17,,,TOR,"L, 97-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Orlando Robinson,robinor01,2024,18,49.0,43.0,2024-01-21,,,ORL,"L, 87-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,4.0
Orlando Robinson,robinor01,2024,19,50.0,45.0,2024-01-25,,,BOS,"L, 110-143",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.9,-1.0
Orlando Robinson,robinor01,2024,20,51.0,46.0,2024-01-27,,,NYK,"L, 109-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Orlando Robinson,robinor01,2024,21,52.0,51.0,2024-02-06,,,ORL,"W, 121-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
Orlando Robinson,robinor01,2024,22,53.0,52.0,2024-02-07,,,SAS,"W, 116-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,-5.0
Orlando Robinson,robinor01,2024,23,54.0,53.0,2024-02-11,,,BOS,"L, 106-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Orlando Robinson,robinor01,2024,24,55.0,54.0,2024-02-13,,,MIL,"W, 123-97",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.3,-3.0
Orlando Robinson,robinor01,2024,25,56.0,59.0,2024-02-29,,,DEN,"L, 97-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-3.0
