player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Marcus Sasser,sassema01,2024,1,1.0,1.0,2023-10-25,,,MIA,"L, 102-103",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,6.7,2.0
Marcus Sasser,sassema01,2024,2,2.0,2.0,2023-10-27,,,CHO,"W, 111-99",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1,3.0
Marcus Sasser,sassema01,2024,3,3.0,3.0,2023-10-28,,,CHI,"W, 118-102",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
Marcus Sasser,sassema01,2024,4,4.0,4.0,2023-10-30,,,OKC,"L, 112-124",,,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,6.6,-1.0
Marcus Sasser,sassema01,2024,5,5.0,5.0,2023-11-01,,,POR,"L, 101-110",,,4.0,6.0,0.667,0.0,1.0,0.0,4.0,5.0,0.8,0.667,0.0,0.0,,0.0,3.0,3.0,6.0,4.0,1.0,0.0,3.0,8.0,14.0,1.0
Marcus Sasser,sassema01,2024,6,6.0,6.0,2023-11-02,,,NOP,"L, 116-125",,,6.0,10.0,0.6,5.0,8.0,0.625,1.0,2.0,0.5,0.85,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,19.0,17.7,-14.0
Marcus Sasser,sassema01,2024,7,7.0,7.0,2023-11-05,,,PHO,"L, 106-120",,,9.0,16.0,0.563,4.0,6.0,0.667,5.0,10.0,0.5,0.688,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,0.0,3.0,22.0,17.9,3.0
Marcus Sasser,sassema01,2024,8,8.0,8.0,2023-11-06,,,GSW,"L, 109-120",,,3.0,10.0,0.3,1.0,5.0,0.2,2.0,5.0,0.4,0.35,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,2.0,5.0,7.0,1.9,-18.0
Marcus Sasser,sassema01,2024,9,9.0,9.0,2023-11-08,,,MIL,"L, 118-120",,,11.0,17.0,0.647,3.0,7.0,0.429,8.0,10.0,0.8,0.735,1.0,1.0,1.0,0.0,6.0,6.0,2.0,1.0,0.0,3.0,1.0,26.0,19.3,5.0
Marcus Sasser,sassema01,2024,10,10.0,10.0,2023-11-10,,,PHI,"L, 106-114",,,3.0,13.0,0.231,1.0,7.0,0.143,2.0,6.0,0.333,0.269,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,9.0,3.2,-6.0
