player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ben Simmons,simmobe01,2024,1,318.0,1.0,2023-10-25,,,CLE,"L, 113-114",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,,1.0,9.0,10.0,9.0,0.0,1.0,2.0,2.0,4.0,8.2,-6.0
Ben Simmons,simmobe01,2024,2,319.0,2.0,2023-10-27,,,DAL,"L, 120-125",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,0.0,0.0,,4.0,6.0,10.0,8.0,2.0,2.0,2.0,3.0,10.0,16.8,0.0
Ben Simmons,simmobe01,2024,3,320.0,3.0,2023-10-30,,,CHO,"W, 133-121",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,1.0,2.0,0.5,3.0,7.0,10.0,8.0,0.0,1.0,2.0,1.0,11.0,16.5,3.0
Ben Simmons,simmobe01,2024,4,321.0,4.0,2023-11-01,,,MIA,"W, 109-105",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,2.0,0.0,2.0,9.0,11.0,5.0,0.0,1.0,4.0,4.0,4.0,3.2,-9.0
Ben Simmons,simmobe01,2024,5,322.0,5.0,2023-11-03,,,CHI,"W, 109-107",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,0.0,0.0,,3.0,6.0,9.0,6.0,1.0,0.0,4.0,3.0,8.0,7.9,-9.0
Ben Simmons,simmobe01,2024,6,323.0,7.0,2023-11-06,,,MIL,"L, 125-129",*,,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,3.0,12.0,15.0,4.0,0.0,0.0,1.0,3.0,2.0,6.6,-12.0
Ben Simmons,simmobe01,2024,7,324.0,46.0,2024-01-29,,,UTA,"W, 147-114",,,5.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,5.0,3.0,8.0,11.0,1.0,1.0,0.0,3.0,10.0,21.1,27.0
Ben Simmons,simmobe01,2024,8,325.0,48.0,2024-02-03,,,PHI,"W, 136-121",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,8.0,9.0,5.0,0.0,0.0,1.0,4.0,0.0,4.0,7.0
Ben Simmons,simmobe01,2024,9,326.0,50.0,2024-02-06,,,DAL,"L, 107-119",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,1.0,2.0,0.5,4.0,5.0,9.0,7.0,1.0,0.0,2.0,2.0,9.0,12.7,1.0
Ben Simmons,simmobe01,2024,10,327.0,51.0,2024-02-08,,,CLE,"L, 95-118",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,6.0,4.7,-26.0
Ben Simmons,simmobe01,2024,11,328.0,52.0,2024-02-10,,,SAS,"W, 123-103",*,,6.0,7.0,0.857,0.0,0.0,6.0,7.0,0.857,0.857,1.0,2.0,0.5,0.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,13.0,14.1,10.0
Ben Simmons,simmobe01,2024,12,329.0,53.0,2024-02-13,,,BOS,"L, 110-118",*,,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,3.0,6.0,0.5,1.0,5.0,6.0,8.0,0.0,0.0,1.0,4.0,5.0,5.9,-3.0
Ben Simmons,simmobe01,2024,13,330.0,55.0,2024-02-22,,,TOR,"L, 93-121",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,3.2,-23.0
Ben Simmons,simmobe01,2024,14,331.0,56.0,2024-02-24,,,MIN,"L, 86-101",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,,2.0,6.0,8.0,1.0,3.0,1.0,1.0,0.0,4.0,7.2,-2.0
Ben Simmons,simmobe01,2024,15,332.0,57.0,2024-02-26,,,MEM,"W, 111-86",,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,2.0,4.0,6.0,3.0,0.0,0.0,0.0,3.0,4.0,6.9,4.0
