player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Fred VanVleet,vanvlfr01,2024,1,418.0,1.0,2023-10-25,,,ORL,"L, 86-116",*,,5.0,13.0,0.385,4.0,6.0,0.667,1.0,7.0,0.143,0.538,0.0,0.0,,0.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,14.0,8.7,-3.0
Fred VanVleet,vanvlfr01,2024,2,419.0,2.0,2023-10-27,,,SAS,"L, 122-126 (OT)",*,,10.0,20.0,0.5,2.0,10.0,0.2,8.0,10.0,0.8,0.55,2.0,3.0,0.667,0.0,8.0,8.0,12.0,0.0,0.0,3.0,5.0,24.0,19.4,-9.0
Fred VanVleet,vanvlfr01,2024,3,420.0,3.0,2023-10-29,,,GSW,"L, 95-106",*,,2.0,13.0,0.154,2.0,7.0,0.286,0.0,6.0,0.0,0.231,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,8.0,3.7,-13.0
Fred VanVleet,vanvlfr01,2024,4,421.0,4.0,2023-11-01,,,CHO,"W, 128-119",*,,8.0,17.0,0.471,5.0,10.0,0.5,3.0,7.0,0.429,0.618,1.0,1.0,1.0,0.0,3.0,3.0,11.0,0.0,0.0,2.0,1.0,22.0,19.5,14.0
Fred VanVleet,vanvlfr01,2024,5,422.0,5.0,2023-11-04,,,SAC,"W, 107-89",*,,7.0,22.0,0.318,4.0,14.0,0.286,3.0,8.0,0.375,0.409,3.0,3.0,1.0,0.0,6.0,6.0,12.0,0.0,2.0,2.0,4.0,21.0,16.4,13.0
Fred VanVleet,vanvlfr01,2024,6,423.0,6.0,2023-11-06,,,SAC,"W, 122-97",*,,3.0,8.0,0.375,3.0,5.0,0.6,0.0,3.0,0.0,0.563,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,11.0,9.9,34.0
Fred VanVleet,vanvlfr01,2024,7,424.0,7.0,2023-11-08,,,LAL,"W, 128-94",*,,2.0,9.0,0.222,1.0,6.0,0.167,1.0,3.0,0.333,0.278,4.0,4.0,1.0,1.0,3.0,4.0,10.0,1.0,0.0,1.0,2.0,9.0,11.3,28.0
Fred VanVleet,vanvlfr01,2024,8,425.0,8.0,2023-11-10,,,NOP,"W, 104-101",*,,7.0,15.0,0.467,4.0,9.0,0.444,3.0,6.0,0.5,0.6,2.0,2.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,1.0,2.0,20.0,19.1,-8.0
Fred VanVleet,vanvlfr01,2024,9,426.0,9.0,2023-11-12,,,DEN,"W, 107-104",*,,9.0,21.0,0.429,3.0,9.0,0.333,6.0,12.0,0.5,0.5,5.0,7.0,0.714,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,26.0,14.7,-4.0
Fred VanVleet,vanvlfr01,2024,10,427.0,10.0,2023-11-17,,,LAC,"L, 100-106",*,,7.0,14.0,0.5,5.0,9.0,0.556,2.0,5.0,0.4,0.679,0.0,0.0,,1.0,7.0,8.0,10.0,1.0,1.0,2.0,0.0,19.0,21.5,-14.0
Fred VanVleet,vanvlfr01,2024,11,428.0,11.0,2023-11-19,,,LAL,"L, 104-105",*,,5.0,14.0,0.357,3.0,10.0,0.3,2.0,4.0,0.5,0.464,2.0,2.0,1.0,0.0,1.0,1.0,16.0,1.0,0.0,3.0,1.0,15.0,16.3,4.0
Fred VanVleet,vanvlfr01,2024,12,429.0,12.0,2023-11-20,,,GSW,"L, 116-121",*,,3.0,13.0,0.231,1.0,8.0,0.125,2.0,5.0,0.4,0.269,3.0,3.0,1.0,0.0,5.0,5.0,14.0,0.0,0.0,0.0,2.0,10.0,12.6,-3.0
Fred VanVleet,vanvlfr01,2024,13,430.0,13.0,2023-11-22,,,MEM,"W, 111-91",*,,5.0,12.0,0.417,4.0,8.0,0.5,1.0,4.0,0.25,0.583,2.0,3.0,0.667,1.0,6.0,7.0,4.0,2.0,0.0,1.0,0.0,16.0,15.5,22.0
Fred VanVleet,vanvlfr01,2024,14,431.0,14.0,2023-11-24,,,DEN,"W, 105-86",*,,6.0,12.0,0.5,3.0,5.0,0.6,3.0,7.0,0.429,0.625,2.0,2.0,1.0,0.0,6.0,6.0,11.0,1.0,2.0,1.0,3.0,17.0,20.7,30.0
Fred VanVleet,vanvlfr01,2024,15,432.0,15.0,2023-11-28,,,DAL,"L, 115-121",*,,3.0,9.0,0.333,1.0,7.0,0.143,2.0,2.0,1.0,0.389,3.0,3.0,1.0,0.0,4.0,4.0,12.0,1.0,1.0,0.0,3.0,10.0,15.0,-12.0
Fred VanVleet,vanvlfr01,2024,16,433.0,17.0,2023-12-02,,,LAL,"L, 97-107",*,,7.0,15.0,0.467,4.0,7.0,0.571,3.0,8.0,0.375,0.6,4.0,4.0,1.0,1.0,4.0,5.0,7.0,0.0,0.0,3.0,1.0,22.0,17.7,-22.0
Fred VanVleet,vanvlfr01,2024,17,434.0,18.0,2023-12-06,,,OKC,"W, 110-101",*,,4.0,14.0,0.286,3.0,7.0,0.429,1.0,7.0,0.143,0.393,0.0,0.0,,0.0,3.0,3.0,9.0,3.0,1.0,3.0,0.0,11.0,10.7,11.0
Fred VanVleet,vanvlfr01,2024,18,435.0,19.0,2023-12-08,,,DEN,"W, 114-106",*,,6.0,17.0,0.353,4.0,10.0,0.4,2.0,7.0,0.286,0.471,10.0,13.0,0.769,1.0,3.0,4.0,3.0,0.0,1.0,1.0,3.0,26.0,17.5,16.0
