player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Devin Vassell,vassede01,2024,1,172.0,1.0,2023-10-25,,,DAL,"L, 119-126",*,,9.0,17.0,0.529,1.0,6.0,0.167,8.0,11.0,0.727,0.559,4.0,5.0,0.8,1.0,4.0,5.0,3.0,2.0,0.0,2.0,2.0,23.0,17.5,4.0
Devin Vassell,vassede01,2024,2,173.0,2.0,2023-10-27,,,HOU,"W, 126-122 (OT)",*,,7.0,13.0,0.538,3.0,7.0,0.429,4.0,6.0,0.667,0.654,8.0,11.0,0.727,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,25.0,18.8,2.0
Devin Vassell,vassede01,2024,3,174.0,3.0,2023-10-29,,,LAC,"L, 83-123",*,,6.0,10.0,0.6,1.0,3.0,0.333,5.0,7.0,0.714,0.65,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,14.0,7.9,-30.0
Devin Vassell,vassede01,2024,4,175.0,4.0,2023-10-31,,,PHO,"W, 115-114",*,,7.0,17.0,0.412,3.0,8.0,0.375,4.0,9.0,0.444,0.5,1.0,2.0,0.5,1.0,5.0,6.0,5.0,3.0,0.0,3.0,0.0,18.0,14.2,-1.0
Devin Vassell,vassede01,2024,5,176.0,5.0,2023-11-02,,,PHO,"W, 132-121",*,,7.0,10.0,0.7,3.0,3.0,1.0,4.0,7.0,0.571,0.85,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,17.0,13.3,16.0
Devin Vassell,vassede01,2024,6,177.0,8.0,2023-11-08,,,NYK,"L, 105-126",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.6,-3.0
Devin Vassell,vassede01,2024,7,178.0,9.0,2023-11-10,,,MIN,"L, 110-117",*,,8.0,16.0,0.5,6.0,11.0,0.545,2.0,5.0,0.4,0.688,7.0,9.0,0.778,0.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,29.0,23.5,2.0
Devin Vassell,vassede01,2024,8,179.0,10.0,2023-11-12,,,MIA,"L, 113-118",*,,5.0,12.0,0.417,4.0,9.0,0.444,1.0,3.0,0.333,0.583,0.0,0.0,,2.0,5.0,7.0,4.0,0.0,0.0,1.0,0.0,14.0,12.3,-15.0
Devin Vassell,vassede01,2024,9,180.0,11.0,2023-11-14,,,OKC,"L, 87-123",*,,5.0,12.0,0.417,1.0,2.0,0.5,4.0,10.0,0.4,0.458,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,12.0,10.2,-20.0
Devin Vassell,vassede01,2024,10,181.0,15.0,2023-11-22,,,LAC,"L, 102-109",,,6.0,15.0,0.4,2.0,8.0,0.25,4.0,7.0,0.571,0.467,4.0,5.0,0.8,1.0,3.0,4.0,4.0,1.0,0.0,2.0,2.0,18.0,12.1,-7.0
Devin Vassell,vassede01,2024,11,182.0,16.0,2023-11-24,,,GSW,"L, 112-118",,,10.0,19.0,0.526,4.0,10.0,0.4,6.0,9.0,0.667,0.632,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,24.0,15.2,-9.0
Devin Vassell,vassede01,2024,12,183.0,17.0,2023-11-26,,,DEN,"L, 120-132",,,7.0,13.0,0.538,4.0,7.0,0.571,3.0,6.0,0.5,0.692,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,19.0,15.7,5.0
Devin Vassell,vassede01,2024,13,184.0,18.0,2023-11-30,,,ATL,"L, 135-137",,,8.0,14.0,0.571,4.0,10.0,0.4,4.0,4.0,1.0,0.714,5.0,5.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,25.0,20.0,-4.0
Devin Vassell,vassede01,2024,14,185.0,19.0,2023-12-01,,,NOP,"L, 106-121",,,5.0,12.0,0.417,2.0,7.0,0.286,3.0,5.0,0.6,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,14.0,6.5,-16.0
Devin Vassell,vassede01,2024,15,186.0,20.0,2023-12-06,,,MIN,"L, 94-102",*,,9.0,16.0,0.563,4.0,8.0,0.5,5.0,8.0,0.625,0.688,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,22.0,18.0,4.0
Devin Vassell,vassede01,2024,16,187.0,21.0,2023-12-08,,,CHI,"L, 112-121",*,,4.0,15.0,0.267,1.0,9.0,0.111,3.0,6.0,0.5,0.3,2.0,3.0,0.667,0.0,2.0,2.0,5.0,1.0,0.0,3.0,1.0,11.0,3.4,-14.0
Devin Vassell,vassede01,2024,17,188.0,22.0,2023-12-11,,,HOU,"L, 82-93",*,,5.0,16.0,0.313,1.0,9.0,0.111,4.0,7.0,0.571,0.344,3.0,5.0,0.6,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,14.0,8.0,1.0
Devin Vassell,vassede01,2024,18,189.0,23.0,2023-12-13,,,LAL,"L, 119-122",*,,5.0,15.0,0.333,1.0,7.0,0.143,4.0,8.0,0.5,0.367,2.0,2.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,2.0,0.0,13.0,8.8,5.0
Devin Vassell,vassede01,2024,19,190.0,24.0,2023-12-15,,,LAL,"W, 129-115",*,,12.0,19.0,0.632,5.0,10.0,0.5,7.0,9.0,0.778,0.763,7.0,7.0,1.0,0.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,36.0,31.7,20.0
Devin Vassell,vassede01,2024,20,191.0,25.0,2023-12-17,,,NOP,"L, 110-146",*,,5.0,13.0,0.385,3.0,7.0,0.429,2.0,6.0,0.333,0.5,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,13.0,6.4,-15.0
Devin Vassell,vassede01,2024,21,192.0,26.0,2023-12-19,,,MIL,"L, 119-132",*,,7.0,18.0,0.389,2.0,6.0,0.333,5.0,12.0,0.417,0.444,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,17.0,7.5,-12.0
Devin Vassell,vassede01,2024,22,193.0,27.0,2023-12-21,,,CHI,"L, 95-114",*,,7.0,15.0,0.467,3.0,8.0,0.375,4.0,7.0,0.571,0.567,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,21.0,16.3,-4.0
Devin Vassell,vassede01,2024,23,194.0,28.0,2023-12-23,,,DAL,"L, 119-144",*,,3.0,13.0,0.231,0.0,6.0,0.0,3.0,7.0,0.429,0.231,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,4.2,-38.0
Devin Vassell,vassede01,2024,24,195.0,29.0,2023-12-26,,,UTA,"L, 118-130",*,,8.0,18.0,0.444,5.0,10.0,0.5,3.0,8.0,0.375,0.583,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,0.0,1.0,2.0,22.0,17.5,-11.0
Devin Vassell,vassede01,2024,25,196.0,30.0,2023-12-28,,,POR,"W, 118-105",*,,7.0,16.0,0.438,2.0,9.0,0.222,5.0,7.0,0.714,0.5,1.0,1.0,1.0,0.0,5.0,5.0,7.0,4.0,1.0,1.0,0.0,17.0,18.7,18.0
Devin Vassell,vassede01,2024,26,197.0,31.0,2023-12-29,,,POR,"L, 128-134",*,,8.0,16.0,0.5,3.0,6.0,0.5,5.0,10.0,0.5,0.594,3.0,4.0,0.75,0.0,3.0,3.0,5.0,4.0,1.0,0.0,1.0,22.0,22.3,-6.0
Devin Vassell,vassede01,2024,27,198.0,32.0,2023-12-31,,,BOS,"L, 101-134",*,,9.0,15.0,0.6,2.0,4.0,0.5,7.0,11.0,0.636,0.667,2.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,3.0,22.0,15.8,-34.0
Devin Vassell,vassede01,2024,28,199.0,33.0,2024-01-02,,,MEM,"L, 98-106",*,,3.0,8.0,0.375,1.0,2.0,0.5,2.0,6.0,0.333,0.438,4.0,5.0,0.8,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,11.0,8.2,-7.0
Devin Vassell,vassede01,2024,29,200.0,34.0,2024-01-04,,,MIL,"L, 121-125",*,,14.0,21.0,0.667,6.0,9.0,0.667,8.0,12.0,0.667,0.81,0.0,0.0,,1.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,34.0,30.9,-10.0
Devin Vassell,vassede01,2024,30,201.0,35.0,2024-01-07,,,CLE,"L, 115-117",*,,9.0,19.0,0.474,4.0,9.0,0.444,5.0,10.0,0.5,0.579,0.0,0.0,,0.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,22.0,17.2,12.0
Devin Vassell,vassede01,2024,31,202.0,36.0,2024-01-10,,,DET,"W, 130-108",*,,6.0,12.0,0.5,1.0,5.0,0.2,5.0,7.0,0.714,0.542,3.0,4.0,0.75,0.0,3.0,3.0,5.0,1.0,0.0,1.0,0.0,16.0,14.0,13.0
Devin Vassell,vassede01,2024,32,203.0,37.0,2024-01-12,,,CHO,"W, 135-99",*,,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,3.0,3.0,1.0,0.0,3.0,3.0,5.0,2.0,0.0,2.0,2.0,12.0,10.2,28.0
Devin Vassell,vassede01,2024,33,204.0,38.0,2024-01-13,,,CHI,"L, 116-122",*,,1.0,13.0,0.077,1.0,8.0,0.125,0.0,5.0,0.0,0.115,2.0,3.0,0.667,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,5.0,-2.5,-13.0
