player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dean Wade,wadede01,2024,1,171.0,2.0,2023-10-27,,,OKC,"L, 105-108",*,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,0.0,0.0,,0.0,5.0,5.0,0.0,2.0,0.0,1.0,3.0,8.0,6.3,-9.0
Dean Wade,wadede01,2024,2,172.0,3.0,2023-10-28,,,IND,"L, 113-125",*,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,6.0,6.2,3.0
Dean Wade,wadede01,2024,3,173.0,4.0,2023-10-31,,,NYK,"L, 91-109",*,,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,-3.3,-5.0
Dean Wade,wadede01,2024,4,174.0,5.0,2023-11-01,,,NYK,"W, 95-89",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,-1.0
Dean Wade,wadede01,2024,5,175.0,6.0,2023-11-03,,,IND,"L, 116-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-9.0
Dean Wade,wadede01,2024,6,176.0,7.0,2023-11-05,,,GSW,"W, 115-104",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,3.0,5.5,8.0
Dean Wade,wadede01,2024,7,177.0,8.0,2023-11-08,,,OKC,"L, 120-128",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,2.0,4.0,0.0,-0.8,-8.0
Dean Wade,wadede01,2024,8,178.0,9.0,2023-11-11,,,GSW,"W, 118-110",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,8.0,5.7,20.0
Dean Wade,wadede01,2024,9,179.0,10.0,2023-11-13,,,SAC,"L, 120-132",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-18.0
Dean Wade,wadede01,2024,10,180.0,11.0,2023-11-15,,,POR,"W, 109-95",*,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.9,6.0
