player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Victor Wembanyama,wembavi01,2024,1,1.0,1.0,2023-10-25,,,DAL,"L, 119-126",*,,6.0,9.0,0.667,3.0,5.0,0.6,3.0,4.0,0.75,0.833,0.0,1.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,5.0,5.0,15.0,9.3,0.0
Victor Wembanyama,wembavi01,2024,2,2.0,2.0,2023-10-27,,,HOU,"W, 126-122 (OT)",*,,7.0,19.0,0.368,0.0,6.0,0.0,7.0,13.0,0.538,0.368,7.0,8.0,0.875,5.0,7.0,12.0,1.0,3.0,3.0,4.0,2.0,21.0,16.7,9.0
Victor Wembanyama,wembavi01,2024,3,3.0,3.0,2023-10-29,,,LAC,"L, 83-123",*,,4.0,10.0,0.4,0.0,2.0,0.0,4.0,8.0,0.5,0.4,3.0,6.0,0.5,1.0,4.0,5.0,2.0,1.0,1.0,5.0,1.0,11.0,4.0,-14.0
Victor Wembanyama,wembavi01,2024,4,4.0,4.0,2023-10-31,,,PHO,"W, 115-114",*,,6.0,12.0,0.5,2.0,6.0,0.333,4.0,6.0,0.667,0.583,4.0,5.0,0.8,3.0,5.0,8.0,1.0,0.0,4.0,5.0,3.0,18.0,12.5,-3.0
Victor Wembanyama,wembavi01,2024,5,5.0,5.0,2023-11-02,,,PHO,"W, 132-121",*,,15.0,26.0,0.577,3.0,6.0,0.5,12.0,20.0,0.6,0.635,5.0,6.0,0.833,2.0,8.0,10.0,2.0,1.0,2.0,2.0,3.0,38.0,29.8,21.0
Victor Wembanyama,wembavi01,2024,6,6.0,6.0,2023-11-05,,,TOR,"L, 116-123 (OT)",*,,7.0,16.0,0.438,2.0,7.0,0.286,5.0,9.0,0.556,0.5,4.0,5.0,0.8,2.0,7.0,9.0,4.0,1.0,5.0,2.0,1.0,20.0,19.6,-16.0
Victor Wembanyama,wembavi01,2024,7,7.0,7.0,2023-11-06,,,IND,"L, 111-152",*,,3.0,12.0,0.25,2.0,5.0,0.4,1.0,7.0,0.143,0.333,5.0,6.0,0.833,1.0,9.0,10.0,0.0,1.0,2.0,2.0,1.0,13.0,8.8,-9.0
Victor Wembanyama,wembavi01,2024,8,8.0,8.0,2023-11-08,,,NYK,"L, 105-126",*,,4.0,14.0,0.286,0.0,4.0,0.0,4.0,10.0,0.4,0.286,6.0,6.0,1.0,4.0,5.0,9.0,2.0,0.0,1.0,3.0,2.0,14.0,8.4,-25.0
Victor Wembanyama,wembavi01,2024,9,9.0,9.0,2023-11-10,,,MIN,"L, 110-117",*,,12.0,21.0,0.571,3.0,7.0,0.429,9.0,14.0,0.643,0.643,2.0,4.0,0.5,1.0,8.0,9.0,4.0,1.0,4.0,3.0,5.0,29.0,23.0,3.0
Victor Wembanyama,wembavi01,2024,10,10.0,10.0,2023-11-12,,,MIA,"L, 113-118",*,,8.0,22.0,0.364,2.0,9.0,0.222,6.0,13.0,0.462,0.409,0.0,0.0,,1.0,10.0,11.0,7.0,1.0,1.0,7.0,3.0,18.0,7.9,5.0
Victor Wembanyama,wembavi01,2024,11,11.0,11.0,2023-11-14,,,OKC,"L, 87-123",*,,4.0,15.0,0.267,0.0,3.0,0.0,4.0,12.0,0.333,0.267,0.0,0.0,,3.0,11.0,14.0,2.0,0.0,2.0,5.0,2.0,8.0,1.5,-31.0
Victor Wembanyama,wembavi01,2024,12,12.0,12.0,2023-11-17,,,SAC,"L, 120-129",*,,12.0,26.0,0.462,2.0,8.0,0.25,10.0,18.0,0.556,0.5,1.0,1.0,1.0,1.0,8.0,9.0,0.0,2.0,0.0,4.0,3.0,27.0,13.5,-31.0
