player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Andrew Wiggins,wiggian01,2024,1,636.0,1.0,2023-10-24,,,PHO,"L, 104-108",*,,4.0,12.0,0.333,0.0,3.0,0.0,4.0,9.0,0.444,0.333,2.0,3.0,0.667,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,3.0,-22.0
Andrew Wiggins,wiggian01,2024,2,637.0,2.0,2023-10-27,,,SAC,"W, 122-114",*,,5.0,13.0,0.385,0.0,3.0,0.0,5.0,10.0,0.5,0.385,1.0,2.0,0.5,1.0,4.0,5.0,3.0,0.0,2.0,2.0,4.0,11.0,5.3,2.0
Andrew Wiggins,wiggian01,2024,3,638.0,3.0,2023-10-29,,,HOU,"W, 106-95",*,,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,4.4,-4.0
Andrew Wiggins,wiggian01,2024,4,639.0,4.0,2023-10-30,,,NOP,"W, 130-102",*,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,9.0,1.7,10.0
Andrew Wiggins,wiggian01,2024,5,640.0,5.0,2023-11-01,,,SAC,"W, 102-101",*,,6.0,10.0,0.6,0.0,1.0,0.0,6.0,9.0,0.667,0.6,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,14.0,8.2,-5.0
Andrew Wiggins,wiggian01,2024,6,641.0,6.0,2023-11-03,,,OKC,"W, 141-139",*,,6.0,11.0,0.545,0.0,1.0,0.0,6.0,10.0,0.6,0.545,5.0,8.0,0.625,4.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,17.0,13.9,-14.0
Andrew Wiggins,wiggian01,2024,7,642.0,7.0,2023-11-05,,,CLE,"L, 104-115",*,,3.0,9.0,0.333,1.0,2.0,0.5,2.0,7.0,0.286,0.389,1.0,4.0,0.25,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,4.7,-5.0
Andrew Wiggins,wiggian01,2024,8,643.0,8.0,2023-11-06,,,DET,"W, 120-109",*,,2.0,9.0,0.222,0.0,2.0,0.0,2.0,7.0,0.286,0.222,0.0,2.0,0.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,0.0,4.0,1.1,-4.0
Andrew Wiggins,wiggian01,2024,9,644.0,9.0,2023-11-08,,,DEN,"L, 105-108",*,,4.0,13.0,0.308,0.0,3.0,0.0,4.0,10.0,0.4,0.308,3.0,4.0,0.75,3.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,11.0,3.6,-6.0
Andrew Wiggins,wiggian01,2024,10,645.0,10.0,2023-11-11,,,CLE,"L, 110-118",*,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,0.0,2.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,2.0,13.0,7.2,-13.0
