player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mark Williams,willima07,2024,1,44.0,1.0,2023-10-25,,,ATL,"W, 116-110",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,3.0,3.0,1.0,4.0,11.0,15.0,1.0,3.0,1.0,2.0,2.0,13.0,18.5,19.0
Mark Williams,willima07,2024,2,45.0,2.0,2023-10-27,,,DET,"L, 99-111",*,,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,2.0,-0.3,-17.0
Mark Williams,willima07,2024,3,46.0,3.0,2023-10-30,,,BRK,"L, 121-133",*,,8.0,8.0,1.0,0.0,0.0,8.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,18.0,17.4,-7.0
Mark Williams,willima07,2024,4,47.0,4.0,2023-11-01,,,HOU,"L, 119-128",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,3.0,6.0,0.5,3.0,3.0,6.0,1.0,2.0,2.0,1.0,0.0,9.0,12.3,-1.0
Mark Williams,willima07,2024,5,48.0,5.0,2023-11-04,,,IND,"W, 125-124",*,,9.0,12.0,0.75,0.0,0.0,9.0,12.0,0.75,0.75,9.0,9.0,1.0,4.0,3.0,7.0,1.0,2.0,2.0,3.0,2.0,27.0,26.2,-3.0
Mark Williams,willima07,2024,6,49.0,6.0,2023-11-05,,,DAL,"L, 118-124",*,,8.0,8.0,1.0,0.0,0.0,8.0,8.0,1.0,1.0,3.0,6.0,0.5,2.0,8.0,10.0,1.0,0.0,0.0,2.0,3.0,19.0,16.7,-1.0
Mark Williams,willima07,2024,7,50.0,7.0,2023-11-08,,,WAS,"L, 116-132",*,,5.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,4.0,6.0,0.667,2.0,5.0,7.0,0.0,0.0,1.0,1.0,4.0,14.0,12.7,2.0
Mark Williams,willima07,2024,8,51.0,8.0,2023-11-10,,,WAS,"W, 124-117",*,,10.0,21.0,0.476,0.0,0.0,10.0,21.0,0.476,0.476,1.0,2.0,0.5,15.0,9.0,24.0,3.0,0.0,0.0,0.0,0.0,21.0,25.2,19.0
Mark Williams,willima07,2024,9,52.0,9.0,2023-11-12,,,NYK,"L, 107-129",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,10.0,11.3,-22.0
Mark Williams,willima07,2024,10,53.0,10.0,2023-11-14,,,MIA,"L, 105-111",*,,5.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,4.0,0.25,4.0,3.0,7.0,0.0,1.0,0.0,0.0,2.0,11.0,12.2,-11.0
Mark Williams,willima07,2024,11,54.0,11.0,2023-11-17,,,MIL,"L, 99-130",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,3.0,4.0,0.75,6.0,10.0,16.0,2.0,1.0,0.0,0.0,1.0,11.0,16.5,-14.0
Mark Williams,willima07,2024,12,55.0,12.0,2023-11-18,,,NYK,"L, 108-122",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,1.0,2.0,0.5,2.0,6.0,8.0,4.0,0.0,1.0,1.0,3.0,7.0,8.8,-1.0
Mark Williams,willima07,2024,13,56.0,13.0,2023-11-20,,,BOS,"W, 121-118 (OT)",*,,8.0,14.0,0.571,0.0,0.0,8.0,14.0,0.571,0.571,2.0,2.0,1.0,8.0,8.0,16.0,2.0,1.0,3.0,1.0,4.0,18.0,21.3,33.0
Mark Williams,willima07,2024,14,57.0,14.0,2023-11-22,,,WAS,"W, 117-114",*,,4.0,10.0,0.4,0.0,0.0,4.0,10.0,0.4,0.4,3.0,6.0,0.5,5.0,10.0,15.0,0.0,0.0,3.0,0.0,4.0,11.0,11.4,6.0
Mark Williams,willima07,2024,15,58.0,15.0,2023-11-26,,,ORL,"L, 117-130",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,4.0,12.0,11.8,-11.0
Mark Williams,willima07,2024,16,59.0,16.0,2023-11-28,,,NYK,"L, 91-115",*,,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,2.0,2.0,1.0,6.0,6.0,12.0,0.0,1.0,0.0,0.0,2.0,12.0,13.9,-7.0
Mark Williams,willima07,2024,17,60.0,17.0,2023-11-30,,,BRK,"W, 129-128",*,,5.0,12.0,0.417,0.0,0.0,5.0,12.0,0.417,0.417,2.0,2.0,1.0,5.0,7.0,12.0,1.0,1.0,3.0,0.0,2.0,12.0,14.2,-2.0
Mark Williams,willima07,2024,18,61.0,18.0,2023-12-02,,,MIN,"L, 117-123",*,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,3.0,4.0,0.75,2.0,4.0,6.0,0.0,0.0,0.0,1.0,6.0,11.0,7.2,-8.0
Mark Williams,willima07,2024,19,62.0,20.0,2023-12-08,,,TOR,"W, 119-116",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0
