player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Steven Adams,adamsst01,2025,1,707.0,4.0,2024-10-28,,,SAS,"W, 106-101",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,3.8,11.0
Steven Adams,adamsst01,2025,2,708.0,5.0,2024-10-31,,,DAL,"W, 108-102",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,-4.0
Steven Adams,adamsst01,2025,3,709.0,7.0,2024-11-04,,,NYK,"W, 109-97",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,4.0,0.5,3.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,4.0,4.2,-6.0
Steven Adams,adamsst01,2025,4,710.0,9.0,2024-11-08,,,OKC,"L, 107-126",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,3.0,0.333,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,5.0,2.9,-11.0
Steven Adams,adamsst01,2025,5,711.0,11.0,2024-11-11,,,WAS,"W, 107-92",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,4.0,2.0,2.0,0.2,-4.0
Steven Adams,adamsst01,2025,6,712.0,13.0,2024-11-15,,,LAC,"W, 125-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.4,-10.0
Steven Adams,adamsst01,2025,7,713.0,15.0,2024-11-18,,,MIL,"L, 100-101",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-12.0
Steven Adams,adamsst01,2025,8,714.0,17.0,2024-11-22,,,POR,"W, 116-88",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,-0.4,15.0
Steven Adams,adamsst01,2025,9,715.0,20.0,2024-11-27,,,PHI,"W, 122-115 (OT)",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.7,4.0
Steven Adams,adamsst01,2025,10,716.0,21.0,2024-12-01,,,OKC,"W, 119-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,5.0
Steven Adams,adamsst01,2025,11,717.0,22.0,2024-12-03,,,SAC,"L, 111-120",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1,9.0
Steven Adams,adamsst01,2025,12,718.0,23.0,2024-12-05,,,GSW,"L, 93-99",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,4.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,6.0,9.8,10.0
Steven Adams,adamsst01,2025,13,719.0,24.0,2024-12-08,,,LAC,"W, 117-106",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,3.2,0.0
Steven Adams,adamsst01,2025,14,720.0,26.0,2024-12-14,,,OKC,"L, 96-111",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,4.0,0.5,3.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,4.2,-1.0
Steven Adams,adamsst01,2025,15,721.0,27.0,2024-12-19,,,NOP,"W, 133-113",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,-7.0
Steven Adams,adamsst01,2025,16,722.0,29.0,2024-12-23,,,CHO,"W, 114-101",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,8.0,3.0,0.0,1.0,0.0,2.0,2.0,6.9,4.0
Steven Adams,adamsst01,2025,17,723.0,30.0,2024-12-26,,,NOP,"W, 128-111",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,2.1,9.0
Steven Adams,adamsst01,2025,18,724.0,31.0,2024-12-27,,,MIN,"L, 112-113",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,0.0
Steven Adams,adamsst01,2025,19,725.0,32.0,2024-12-29,,,MIA,"L, 100-104",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,5.0,4.0,9.0,3.0,0.0,0.0,0.0,1.0,4.0,9.1,-6.0
Steven Adams,adamsst01,2025,20,726.0,33.0,2025-01-01,,,DAL,"W, 110-99",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.3,-2.0
Steven Adams,adamsst01,2025,21,727.0,34.0,2025-01-03,,,BOS,"L, 86-109",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,2.0,2.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,7.5,8.0
Steven Adams,adamsst01,2025,22,728.0,35.0,2025-01-05,,,LAL,"W, 119-115",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,4.0,0.5,7.0,2.0,9.0,1.0,1.0,1.0,0.0,2.0,8.0,12.7,17.0
Steven Adams,adamsst01,2025,23,729.0,36.0,2025-01-07,,,WAS,"W, 135-112",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.3,-7.0
