player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Marvin Bagley III,baglema01,2025,1,259.0,1.0,2024-10-24,,,BOS,"L, 102-122",,,4.0,7.0,0.571,0.0,1.0,0.0,4.0,6.0,0.667,0.571,0.0,2.0,0.0,4.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,8.0,7.0,8.0
Marvin Bagley III,baglema01,2025,2,260.0,2.0,2024-10-26,,,CLE,"L, 116-135",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,5.0,5.0,1.0,3.0,3.0,6.0,0.0,0.0,1.0,2.0,1.0,9.0,7.6,2.0
Marvin Bagley III,baglema01,2025,3,261.0,3.0,2024-10-28,,,ATL,"W, 121-119",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,1.0
Marvin Bagley III,baglema01,2025,4,262.0,4.0,2024-10-30,,,ATL,"W, 133-120",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-9.0
Marvin Bagley III,baglema01,2025,5,263.0,5.0,2024-11-02,,,MIA,"L, 98-118",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
Marvin Bagley III,baglema01,2025,6,264.0,8.0,2024-11-10,,,ORL,"L, 94-121",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.3,-4.0
Marvin Bagley III,baglema01,2025,7,265.0,9.0,2024-11-11,,,HOU,"L, 92-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Marvin Bagley III,baglema01,2025,8,266.0,12.0,2024-11-17,,,DET,"L, 104-124",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0
Marvin Bagley III,baglema01,2025,9,267.0,13.0,2024-11-18,,,NYK,"L, 106-134",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3,-1.0
Marvin Bagley III,baglema01,2025,10,268.0,16.0,2024-11-26,,,CHI,"L, 108-127",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0
Marvin Bagley III,baglema01,2025,11,269.0,17.0,2024-11-27,,,LAC,"L, 96-121",,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,1.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,8.0
