player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dalano Banton,bantoda01,2025,1,150.0,1.0,2024-10-23,,,GSW,"L, 104-140",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.6,-10.0
Dalano Banton,bantoda01,2025,2,151.0,3.0,2024-10-27,,,NOP,"W, 125-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
Dalano Banton,bantoda01,2025,3,152.0,4.0,2024-10-28,,,SAC,"L, 98-111",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-0.5,2.0
Dalano Banton,bantoda01,2025,4,153.0,6.0,2024-11-01,,,OKC,"L, 114-137",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,5.0,7.0,0.714,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,11.0,9.3,5.0
Dalano Banton,bantoda01,2025,5,154.0,7.0,2024-11-02,,,PHO,"L, 97-103",,,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,0.0,0.0,,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,12.0,12.1,18.0
Dalano Banton,bantoda01,2025,6,155.0,8.0,2024-11-04,,,NOP,"W, 118-100",,,8.0,9.0,0.889,2.0,3.0,0.667,6.0,6.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,20.0,18.9,21.0
Dalano Banton,bantoda01,2025,7,156.0,9.0,2024-11-07,,,SAS,"L, 105-118",,,1.0,8.0,0.125,0.0,2.0,0.0,1.0,6.0,0.167,0.125,2.0,4.0,0.5,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,2.4,6.0
Dalano Banton,bantoda01,2025,8,157.0,10.0,2024-11-08,,,MIN,"L, 102-127",,,4.0,7.0,0.571,0.0,1.0,0.0,4.0,6.0,0.667,0.571,4.0,5.0,0.8,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,12.0,13.0,-2.0
Dalano Banton,bantoda01,2025,9,158.0,11.0,2024-11-10,,,MEM,"L, 89-134",,,4.0,18.0,0.222,0.0,5.0,0.0,4.0,13.0,0.308,0.222,5.0,6.0,0.833,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,13.0,4.1,-13.0
Dalano Banton,bantoda01,2025,10,159.0,12.0,2024-11-12,,,MIN,"W, 122-108",,,4.0,9.0,0.444,4.0,6.0,0.667,0.0,3.0,0.0,0.667,0.0,0.0,,1.0,3.0,4.0,5.0,1.0,2.0,5.0,3.0,12.0,8.6,2.0
Dalano Banton,bantoda01,2025,11,160.0,13.0,2024-11-13,,,MIN,"W, 106-98",,,4.0,7.0,0.571,1.0,1.0,1.0,3.0,6.0,0.5,0.643,4.0,5.0,0.8,0.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,13.0,14.7,19.0
Dalano Banton,bantoda01,2025,12,161.0,14.0,2024-11-17,,,ATL,"W, 114-110",,,9.0,19.0,0.474,4.0,8.0,0.5,5.0,11.0,0.455,0.579,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,23.0,14.0,14.0
