player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jamison Battle,battlja01,2025,1,1.0,1.0,2024-10-23,,,CLE,"L, 106-136",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,5.6,0.0
Jamison Battle,battlja01,2025,2,2.0,2.0,2024-10-25,,,PHI,"W, 115-107",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,2.0,4.0,0.5,3.0,3.0,6.0,0.0,0.0,0.0,0.0,6.0,12.0,9.9,4.0
Jamison Battle,battlja01,2025,3,3.0,3.0,2024-10-26,,,MIN,"L, 101-112",,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,7.9,4.0
Jamison Battle,battlja01,2025,4,4.0,4.0,2024-10-28,,,DEN,"L, 125-127 (OT)",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,2.5,3.0
Jamison Battle,battlja01,2025,5,5.0,5.0,2024-10-30,,,CHO,"L, 133-138",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.3,-19.0
Jamison Battle,battlja01,2025,6,6.0,7.0,2024-11-02,,,SAC,"W, 131-128 (OT)",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,8.8,6.0
Jamison Battle,battlja01,2025,7,7.0,8.0,2024-11-04,,,DEN,"L, 119-121",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,2.2,-6.0
Jamison Battle,battlja01,2025,8,8.0,9.0,2024-11-06,,,SAC,"L, 107-122",,,2.0,7.0,0.286,2.0,5.0,0.4,0.0,2.0,0.0,0.429,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,6.0,0.3,0.0
Jamison Battle,battlja01,2025,9,9.0,10.0,2024-11-09,,,LAC,"L, 103-105",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.4,-3.0
Jamison Battle,battlja01,2025,10,10.0,11.0,2024-11-10,,,LAL,"L, 103-123",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,-0.3,-1.0
Jamison Battle,battlja01,2025,11,11.0,12.0,2024-11-12,,,MIL,"L, 85-99",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-2.0
Jamison Battle,battlja01,2025,12,12.0,13.0,2024-11-15,,,DET,"L, 95-99",,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,7.7,-27.0
Jamison Battle,battlja01,2025,13,13.0,14.0,2024-11-16,,,BOS,"L, 123-126 (OT)",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.4,-2.0
Jamison Battle,battlja01,2025,14,14.0,15.0,2024-11-18,,,IND,"W, 130-119",,,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,6.6,-4.0
Jamison Battle,battlja01,2025,15,15.0,16.0,2024-11-21,,,MIN,"W, 110-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,13.0
Jamison Battle,battlja01,2025,16,16.0,17.0,2024-11-24,,,CLE,"L, 108-122",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
Jamison Battle,battlja01,2025,17,17.0,18.0,2024-11-25,,,DET,"L, 100-102",,,4.0,9.0,0.444,1.0,5.0,0.2,3.0,4.0,0.75,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,9.0,7.5,20.0
Jamison Battle,battlja01,2025,18,18.0,19.0,2024-11-27,,,NOP,"W, 119-93",,,9.0,11.0,0.818,6.0,8.0,0.75,3.0,3.0,1.0,1.091,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,24.0,24.0,-1.0
Jamison Battle,battlja01,2025,19,19.0,20.0,2024-11-29,,,MIA,"L, 111-121",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,3.8,-10.0
