player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Damion Baugh,baughda01,2025,1,1.0,52.0,2025-02-12,,,ORL,"L, 86-102",,,5.0,8.0,0.625,2.0,4.0,0.5,3.0,4.0,0.75,0.75,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,3.0,16.0,13.8,-17.0
Damion Baugh,baughda01,2025,2,2.0,54.0,2025-02-20,,,DEN,"L, 115-129",,,6.0,7.0,0.857,2.0,3.0,0.667,4.0,4.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,6.0,2.0,0.0,2.0,3.0,14.0,14.5,-22.0
Damion Baugh,baughda01,2025,3,3.0,56.0,2025-02-24,,,SAC,"L, 88-130",,,1.0,8.0,0.125,1.0,6.0,0.167,0.0,2.0,0.0,0.188,1.0,2.0,0.5,1.0,1.0,2.0,4.0,4.0,0.0,1.0,1.0,4.0,4.8,-39.0
Damion Baugh,baughda01,2025,4,4.0,57.0,2025-02-25,,,GSW,"L, 92-128",,,2.0,13.0,0.154,1.0,7.0,0.143,1.0,6.0,0.167,0.192,4.0,4.0,1.0,1.0,4.0,5.0,5.0,2.0,0.0,5.0,1.0,9.0,2.7,-22.0
Damion Baugh,baughda01,2025,5,5.0,58.0,2025-02-27,,,DAL,"L, 96-103",,,1.0,8.0,0.125,0.0,2.0,0.0,1.0,6.0,0.167,0.125,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,-3.8,-5.0
Damion Baugh,baughda01,2025,6,6.0,59.0,2025-03-01,,,WAS,"L, 100-113",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,2.0,3.0,5.0,2.0,3.0,1.0,0.0,0.0,5.0,9.0,-7.0
Damion Baugh,baughda01,2025,7,7.0,60.0,2025-03-03,,,GSW,"L, 101-119",,,3.0,10.0,0.3,0.0,5.0,0.0,3.0,5.0,0.6,0.3,0.0,0.0,,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,6.0,2.8,-5.0
Damion Baugh,baughda01,2025,8,8.0,61.0,2025-03-05,,,MIN,"L, 110-125",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,-18.0
Damion Baugh,baughda01,2025,9,9.0,62.0,2025-03-07,,,CLE,"L, 117-118",,,3.0,7.0,0.429,0.0,2.0,0.0,3.0,5.0,0.6,0.429,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,6.0,1.8,11.0
Damion Baugh,baughda01,2025,10,10.0,63.0,2025-03-08,,,BRK,"W, 105-102",*,,6.0,17.0,0.353,2.0,6.0,0.333,4.0,11.0,0.364,0.412,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,14.0,5.9,3.0
Damion Baugh,baughda01,2025,11,11.0,68.0,2025-03-18,,,ATL,"L, 102-134",*,,4.0,11.0,0.364,1.0,3.0,0.333,3.0,8.0,0.375,0.409,2.0,2.0,1.0,1.0,8.0,9.0,5.0,1.0,0.0,3.0,2.0,11.0,8.7,-20.0
Damion Baugh,baughda01,2025,12,12.0,76.0,2025-04-02,,,IND,"L, 105-119",,,1.0,9.0,0.111,0.0,1.0,0.0,1.0,8.0,0.125,0.111,0.0,0.0,,2.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,-3.2,-18.0
Damion Baugh,baughda01,2025,13,13.0,80.0,2025-04-09,,,TOR,"L, 96-126",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,5.0,0.2,-5.0
Damion Baugh,baughda01,2025,14,14.0,81.0,2025-04-11,,,BOS,"L, 94-130",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,4.6,-10.0
Damion Baugh,baughda01,2025,15,15.0,82.0,2025-04-13,,,BOS,"L, 86-93",,,3.0,10.0,0.3,0.0,3.0,0.0,3.0,7.0,0.429,0.3,0.0,0.0,,3.0,4.0,7.0,6.0,1.0,1.0,4.0,2.0,6.0,4.6,5.0
