player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brandon Boston Jr.,bostobr01,2025,1,106.0,4.0,2024-10-29,,,GSW,"L, 106-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Brandon Boston Jr.,bostobr01,2025,2,107.0,5.0,2024-10-30,,,GSW,"L, 89-104",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.8,6.0
Brandon Boston Jr.,bostobr01,2025,3,108.0,6.0,2024-11-01,,,IND,"W, 125-118",,,6.0,9.0,0.667,2.0,4.0,0.5,4.0,5.0,0.8,0.778,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,14.0,13.3,-5.0
Brandon Boston Jr.,bostobr01,2025,4,109.0,7.0,2024-11-03,,,ATL,"L, 111-126",,,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,5.0,6.0,0.833,3.0,2.0,5.0,4.0,0.0,0.0,2.0,2.0,14.0,10.9,-2.0
Brandon Boston Jr.,bostobr01,2025,5,110.0,8.0,2024-11-04,,,POR,"L, 100-118",*,,9.0,15.0,0.6,2.0,6.0,0.333,7.0,9.0,0.778,0.667,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,20.0,16.3,-5.0
Brandon Boston Jr.,bostobr01,2025,6,111.0,9.0,2024-11-06,,,CLE,"L, 122-131",*,,4.0,11.0,0.364,2.0,5.0,0.4,2.0,6.0,0.333,0.455,4.0,4.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,14.0,13.1,-3.0
Brandon Boston Jr.,bostobr01,2025,7,112.0,10.0,2024-11-08,,,ORL,"L, 88-115",*,,10.0,17.0,0.588,2.0,4.0,0.5,8.0,13.0,0.615,0.647,4.0,4.0,1.0,0.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,26.0,24.0,-19.0
Brandon Boston Jr.,bostobr01,2025,8,113.0,11.0,2024-11-11,,,BRK,"L, 105-107",*,,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,0.269,0.0,0.0,,1.0,6.0,7.0,10.0,3.0,0.0,1.0,3.0,7.0,9.4,-1.0
Brandon Boston Jr.,bostobr01,2025,9,114.0,12.0,2024-11-13,,,OKC,"L, 88-106",*,,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,0.3,2.0,2.0,1.0,4.0,6.0,10.0,4.0,2.0,1.0,6.0,3.0,8.0,5.1,-17.0
Brandon Boston Jr.,bostobr01,2025,10,115.0,13.0,2024-11-15,,,DEN,"W, 101-94",*,,7.0,13.0,0.538,3.0,7.0,0.429,4.0,6.0,0.667,0.654,2.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,2.0,2.0,19.0,14.9,-1.0
Brandon Boston Jr.,bostobr01,2025,11,116.0,14.0,2024-11-16,,,LAL,"L, 99-104",*,,4.0,12.0,0.333,2.0,6.0,0.333,2.0,6.0,0.333,0.417,2.0,2.0,1.0,1.0,7.0,8.0,5.0,1.0,0.0,3.0,3.0,12.0,8.3,3.0
Brandon Boston Jr.,bostobr01,2025,12,117.0,15.0,2024-11-19,,,DAL,"L, 91-132",*,,4.0,11.0,0.364,2.0,5.0,0.4,2.0,6.0,0.333,0.455,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,10.0,7.6,-12.0
Brandon Boston Jr.,bostobr01,2025,13,118.0,16.0,2024-11-20,,,CLE,"L, 100-128",*,,5.0,18.0,0.278,0.0,5.0,0.0,5.0,13.0,0.385,0.278,4.0,6.0,0.667,1.0,2.0,3.0,5.0,1.0,0.0,4.0,3.0,14.0,3.2,-19.0
