player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kobe Brown,brownko01,2025,1,45.0,6.0,2024-11-02,,,OKC,"L, 92-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Kobe Brown,brownko01,2025,2,46.0,8.0,2024-11-06,,,PHI,"W, 110-98",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-7.0
Kobe Brown,brownko01,2025,3,47.0,12.0,2024-11-13,,,HOU,"L, 103-111",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,4.3,8.0
Kobe Brown,brownko01,2025,4,48.0,13.0,2024-11-15,,,HOU,"L, 104-125",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,3.1,-1.0
Kobe Brown,brownko01,2025,5,49.0,16.0,2024-11-20,,,ORL,"W, 104-93",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-3.0
Kobe Brown,brownko01,2025,6,50.0,18.0,2024-11-24,,,PHI,"W, 125-99",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,6.0,5.8,-2.0
Kobe Brown,brownko01,2025,7,51.0,19.0,2024-11-25,,,BOS,"L, 94-126",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-7.0
Kobe Brown,brownko01,2025,8,52.0,33.0,2024-12-31,,,SAS,"L, 86-122",,,2.0,6.0,0.333,1.0,1.0,1.0,1.0,5.0,0.2,0.417,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.2,-8.0
Kobe Brown,brownko01,2025,9,53.0,34.0,2025-01-02,,,OKC,"L, 98-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,5.0
Kobe Brown,brownko01,2025,10,54.0,35.0,2025-01-04,,,ATL,"W, 131-105",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,5.0,5.3,4.0
Kobe Brown,brownko01,2025,11,55.0,37.0,2025-01-08,,,DEN,"L, 103-126",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.3,0.0
Kobe Brown,brownko01,2025,12,56.0,40.0,2025-01-16,,,POR,"W, 118-89",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,3.3,0.0
Kobe Brown,brownko01,2025,13,57.0,42.0,2025-01-20,,,CHI,"L, 99-112",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,6.3,5.0
Kobe Brown,brownko01,2025,14,58.0,43.0,2025-01-22,,,BOS,"L, 113-117 (OT)",,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,0.0,0.0,,4.0,7.0,11.0,2.0,1.0,2.0,3.0,3.0,4.0,4.4,-7.0
Kobe Brown,brownko01,2025,15,59.0,44.0,2025-01-23,,,WAS,"W, 110-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
Kobe Brown,brownko01,2025,16,60.0,45.0,2025-01-25,,,MIL,"W, 127-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Kobe Brown,brownko01,2025,17,61.0,47.0,2025-01-29,,,SAS,"W, 128-116",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-2.0
Kobe Brown,brownko01,2025,18,62.0,48.0,2025-01-31,,,CHO,"W, 112-104",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-8.0
Kobe Brown,brownko01,2025,19,63.0,49.0,2025-02-02,,,TOR,"L, 108-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Kobe Brown,brownko01,2025,20,64.0,50.0,2025-02-04,,,LAL,"L, 97-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.1,0.0
Kobe Brown,brownko01,2025,21,65.0,52.0,2025-02-08,,,UTA,"W, 130-110",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,8.0
Kobe Brown,brownko01,2025,22,66.0,53.0,2025-02-12,,,MEM,"W, 128-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
Kobe Brown,brownko01,2025,23,67.0,54.0,2025-02-13,,,UTA,"W, 120-116 (OT)",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0
Kobe Brown,brownko01,2025,24,68.0,56.0,2025-02-23,,,IND,"L, 111-129",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5,0.0
