player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kobe Bufkin,bufkiko01,2025,1,18.0,15.0,2024-11-18,,,SAC,"W, 109-108",,,1.0,7.0,0.143,1.0,5.0,0.2,0.0,2.0,0.0,0.214,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,-0.4,-14.0
Kobe Bufkin,bufkiko01,2025,2,19.0,16.0,2024-11-20,,,GSW,"L, 97-120",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,1.0,3.0,0.333,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,6.0,3.5,-4.0
Kobe Bufkin,bufkiko01,2025,3,20.0,17.0,2024-11-22,,,CHI,"L, 122-136",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,-0.3,-5.0
Kobe Bufkin,bufkiko01,2025,4,21.0,18.0,2024-11-25,,,DAL,"L, 119-129",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,5.9,-9.0
Kobe Bufkin,bufkiko01,2025,5,22.0,19.0,2024-11-27,,,CLE,"W, 135-124",,,2.0,4.0,0.5,2.0,2.0,1.0,0.0,2.0,0.0,0.75,3.0,4.0,0.75,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,9.0,9.5,6.0
Kobe Bufkin,bufkiko01,2025,6,23.0,20.0,2024-11-29,,,CLE,"W, 117-101",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.6,6.0
Kobe Bufkin,bufkiko01,2025,7,24.0,21.0,2024-11-30,,,CHO,"W, 107-104",,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,3.0,4.0,0.75,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,9.0,7.9,7.0
Kobe Bufkin,bufkiko01,2025,8,25.0,22.0,2024-12-02,,,NOP,"W, 124-112",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,3.0,0.667,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,8.1,-8.0
Kobe Bufkin,bufkiko01,2025,9,26.0,23.0,2024-12-04,,,MIL,"W, 119-104",,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.6,7.0
Kobe Bufkin,bufkiko01,2025,10,27.0,25.0,2024-12-08,,,DEN,"L, 111-141",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.9,-9.0
