player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Josh Christopher,chrisjo01,2025,1,139.0,27.0,2024-12-23,,,BRK,"W, 110-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-5.0
Josh Christopher,chrisjo01,2025,2,140.0,32.0,2025-01-02,,,IND,"L, 115-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4,4.0
Josh Christopher,chrisjo01,2025,3,141.0,33.0,2025-01-04,,,UTA,"L, 100-136",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,5.0,4.4,-3.0
Josh Christopher,chrisjo01,2025,4,142.0,35.0,2025-01-07,,,GSW,"W, 114-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Josh Christopher,chrisjo01,2025,5,143.0,37.0,2025-01-11,,,POR,"W, 119-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
Josh Christopher,chrisjo01,2025,6,144.0,41.0,2025-01-19,,,SAS,"W, 128-107",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2.0
Josh Christopher,chrisjo01,2025,7,145.0,43.0,2025-01-23,,,MIL,"L, 96-125",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-3.0
Josh Christopher,chrisjo01,2025,8,146.0,46.0,2025-01-29,,,CLE,"L, 106-126",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Josh Christopher,chrisjo01,2025,9,147.0,74.0,2025-03-29,,,PHI,"W, 118-95",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,2.0
Josh Christopher,chrisjo01,2025,10,148.0,75.0,2025-03-31,,,WAS,"W, 120-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
Josh Christopher,chrisjo01,2025,11,149.0,76.0,2025-04-02,,,BOS,"W, 124-103",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.3,3.0
Josh Christopher,chrisjo01,2025,12,150.0,79.0,2025-04-07,,,PHI,"W, 117-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
Josh Christopher,chrisjo01,2025,13,151.0,81.0,2025-04-11,,,NOP,"W, 153-104",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.6,5.0
Josh Christopher,chrisjo01,2025,14,152.0,82.0,2025-04-13,,,WAS,"L, 118-119",,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,11.0,0.545,0.469,2.0,2.0,1.0,0.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,17.0,16.0,-2.0
