player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Donte DiVincenzo,divindo01,2025,1,355.0,1.0,2024-10-22,,,LAL,"L, 103-110",,,3.0,11.0,0.273,2.0,8.0,0.25,1.0,3.0,0.333,0.364,2.0,4.0,0.5,1.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,10.0,6.3,-5.0
Donte DiVincenzo,divindo01,2025,2,356.0,2.0,2024-10-24,,,SAC,"W, 117-115",,,4.0,10.0,0.4,1.0,6.0,0.167,3.0,4.0,0.75,0.45,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,9.0,2.5,7.0
Donte DiVincenzo,divindo01,2025,3,357.0,3.0,2024-10-26,,,TOR,"W, 112-101",,,5.0,15.0,0.333,4.0,11.0,0.364,1.0,4.0,0.25,0.467,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,16.0,8.1,-6.0
Donte DiVincenzo,divindo01,2025,4,358.0,4.0,2024-10-29,,,DAL,"L, 114-120",,,1.0,6.0,0.167,1.0,5.0,0.2,0.0,1.0,0.0,0.25,0.0,0.0,,0.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,4.6,5.0
Donte DiVincenzo,divindo01,2025,5,359.0,5.0,2024-11-01,,,DEN,"W, 119-116",,,2.0,7.0,0.286,2.0,7.0,0.286,0.0,0.0,,0.429,1.0,2.0,0.5,1.0,7.0,8.0,6.0,1.0,0.0,3.0,1.0,7.0,7.1,-4.0
Donte DiVincenzo,divindo01,2025,6,360.0,6.0,2024-11-02,,,SAS,"L, 103-113",,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,14.0,11.7,-1.0
Donte DiVincenzo,divindo01,2025,7,361.0,7.0,2024-11-04,,,CHO,"W, 114-93",,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,1.0,1.0,1.0,0.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,14.0,11.1,33.0
Donte DiVincenzo,divindo01,2025,8,362.0,8.0,2024-11-07,,,CHI,"W, 135-119",,,4.0,12.0,0.333,3.0,10.0,0.3,1.0,2.0,0.5,0.458,2.0,2.0,1.0,0.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,13.0,10.7,19.0
Donte DiVincenzo,divindo01,2025,9,363.0,9.0,2024-11-08,,,POR,"W, 127-102",,,4.0,12.0,0.333,4.0,11.0,0.364,0.0,1.0,0.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,1.0,1.0,14.0,13.0,8.0
Donte DiVincenzo,divindo01,2025,10,364.0,10.0,2024-11-10,,,MIA,"L, 94-95",,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,0.0,0.0,,1.0,5.0,6.0,2.0,4.0,1.0,2.0,3.0,8.0,8.0,3.0
Donte DiVincenzo,divindo01,2025,11,365.0,11.0,2024-11-12,,,POR,"L, 108-122",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,0.2,-20.0
Donte DiVincenzo,divindo01,2025,12,366.0,12.0,2024-11-13,,,POR,"L, 98-106",,,1.0,10.0,0.1,0.0,6.0,0.0,1.0,4.0,0.25,0.1,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.6,-8.0
Donte DiVincenzo,divindo01,2025,13,367.0,13.0,2024-11-15,,,SAC,"W, 130-126 (OT)",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.1,-14.0
Donte DiVincenzo,divindo01,2025,14,368.0,14.0,2024-11-17,,,PHO,"W, 120-117",,,5.0,11.0,0.455,5.0,10.0,0.5,0.0,1.0,0.0,0.682,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,15.0,10.9,10.0
Donte DiVincenzo,divindo01,2025,15,369.0,15.0,2024-11-21,,,TOR,"L, 105-110",,,4.0,12.0,0.333,3.0,9.0,0.333,1.0,3.0,0.333,0.458,0.0,0.0,,0.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0,11.0,6.4,-9.0
Donte DiVincenzo,divindo01,2025,16,370.0,16.0,2024-11-24,,,BOS,"L, 105-107",*,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,11.0,8.6,-2.0
Donte DiVincenzo,divindo01,2025,17,371.0,17.0,2024-11-26,,,HOU,"L, 111-117 (OT)",*,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,1.0,2.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,-1.3,-15.0
Donte DiVincenzo,divindo01,2025,18,372.0,18.0,2024-11-27,,,SAC,"L, 104-115",,,2.0,7.0,0.286,1.0,6.0,0.167,1.0,1.0,1.0,0.357,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,5.0,1.9,-9.0
Donte DiVincenzo,divindo01,2025,19,373.0,19.0,2024-11-29,,,LAC,"W, 93-92",,,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,9.0,7.7,4.0
Donte DiVincenzo,divindo01,2025,20,374.0,20.0,2024-12-02,,,LAL,"W, 109-80",,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,0.0,0.0,,0.0,5.0,5.0,9.0,2.0,0.0,0.0,1.0,11.0,16.4,21.0
Donte DiVincenzo,divindo01,2025,21,375.0,21.0,2024-12-04,,,LAC,"W, 108-80",,,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,0.0,0.0,,2.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.6,9.0
Donte DiVincenzo,divindo01,2025,22,376.0,22.0,2024-12-06,,,GSW,"W, 107-90",,,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,,0.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,5.0,6.6,9.0
