player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Simone Fontecchio,fontesi01,2025,1,119.0,1.0,2024-10-23,,,IND,"L, 109-115",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-4.3,3.0
Simone Fontecchio,fontesi01,2025,2,120.0,2.0,2024-10-25,,,CLE,"L, 101-113",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,2.2,-5.0
Simone Fontecchio,fontesi01,2025,3,121.0,3.0,2024-10-26,,,BOS,"L, 118-124",,,3.0,6.0,0.5,3.0,5.0,0.6,0.0,1.0,0.0,0.75,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,7.8,8.0
Simone Fontecchio,fontesi01,2025,4,122.0,4.0,2024-10-28,,,MIA,"L, 98-106",,,2.0,9.0,0.222,1.0,5.0,0.2,1.0,4.0,0.25,0.278,1.0,2.0,0.5,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,3.2,-11.0
Simone Fontecchio,fontesi01,2025,5,123.0,5.0,2024-10-30,,,PHI,"W, 105-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,2.9,3.0
Simone Fontecchio,fontesi01,2025,6,124.0,6.0,2024-11-01,,,NYK,"L, 98-128",,,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,12.0,7.9,-17.0
Simone Fontecchio,fontesi01,2025,7,125.0,7.0,2024-11-03,,,BRK,"W, 106-92",,,1.0,6.0,0.167,1.0,4.0,0.25,0.0,2.0,0.0,0.25,4.0,5.0,0.8,2.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,6.3,10.0
Simone Fontecchio,fontesi01,2025,8,126.0,8.0,2024-11-04,,,LAL,"W, 115-103",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,-1.4,3.0
Simone Fontecchio,fontesi01,2025,9,127.0,9.0,2024-11-06,,,CHO,"L, 107-108",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0
Simone Fontecchio,fontesi01,2025,10,128.0,10.0,2024-11-08,,,ATL,"W, 122-121",,,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.583,4.0,5.0,0.8,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,11.0,9.8,5.0
Simone Fontecchio,fontesi01,2025,11,129.0,11.0,2024-11-10,,,HOU,"L, 99-101",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,5.2,-5.0
Simone Fontecchio,fontesi01,2025,12,130.0,12.0,2024-11-12,,,MIA,"W, 123-121 (OT)",,,4.0,8.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,0.625,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,10.0,5.9,12.0
Simone Fontecchio,fontesi01,2025,13,131.0,15.0,2024-11-17,,,WAS,"W, 124-104",,,2.0,6.0,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,3.4,-4.0
Simone Fontecchio,fontesi01,2025,14,132.0,16.0,2024-11-18,,,CHI,"L, 112-122",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,6.0,2.9,7.0
Simone Fontecchio,fontesi01,2025,15,133.0,17.0,2024-11-21,,,CHO,"L, 121-123 (OT)",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,5.6,19.0
Simone Fontecchio,fontesi01,2025,16,134.0,18.0,2024-11-23,,,ORL,"L, 100-111",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,2.4,-20.0
Simone Fontecchio,fontesi01,2025,17,135.0,19.0,2024-11-25,,,TOR,"W, 102-100",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.9,-14.0
Simone Fontecchio,fontesi01,2025,18,136.0,20.0,2024-11-27,,,MEM,"L, 111-131",,,7.0,9.0,0.778,3.0,5.0,0.6,4.0,4.0,1.0,0.944,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,18.0,14.1,-15.0
Simone Fontecchio,fontesi01,2025,19,137.0,21.0,2024-11-29,,,IND,"W, 130-106",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,5.3,-5.0
Simone Fontecchio,fontesi01,2025,20,138.0,22.0,2024-11-30,,,PHI,"L, 96-111",,,2.0,12.0,0.167,1.0,8.0,0.125,1.0,4.0,0.25,0.208,2.0,2.0,1.0,0.0,11.0,11.0,2.0,0.0,0.0,2.0,4.0,7.0,0.5,7.0
Simone Fontecchio,fontesi01,2025,21,139.0,23.0,2024-12-03,,,MIL,"L, 107-128",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,5.0,4.2,-12.0
Simone Fontecchio,fontesi01,2025,22,140.0,24.0,2024-12-04,,,BOS,"L, 120-130",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,-5.0
Simone Fontecchio,fontesi01,2025,23,141.0,25.0,2024-12-07,,,NYK,"W, 120-111",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,6.3,9.0
Simone Fontecchio,fontesi01,2025,24,142.0,26.0,2024-12-12,,,BOS,"L, 99-123",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,2.8,-7.0
Simone Fontecchio,fontesi01,2025,25,143.0,27.0,2024-12-16,,,MIA,"W, 125-124 (OT)",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,9.0,5.0,1.0
Simone Fontecchio,fontesi01,2025,26,144.0,28.0,2024-12-19,,,UTA,"L, 119-126",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,6.0,6.3,10.0
Simone Fontecchio,fontesi01,2025,27,145.0,29.0,2024-12-21,,,PHO,"W, 133-125",,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,6.6,1.0
Simone Fontecchio,fontesi01,2025,28,146.0,30.0,2024-12-23,,,LAL,"W, 117-114",,,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.25,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,11.0,19.0
Simone Fontecchio,fontesi01,2025,29,147.0,31.0,2024-12-26,,,SAC,"W, 114-113",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.2,-3.0
Simone Fontecchio,fontesi01,2025,30,148.0,32.0,2024-12-28,,,DEN,"L, 121-134",,,1.0,6.0,0.167,1.0,4.0,0.25,0.0,2.0,0.0,0.25,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,1.6,-16.0
Simone Fontecchio,fontesi01,2025,31,149.0,36.0,2025-01-06,,,POR,"W, 118-115",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,2.0,3.0,0.667,3.0,3.0,6.0,0.0,1.0,0.0,2.0,0.0,10.0,7.2,-3.0
