player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
De'Aaron Fox,foxde01,2025,1,470.0,1.0,2024-10-24,,,MIN,"L, 115-117",*,,6.0,14.0,0.429,1.0,4.0,0.25,5.0,10.0,0.5,0.464,2.0,2.0,1.0,0.0,2.0,2.0,11.0,1.0,0.0,2.0,3.0,15.0,13.7,2.0
De'Aaron Fox,foxde01,2025,2,471.0,2.0,2024-10-26,,,LAL,"L, 127-131",*,,9.0,20.0,0.45,3.0,10.0,0.3,6.0,10.0,0.6,0.525,7.0,8.0,0.875,0.0,5.0,5.0,10.0,2.0,0.0,6.0,3.0,28.0,20.5,-5.0
De'Aaron Fox,foxde01,2025,3,472.0,3.0,2024-10-28,,,POR,"W, 111-98",*,,9.0,20.0,0.45,2.0,8.0,0.25,7.0,12.0,0.583,0.5,4.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,3.0,4.0,24.0,15.3,13.0
De'Aaron Fox,foxde01,2025,4,473.0,4.0,2024-10-29,,,UTA,"W, 113-96",*,,8.0,15.0,0.533,1.0,2.0,0.5,7.0,13.0,0.538,0.567,2.0,2.0,1.0,2.0,3.0,5.0,6.0,1.0,0.0,3.0,3.0,19.0,15.0,18.0
De'Aaron Fox,foxde01,2025,5,474.0,5.0,2024-11-01,,,ATL,"W, 123-115",*,,11.0,16.0,0.688,4.0,6.0,0.667,7.0,10.0,0.7,0.813,5.0,6.0,0.833,0.0,7.0,7.0,3.0,4.0,0.0,6.0,3.0,31.0,24.8,21.0
De'Aaron Fox,foxde01,2025,6,475.0,6.0,2024-11-02,,,TOR,"L, 128-131 (OT)",*,,8.0,22.0,0.364,0.0,11.0,0.0,8.0,11.0,0.727,0.364,8.0,10.0,0.8,3.0,3.0,6.0,1.0,5.0,0.0,5.0,2.0,24.0,13.9,-5.0
De'Aaron Fox,foxde01,2025,7,476.0,7.0,2024-11-04,,,MIA,"W, 111-110",*,,11.0,21.0,0.524,3.0,6.0,0.5,8.0,15.0,0.533,0.595,3.0,4.0,0.75,2.0,4.0,6.0,5.0,0.0,0.0,4.0,4.0,28.0,17.8,-9.0
De'Aaron Fox,foxde01,2025,8,477.0,8.0,2024-11-06,,,TOR,"W, 122-107",*,,5.0,17.0,0.294,2.0,8.0,0.25,3.0,9.0,0.333,0.353,9.0,10.0,0.9,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,21.0,11.6,9.0
De'Aaron Fox,foxde01,2025,9,478.0,9.0,2024-11-08,,,LAC,"L, 98-107",*,,12.0,20.0,0.6,2.0,5.0,0.4,10.0,15.0,0.667,0.65,5.0,6.0,0.833,1.0,2.0,3.0,0.0,1.0,0.0,7.0,4.0,31.0,15.1,-11.0
De'Aaron Fox,foxde01,2025,10,479.0,10.0,2024-11-10,,,PHO,"W, 127-118 (OT)",*,,10.0,23.0,0.435,0.0,6.0,0.0,10.0,17.0,0.588,0.435,1.0,1.0,1.0,1.0,10.0,11.0,8.0,0.0,0.0,0.0,0.0,21.0,18.2,9.0
De'Aaron Fox,foxde01,2025,11,480.0,11.0,2024-11-11,,,SAS,"L, 96-116",*,,9.0,19.0,0.474,2.0,5.0,0.4,7.0,14.0,0.5,0.526,4.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,0.0,1.0,4.0,24.0,17.0,-21.0
De'Aaron Fox,foxde01,2025,12,481.0,12.0,2024-11-13,,,PHO,"W, 127-104",*,,11.0,17.0,0.647,1.0,2.0,0.5,10.0,15.0,0.667,0.676,6.0,8.0,0.75,1.0,5.0,6.0,10.0,2.0,1.0,3.0,3.0,29.0,28.4,19.0
De'Aaron Fox,foxde01,2025,13,482.0,13.0,2024-11-15,,,MIN,"L, 126-130 (OT)",*,,22.0,35.0,0.629,6.0,10.0,0.6,16.0,25.0,0.64,0.714,10.0,11.0,0.909,2.0,1.0,3.0,7.0,3.0,1.0,6.0,3.0,60.0,47.0,1.0
De'Aaron Fox,foxde01,2025,14,483.0,14.0,2024-11-16,,,UTA,"W, 121-117",*,,16.0,30.0,0.533,3.0,4.0,0.75,13.0,26.0,0.5,0.583,14.0,19.0,0.737,0.0,3.0,3.0,9.0,2.0,0.0,4.0,3.0,49.0,36.4,1.0
De'Aaron Fox,foxde01,2025,15,484.0,15.0,2024-11-18,,,ATL,"L, 108-109",*,,11.0,23.0,0.478,3.0,6.0,0.5,8.0,17.0,0.471,0.543,3.0,4.0,0.75,0.0,5.0,5.0,7.0,1.0,0.0,4.0,2.0,28.0,18.5,2.0
De'Aaron Fox,foxde01,2025,16,485.0,16.0,2024-11-22,,,LAC,"L, 88-104",*,,10.0,20.0,0.5,1.0,7.0,0.143,9.0,13.0,0.692,0.525,8.0,10.0,0.8,2.0,5.0,7.0,7.0,1.0,0.0,3.0,0.0,29.0,24.0,-4.0
De'Aaron Fox,foxde01,2025,17,486.0,17.0,2024-11-24,,,BRK,"L, 103-108",*,,10.0,16.0,0.625,3.0,4.0,0.75,7.0,12.0,0.583,0.719,8.0,12.0,0.667,0.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,31.0,25.6,5.0
De'Aaron Fox,foxde01,2025,18,487.0,18.0,2024-11-25,,,OKC,"L, 109-130",*,,5.0,15.0,0.333,1.0,6.0,0.167,4.0,9.0,0.444,0.367,3.0,4.0,0.75,0.0,3.0,3.0,5.0,1.0,0.0,4.0,4.0,14.0,4.9,-22.0
De'Aaron Fox,foxde01,2025,19,488.0,19.0,2024-11-27,,,MIN,"W, 115-104",*,,10.0,22.0,0.455,3.0,8.0,0.375,7.0,14.0,0.5,0.523,3.0,5.0,0.6,0.0,8.0,8.0,8.0,2.0,0.0,5.0,1.0,26.0,18.4,6.0
De'Aaron Fox,foxde01,2025,20,489.0,20.0,2024-11-29,,,POR,"L, 106-115",*,,8.0,18.0,0.444,1.0,6.0,0.167,7.0,12.0,0.583,0.472,5.0,7.0,0.714,2.0,3.0,5.0,5.0,0.0,0.0,5.0,5.0,22.0,10.6,-9.0
De'Aaron Fox,foxde01,2025,21,490.0,21.0,2024-12-01,,,SAS,"L, 125-127",*,,9.0,23.0,0.391,3.0,8.0,0.375,6.0,15.0,0.4,0.457,2.0,2.0,1.0,3.0,3.0,6.0,9.0,2.0,1.0,2.0,1.0,23.0,20.1,-3.0
De'Aaron Fox,foxde01,2025,22,491.0,22.0,2024-12-03,,,HOU,"W, 120-111",*,,9.0,19.0,0.474,4.0,6.0,0.667,5.0,13.0,0.385,0.579,0.0,0.0,,3.0,3.0,6.0,7.0,3.0,1.0,3.0,3.0,22.0,19.7,17.0
De'Aaron Fox,foxde01,2025,23,492.0,23.0,2024-12-05,,,MEM,"L, 110-115",*,,8.0,23.0,0.348,0.0,7.0,0.0,8.0,16.0,0.5,0.348,2.0,3.0,0.667,2.0,4.0,6.0,3.0,6.0,0.0,4.0,2.0,18.0,10.6,-4.0
De'Aaron Fox,foxde01,2025,24,493.0,24.0,2024-12-06,,,SAS,"W, 140-113",*,,9.0,17.0,0.529,2.0,7.0,0.286,7.0,10.0,0.7,0.588,2.0,2.0,1.0,0.0,4.0,4.0,8.0,0.0,1.0,2.0,3.0,22.0,18.0,8.0
De'Aaron Fox,foxde01,2025,25,494.0,25.0,2024-12-08,,,UTA,"W, 141-97",*,,9.0,16.0,0.563,1.0,5.0,0.2,8.0,11.0,0.727,0.594,2.0,4.0,0.5,2.0,2.0,4.0,9.0,0.0,1.0,1.0,1.0,21.0,20.2,24.0
De'Aaron Fox,foxde01,2025,26,495.0,26.0,2024-12-12,,,NOP,"W, 111-109",*,,7.0,20.0,0.35,1.0,6.0,0.167,6.0,14.0,0.429,0.375,3.0,4.0,0.75,3.0,4.0,7.0,8.0,1.0,1.0,5.0,2.0,18.0,11.2,3.0
De'Aaron Fox,foxde01,2025,27,496.0,27.0,2024-12-16,,,DEN,"L, 129-130",*,,11.0,24.0,0.458,2.0,7.0,0.286,9.0,17.0,0.529,0.5,5.0,6.0,0.833,0.0,5.0,5.0,7.0,0.0,1.0,3.0,4.0,29.0,18.7,-13.0
De'Aaron Fox,foxde01,2025,28,497.0,28.0,2024-12-19,,,LAL,"L, 100-113",*,,7.0,17.0,0.412,2.0,5.0,0.4,5.0,12.0,0.417,0.471,10.0,11.0,0.909,0.0,3.0,3.0,5.0,3.0,0.0,4.0,5.0,26.0,17.9,-10.0
De'Aaron Fox,foxde01,2025,29,498.0,29.0,2024-12-21,,,LAL,"L, 99-103",*,,12.0,17.0,0.706,3.0,5.0,0.6,9.0,12.0,0.75,0.794,4.0,4.0,1.0,1.0,4.0,5.0,7.0,1.0,0.0,4.0,3.0,31.0,26.5,-11.0
De'Aaron Fox,foxde01,2025,30,499.0,30.0,2024-12-22,,,IND,"L, 95-122",*,,7.0,19.0,0.368,2.0,6.0,0.333,5.0,13.0,0.385,0.421,7.0,8.0,0.875,1.0,4.0,5.0,7.0,1.0,0.0,2.0,2.0,23.0,17.1,-19.0
De'Aaron Fox,foxde01,2025,31,500.0,31.0,2024-12-26,,,DET,"L, 113-114",*,,11.0,25.0,0.44,2.0,7.0,0.286,9.0,18.0,0.5,0.48,2.0,3.0,0.667,1.0,5.0,6.0,4.0,0.0,2.0,3.0,4.0,26.0,14.3,-13.0
De'Aaron Fox,foxde01,2025,32,501.0,32.0,2024-12-28,,,LAL,"L, 122-132",*,,12.0,25.0,0.48,1.0,9.0,0.111,11.0,16.0,0.688,0.5,4.0,7.0,0.571,1.0,4.0,5.0,12.0,4.0,1.0,3.0,2.0,29.0,26.3,-7.0
De'Aaron Fox,foxde01,2025,33,502.0,33.0,2024-12-30,,,DAL,"W, 110-100",*,,13.0,23.0,0.565,3.0,7.0,0.429,10.0,16.0,0.625,0.63,4.0,5.0,0.8,2.0,4.0,6.0,6.0,1.0,0.0,1.0,5.0,33.0,26.5,17.0
De'Aaron Fox,foxde01,2025,34,503.0,34.0,2025-01-01,,,PHI,"W, 113-107",*,,13.0,16.0,0.813,2.0,4.0,0.5,11.0,12.0,0.917,0.875,7.0,8.0,0.875,0.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,35.0,28.8,12.0
De'Aaron Fox,foxde01,2025,35,504.0,35.0,2025-01-03,,,MEM,"W, 138-133",*,,7.0,23.0,0.304,1.0,8.0,0.125,6.0,15.0,0.4,0.326,8.0,9.0,0.889,0.0,3.0,3.0,5.0,3.0,0.0,1.0,4.0,23.0,14.1,2.0
