player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daniel Gafford,gaffoda01,2025,1,322.0,1.0,2024-10-24,,,SAS,"W, 120-109",*,,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,3.0,4.0,0.75,4.0,2.0,6.0,2.0,1.0,1.0,1.0,5.0,9.0,9.1,8.0
Daniel Gafford,gaffoda01,2025,2,323.0,2.0,2024-10-26,,,PHO,"L, 102-114",*,,3.0,7.0,0.429,0.0,0.0,3.0,7.0,0.429,0.429,1.0,2.0,0.5,4.0,4.0,8.0,4.0,0.0,0.0,1.0,2.0,7.0,7.9,-1.0
Daniel Gafford,gaffoda01,2025,3,324.0,3.0,2024-10-28,,,UTA,"W, 110-102",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,1.0,1.0,1.0,4.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,9.0,10.0,-1.0
Daniel Gafford,gaffoda01,2025,4,325.0,4.0,2024-10-29,,,MIN,"W, 120-114",*,,6.0,6.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,14.0,15.0,1.0
Daniel Gafford,gaffoda01,2025,5,326.0,5.0,2024-10-31,,,HOU,"L, 102-108",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,2.0,1.0,4.0,6.0,5.2,-15.0
Daniel Gafford,gaffoda01,2025,6,327.0,6.0,2024-11-03,,,ORL,"W, 108-85",*,,9.0,13.0,0.692,0.0,0.0,9.0,13.0,0.692,0.692,0.0,1.0,0.0,3.0,5.0,8.0,0.0,1.0,0.0,3.0,3.0,18.0,12.5,4.0
Daniel Gafford,gaffoda01,2025,7,328.0,7.0,2024-11-04,,,IND,"L, 127-134",*,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,7.5,-12.0
Daniel Gafford,gaffoda01,2025,8,329.0,8.0,2024-11-06,,,CHI,"W, 119-99",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,3.0,4.0,0.75,2.0,5.0,7.0,1.0,0.0,3.0,0.0,1.0,17.0,18.4,19.0
Daniel Gafford,gaffoda01,2025,9,330.0,9.0,2024-11-08,,,PHO,"L, 113-114",*,,6.0,7.0,0.857,0.0,0.0,6.0,7.0,0.857,0.857,3.0,3.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,6.0,15.0,12.4,0.0
Daniel Gafford,gaffoda01,2025,10,331.0,10.0,2024-11-10,,,DEN,"L, 120-122",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,2.0,4.0,0.5,2.0,5.0,7.0,3.0,2.0,2.0,1.0,5.0,16.0,17.1,-5.0
