player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Gary Harris,harriga01,2025,1,571.0,1.0,2024-10-23,,,MIA,"W, 116-97",,,6.0,9.0,0.667,6.0,9.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,18.0,16.1,2.0
Gary Harris,harriga01,2025,2,572.0,2.0,2024-10-25,,,BRK,"W, 116-101",,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.3,4.0
Gary Harris,harriga01,2025,3,573.0,3.0,2024-10-26,,,MEM,"L, 111-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Harris,harriga01,2025,4,574.0,4.0,2024-10-28,,,IND,"W, 119-115",,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.6,-3.0
Gary Harris,harriga01,2025,5,575.0,5.0,2024-10-30,,,CHI,"L, 99-102",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,6.0
Gary Harris,harriga01,2025,6,576.0,6.0,2024-11-01,,,CLE,"L, 109-120",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-2.9,-3.0
Gary Harris,harriga01,2025,7,577.0,7.0,2024-11-03,,,DAL,"L, 85-108",,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.3,-14.0
Gary Harris,harriga01,2025,8,578.0,9.0,2024-11-06,,,IND,"L, 111-118",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,-2.0
Gary Harris,harriga01,2025,9,579.0,10.0,2024-11-08,,,NOP,"W, 115-88",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,2.0,3.0,0.667,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,7.7,26.0
Gary Harris,harriga01,2025,10,580.0,11.0,2024-11-10,,,WAS,"W, 121-94",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.3,9.0
