player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Josh Hart,hartjo01,2025,1,454.0,1.0,2024-10-22,,,BOS,"L, 109-132",*,,4.0,6.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.667,4.0,6.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,12.0,11.3,-23.0
Josh Hart,hartjo01,2025,2,455.0,2.0,2024-10-25,,,IND,"W, 123-98",*,,8.0,15.0,0.533,1.0,6.0,0.167,7.0,9.0,0.778,0.567,3.0,4.0,0.75,3.0,7.0,10.0,3.0,1.0,0.0,3.0,1.0,20.0,16.2,35.0
Josh Hart,hartjo01,2025,3,456.0,3.0,2024-10-28,,,CLE,"L, 104-110",*,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,6.0,6.0,1.0,4.0,9.0,13.0,2.0,3.0,0.0,5.0,1.0,16.0,15.1,-4.0
Josh Hart,hartjo01,2025,4,457.0,4.0,2024-10-30,,,MIA,"W, 116-107",*,,4.0,7.0,0.571,2.0,5.0,0.4,2.0,2.0,1.0,0.714,0.0,0.0,,1.0,13.0,14.0,6.0,1.0,0.0,0.0,3.0,10.0,15.3,9.0
Josh Hart,hartjo01,2025,5,458.0,5.0,2024-11-01,,,DET,"W, 128-98",*,,6.0,9.0,0.667,1.0,3.0,0.333,5.0,6.0,0.833,0.722,0.0,0.0,,3.0,6.0,9.0,4.0,2.0,0.0,3.0,2.0,13.0,14.0,24.0
Josh Hart,hartjo01,2025,6,459.0,6.0,2024-11-04,,,HOU,"L, 97-109",*,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,4.0,4.0,1.0,0.0,4.0,4.0,7.0,1.0,0.0,1.0,3.0,12.0,12.2,-20.0
Josh Hart,hartjo01,2025,7,460.0,7.0,2024-11-06,,,ATL,"L, 116-121",*,,6.0,9.0,0.667,2.0,4.0,0.5,4.0,5.0,0.8,0.778,0.0,0.0,,1.0,7.0,8.0,8.0,1.0,1.0,3.0,6.0,14.0,14.8,-14.0
Josh Hart,hartjo01,2025,8,461.0,8.0,2024-11-08,,,MIL,"W, 116-94",*,,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,0.9,2.0,2.0,1.0,2.0,7.0,9.0,7.0,0.0,0.0,0.0,3.0,11.0,16.3,19.0
Josh Hart,hartjo01,2025,9,462.0,9.0,2024-11-10,,,IND,"L, 121-132",*,,7.0,12.0,0.583,0.0,3.0,0.0,7.0,9.0,0.778,0.583,2.0,3.0,0.667,2.0,8.0,10.0,6.0,1.0,1.0,1.0,1.0,16.0,18.3,-16.0
Josh Hart,hartjo01,2025,10,463.0,10.0,2024-11-12,,,PHI,"W, 111-99",*,,6.0,8.0,0.75,1.0,3.0,0.333,5.0,5.0,1.0,0.813,1.0,1.0,1.0,1.0,11.0,12.0,10.0,1.0,1.0,4.0,3.0,14.0,18.3,16.0
Josh Hart,hartjo01,2025,11,464.0,11.0,2024-11-13,,,CHI,"L, 123-124",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,4.0,4.0,8.0,6.0,0.0,0.0,2.0,3.0,6.0,8.0,9.0
Josh Hart,hartjo01,2025,12,465.0,12.0,2024-11-15,,,BRK,"W, 124-122",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,6.0,6.0,1.0,0.0,9.0,9.0,9.0,2.0,0.0,2.0,3.0,14.0,18.1,2.0
Josh Hart,hartjo01,2025,13,466.0,13.0,2024-11-17,,,BRK,"W, 114-104",*,,8.0,13.0,0.615,3.0,7.0,0.429,5.0,6.0,0.833,0.731,1.0,1.0,1.0,0.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,20.0,20.7,8.0
Josh Hart,hartjo01,2025,14,467.0,14.0,2024-11-18,,,WAS,"W, 134-106",*,,6.0,9.0,0.667,2.0,5.0,0.4,4.0,4.0,1.0,0.778,0.0,0.0,,0.0,6.0,6.0,3.0,0.0,0.0,1.0,1.0,14.0,12.6,26.0
Josh Hart,hartjo01,2025,15,468.0,15.0,2024-11-20,,,PHO,"W, 138-122",*,,8.0,11.0,0.727,2.0,3.0,0.667,6.0,8.0,0.75,0.818,1.0,2.0,0.5,4.0,7.0,11.0,6.0,3.0,0.0,1.0,2.0,19.0,24.4,22.0
Josh Hart,hartjo01,2025,16,469.0,16.0,2024-11-23,,,UTA,"L, 106-121",*,,6.0,11.0,0.545,2.0,4.0,0.5,4.0,7.0,0.571,0.636,3.0,4.0,0.75,1.0,5.0,6.0,6.0,2.0,3.0,3.0,2.0,17.0,18.0,-37.0
Josh Hart,hartjo01,2025,17,470.0,17.0,2024-11-25,,,DEN,"W, 145-118",*,,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.1,1.0,1.0,1.0,2.0,4.0,6.0,5.0,1.0,1.0,1.0,5.0,12.0,15.3,13.0
Josh Hart,hartjo01,2025,18,471.0,18.0,2024-11-27,,,DAL,"L, 114-129",*,,5.0,10.0,0.5,1.0,2.0,0.5,4.0,8.0,0.5,0.55,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,3.0,12.0,11.9,-8.0
Josh Hart,hartjo01,2025,19,472.0,19.0,2024-11-29,,,CHO,"W, 99-98",*,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,0.0,0.0,,4.0,8.0,12.0,5.0,2.0,0.0,3.0,3.0,13.0,13.5,1.0
Josh Hart,hartjo01,2025,20,473.0,20.0,2024-12-01,,,NOP,"W, 118-85",*,,5.0,9.0,0.556,2.0,3.0,0.667,3.0,6.0,0.5,0.667,0.0,0.0,,1.0,5.0,6.0,3.0,2.0,1.0,0.0,2.0,12.0,13.9,23.0
Josh Hart,hartjo01,2025,21,474.0,21.0,2024-12-03,,,ORL,"W, 121-106",*,,4.0,6.0,0.667,0.0,1.0,0.0,4.0,5.0,0.8,0.667,3.0,3.0,1.0,1.0,12.0,13.0,10.0,3.0,0.0,4.0,2.0,11.0,17.9,18.0
Josh Hart,hartjo01,2025,22,475.0,22.0,2024-12-05,,,CHO,"W, 125-101",*,,6.0,9.0,0.667,4.0,6.0,0.667,2.0,3.0,0.667,0.889,2.0,2.0,1.0,0.0,10.0,10.0,6.0,1.0,0.0,1.0,2.0,18.0,20.5,17.0
Josh Hart,hartjo01,2025,23,476.0,23.0,2024-12-07,,,DET,"L, 111-120",*,,7.0,11.0,0.636,1.0,4.0,0.25,6.0,7.0,0.857,0.682,2.0,3.0,0.667,1.0,5.0,6.0,3.0,1.0,0.0,0.0,3.0,17.0,15.8,-3.0
Josh Hart,hartjo01,2025,24,477.0,24.0,2024-12-09,,,TOR,"W, 113-108",*,,4.0,9.0,0.444,1.0,2.0,0.5,3.0,7.0,0.429,0.5,1.0,2.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,10.0,9.2,-2.0
Josh Hart,hartjo01,2025,25,478.0,25.0,2024-12-11,,,ATL,"L, 100-108",*,,8.0,12.0,0.667,3.0,5.0,0.6,5.0,7.0,0.714,0.792,2.0,2.0,1.0,2.0,6.0,8.0,6.0,1.0,0.0,1.0,4.0,21.0,21.6,-2.0
Josh Hart,hartjo01,2025,26,479.0,26.0,2024-12-15,,,ORL,"W, 100-91",*,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,1.0,3.0,0.333,0.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,12.0,11.2,9.0
Josh Hart,hartjo01,2025,27,480.0,28.0,2024-12-21,,,NOP,"W, 104-93",*,,6.0,13.0,0.462,1.0,4.0,0.25,5.0,9.0,0.556,0.5,1.0,2.0,0.5,1.0,7.0,8.0,5.0,2.0,1.0,1.0,3.0,14.0,13.7,12.0
Josh Hart,hartjo01,2025,28,481.0,29.0,2024-12-23,,,TOR,"W, 139-125",*,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,4.0,4.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,3.0,2.0,11.0,7.9,16.0
Josh Hart,hartjo01,2025,29,482.0,30.0,2024-12-25,,,SAS,"W, 117-114",*,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,3.0,4.0,0.75,5.0,7.0,12.0,6.0,2.0,0.0,1.0,4.0,12.0,16.8,-1.0
Josh Hart,hartjo01,2025,30,483.0,31.0,2024-12-27,,,ORL,"W, 108-85",*,,7.0,11.0,0.636,1.0,3.0,0.333,6.0,8.0,0.75,0.682,8.0,10.0,0.8,3.0,10.0,13.0,1.0,2.0,2.0,3.0,3.0,23.0,22.3,23.0
Josh Hart,hartjo01,2025,31,484.0,32.0,2024-12-28,,,WAS,"W, 136-132 (OT)",*,,5.0,10.0,0.5,0.0,3.0,0.0,5.0,7.0,0.714,0.5,3.0,3.0,1.0,3.0,8.0,11.0,7.0,1.0,0.0,2.0,1.0,13.0,16.0,6.0
Josh Hart,hartjo01,2025,32,485.0,33.0,2024-12-30,,,WAS,"W, 126-106",*,,7.0,15.0,0.467,4.0,8.0,0.5,3.0,7.0,0.429,0.6,5.0,7.0,0.714,4.0,11.0,15.0,10.0,2.0,0.0,1.0,4.0,23.0,27.0,25.0
Josh Hart,hartjo01,2025,33,486.0,34.0,2025-01-01,,,UTA,"W, 119-103",*,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,2.0,3.0,0.667,2.0,12.0,14.0,12.0,1.0,1.0,7.0,4.0,15.0,15.1,15.0
Josh Hart,hartjo01,2025,34,487.0,35.0,2025-01-03,,,OKC,"L, 107-117",*,,8.0,15.0,0.533,2.0,7.0,0.286,6.0,8.0,0.75,0.6,1.0,2.0,0.5,3.0,4.0,7.0,2.0,1.0,1.0,2.0,4.0,19.0,14.1,-12.0
Josh Hart,hartjo01,2025,35,488.0,36.0,2025-01-04,,,CHI,"L, 126-139",*,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,13.0,16.0,10.0,1.0,0.0,2.0,3.0,2.0,9.3,-14.0
Josh Hart,hartjo01,2025,36,489.0,37.0,2025-01-06,,,ORL,"L, 94-103",*,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,4.0,4.0,1.0,3.0,11.0,14.0,2.0,2.0,1.0,1.0,2.0,15.0,18.4,-8.0
Josh Hart,hartjo01,2025,37,490.0,38.0,2025-01-08,,,TOR,"W, 112-98",*,,9.0,14.0,0.643,2.0,5.0,0.4,7.0,9.0,0.778,0.714,1.0,2.0,0.5,6.0,5.0,11.0,7.0,1.0,0.0,1.0,4.0,21.0,23.4,19.0
Josh Hart,hartjo01,2025,38,491.0,39.0,2025-01-10,,,OKC,"L, 101-126",*,,6.0,13.0,0.462,0.0,1.0,0.0,6.0,12.0,0.5,0.462,4.0,4.0,1.0,6.0,7.0,13.0,2.0,3.0,0.0,1.0,2.0,16.0,18.2,-23.0
Josh Hart,hartjo01,2025,39,492.0,40.0,2025-01-12,,,MIL,"W, 140-106",*,,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.1,0.0,0.0,,2.0,9.0,11.0,4.0,1.0,0.0,3.0,4.0,11.0,12.8,24.0
Josh Hart,hartjo01,2025,40,493.0,41.0,2025-01-13,,,DET,"L, 119-124",*,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,5.0,6.0,0.833,3.0,11.0,14.0,5.0,0.0,0.0,1.0,4.0,12.0,15.6,6.0
Josh Hart,hartjo01,2025,41,494.0,42.0,2025-01-15,,,PHI,"W, 125-119 (OT)",*,,4.0,9.0,0.444,0.0,3.0,0.0,4.0,6.0,0.667,0.444,2.0,3.0,0.667,5.0,12.0,17.0,12.0,4.0,0.0,3.0,3.0,10.0,20.2,10.0
Josh Hart,hartjo01,2025,42,495.0,43.0,2025-01-17,,,MIN,"L, 99-116",*,,3.0,12.0,0.25,1.0,5.0,0.2,2.0,7.0,0.286,0.292,5.0,6.0,0.833,2.0,7.0,9.0,0.0,3.0,0.0,3.0,4.0,12.0,6.3,-24.0
Josh Hart,hartjo01,2025,43,496.0,44.0,2025-01-20,,,ATL,"W, 119-110",*,,7.0,12.0,0.583,0.0,1.0,0.0,7.0,11.0,0.636,0.583,0.0,0.0,,4.0,5.0,9.0,5.0,2.0,0.0,2.0,4.0,14.0,14.6,-3.0
Josh Hart,hartjo01,2025,44,497.0,45.0,2025-01-21,,,BRK,"W, 99-95",*,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,1.0,11.0,12.0,9.0,2.0,0.0,2.0,2.0,7.0,14.2,-3.0
Josh Hart,hartjo01,2025,45,498.0,46.0,2025-01-25,,,SAC,"W, 143-120",*,,8.0,14.0,0.571,1.0,2.0,0.5,7.0,12.0,0.583,0.607,3.0,3.0,1.0,7.0,11.0,18.0,11.0,1.0,2.0,3.0,3.0,20.0,27.5,17.0
Josh Hart,hartjo01,2025,46,499.0,47.0,2025-01-27,,,MEM,"W, 143-106",*,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,0.0,0.0,,2.0,8.0,10.0,5.0,1.0,0.0,0.0,2.0,4.0,8.1,18.0
Josh Hart,hartjo01,2025,47,500.0,48.0,2025-01-29,,,DEN,"W, 122-112",*,,7.0,12.0,0.583,0.0,2.0,0.0,7.0,10.0,0.7,0.583,1.0,2.0,0.5,0.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0,15.0,16.6,11.0
Josh Hart,hartjo01,2025,48,501.0,49.0,2025-02-01,,,LAL,"L, 112-128",*,,11.0,16.0,0.688,1.0,5.0,0.2,10.0,11.0,0.909,0.719,3.0,4.0,0.75,4.0,9.0,13.0,11.0,2.0,0.0,2.0,1.0,26.0,31.6,-20.0
Josh Hart,hartjo01,2025,49,502.0,50.0,2025-02-03,,,HOU,"W, 124-118",*,,8.0,12.0,0.667,0.0,1.0,0.0,8.0,11.0,0.727,0.667,3.0,3.0,1.0,2.0,6.0,8.0,5.0,1.0,1.0,4.0,2.0,19.0,17.4,-2.0
Josh Hart,hartjo01,2025,50,503.0,51.0,2025-02-04,,,TOR,"W, 121-115",*,,7.0,17.0,0.412,1.0,4.0,0.25,6.0,13.0,0.462,0.441,0.0,0.0,,1.0,6.0,7.0,6.0,1.0,0.0,0.0,2.0,15.0,12.8,3.0
Josh Hart,hartjo01,2025,51,504.0,52.0,2025-02-08,,,BOS,"L, 104-131",*,,7.0,16.0,0.438,1.0,3.0,0.333,6.0,13.0,0.462,0.469,2.0,4.0,0.5,1.0,7.0,8.0,3.0,2.0,0.0,3.0,3.0,17.0,10.5,-31.0
Josh Hart,hartjo01,2025,52,505.0,53.0,2025-02-11,,,IND,"W, 128-115",*,,12.0,16.0,0.75,1.0,3.0,0.333,11.0,13.0,0.846,0.781,5.0,7.0,0.714,2.0,8.0,10.0,5.0,2.0,0.0,3.0,4.0,30.0,27.5,15.0
Josh Hart,hartjo01,2025,53,506.0,54.0,2025-02-12,,,ATL,"W, 149-148 (OT)",*,,5.0,13.0,0.385,0.0,3.0,0.0,5.0,10.0,0.5,0.385,8.0,8.0,1.0,3.0,7.0,10.0,6.0,1.0,1.0,3.0,5.0,18.0,16.0,-6.0
Josh Hart,hartjo01,2025,54,507.0,57.0,2025-02-23,,,BOS,"L, 105-118",*,,8.0,14.0,0.571,0.0,0.0,,8.0,14.0,0.571,0.571,4.0,4.0,1.0,2.0,9.0,11.0,9.0,0.0,0.0,2.0,2.0,20.0,21.0,-12.0
Josh Hart,hartjo01,2025,55,508.0,58.0,2025-02-26,,,PHI,"W, 110-105",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,1.0,4.0,0.25,3.0,14.0,17.0,4.0,1.0,1.0,7.0,2.0,7.0,6.5,11.0
Josh Hart,hartjo01,2025,56,509.0,59.0,2025-02-28,,,MEM,"W, 114-113",*,,2.0,6.0,0.333,1.0,2.0,0.5,1.0,4.0,0.25,0.417,7.0,8.0,0.875,0.0,4.0,4.0,6.0,1.0,1.0,3.0,5.0,12.0,10.3,-4.0
