player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ron Holland,hollaro01,2025,1,1.0,1.0,2024-10-23,,,IND,"L, 109-115",,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,2.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,4.5,-2.0
Ron Holland,hollaro01,2025,2,2.0,2.0,2024-10-25,,,CLE,"L, 101-113",,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,0.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,4.0,2.7,1.0
Ron Holland,hollaro01,2025,3,3.0,3.0,2024-10-26,,,BOS,"L, 118-124",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,3.2,-10.0
Ron Holland,hollaro01,2025,4,4.0,4.0,2024-10-28,,,MIA,"L, 98-106",,,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,-16.0
Ron Holland,hollaro01,2025,5,5.0,5.0,2024-10-30,,,PHI,"W, 105-95",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,4.9,5.0
Ron Holland,hollaro01,2025,6,6.0,6.0,2024-11-01,,,NYK,"L, 98-128",,,4.0,6.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.667,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,9.0,5.3,-16.0
Ron Holland,hollaro01,2025,7,7.0,7.0,2024-11-03,,,BRK,"W, 106-92",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.8,-7.0
Ron Holland,hollaro01,2025,8,8.0,8.0,2024-11-04,,,LAL,"W, 115-103",,,4.0,9.0,0.444,0.0,5.0,0.0,4.0,4.0,1.0,0.444,4.0,4.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,12.0,10.5,5.0
Ron Holland,hollaro01,2025,9,9.0,9.0,2024-11-06,,,CHO,"L, 107-108",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,8.0,5.9,12.0
Ron Holland,hollaro01,2025,10,10.0,10.0,2024-11-08,,,ATL,"W, 122-121",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.6,3.0
Ron Holland,hollaro01,2025,11,11.0,11.0,2024-11-10,,,HOU,"L, 99-101",,,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,,0.25,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,-1.3,-5.0
Ron Holland,hollaro01,2025,12,12.0,12.0,2024-11-12,,,MIA,"W, 123-121 (OT)",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.9,-1.0
Ron Holland,hollaro01,2025,13,13.0,13.0,2024-11-13,,,MIL,"L, 120-127 (OT)",*,,5.0,10.0,0.5,0.0,2.0,0.0,5.0,8.0,0.625,0.5,1.0,3.0,0.333,0.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,11.0,8.4,1.0
Ron Holland,hollaro01,2025,14,14.0,14.0,2024-11-15,,,TOR,"W, 99-95",,,3.0,11.0,0.273,0.0,6.0,0.0,3.0,5.0,0.6,0.273,4.0,4.0,1.0,4.0,4.0,8.0,0.0,3.0,1.0,2.0,1.0,10.0,8.8,-5.0
Ron Holland,hollaro01,2025,15,15.0,15.0,2024-11-17,,,WAS,"W, 124-104",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-3.3,-7.0
Ron Holland,hollaro01,2025,16,16.0,16.0,2024-11-18,,,CHI,"L, 112-122",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,3.9,1.0
Ron Holland,hollaro01,2025,17,17.0,17.0,2024-11-21,,,CHO,"L, 121-123 (OT)",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,2.6,7.0
