player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Talen Horton-Tucker,hortota01,2025,1,248.0,1.0,2024-10-23,,,NOP,"L, 111-123",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.2,4.0
Talen Horton-Tucker,hortota01,2025,2,249.0,2.0,2024-10-25,,,MIL,"W, 133-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Talen Horton-Tucker,hortota01,2025,3,250.0,3.0,2024-10-26,,,OKC,"L, 95-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
Talen Horton-Tucker,hortota01,2025,4,251.0,6.0,2024-11-01,,,BRK,"L, 112-120",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.7,-1.0
Talen Horton-Tucker,hortota01,2025,5,252.0,7.0,2024-11-04,,,UTA,"L, 126-135",,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,6.0,7.0,0.857,1.0,5.0,6.0,4.0,0.0,0.0,0.0,3.0,10.0,9.3,5.0
Talen Horton-Tucker,hortota01,2025,6,253.0,8.0,2024-11-06,,,DAL,"L, 99-119",,,4.0,7.0,0.571,0.0,2.0,0.0,4.0,5.0,0.8,0.571,0.0,0.0,,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,8.0,8.4,7.0
Talen Horton-Tucker,hortota01,2025,7,254.0,9.0,2024-11-07,,,MIN,"L, 119-135",,,5.0,9.0,0.556,2.0,3.0,0.667,3.0,6.0,0.5,0.667,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,11.6,-6.0
Talen Horton-Tucker,hortota01,2025,8,255.0,11.0,2024-11-11,,,CLE,"L, 113-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-3.0
Talen Horton-Tucker,hortota01,2025,9,256.0,13.0,2024-11-15,,,CLE,"L, 126-144",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Talen Horton-Tucker,hortota01,2025,10,257.0,14.0,2024-11-17,,,HOU,"L, 107-143",,,4.0,11.0,0.364,2.0,4.0,0.5,2.0,7.0,0.286,0.455,2.0,3.0,0.667,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,12.0,9.3,-4.0
Talen Horton-Tucker,hortota01,2025,11,258.0,16.0,2024-11-20,,,MIL,"L, 106-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Talen Horton-Tucker,hortota01,2025,12,259.0,18.0,2024-11-23,,,MEM,"L, 131-142",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,10.0,10.1,3.0
Talen Horton-Tucker,hortota01,2025,13,260.0,19.0,2024-11-26,,,WAS,"W, 127-108",,,5.0,6.0,0.833,1.0,1.0,1.0,4.0,5.0,0.8,0.917,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,13.0,14.2,12.0
Talen Horton-Tucker,hortota01,2025,14,261.0,20.0,2024-11-27,,,ORL,"L, 119-133",,,7.0,8.0,0.875,3.0,4.0,0.75,4.0,4.0,1.0,1.063,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,20.0,16.0,7.0
Talen Horton-Tucker,hortota01,2025,15,262.0,21.0,2024-11-29,,,BOS,"L, 129-138",,,6.0,7.0,0.857,4.0,4.0,1.0,2.0,3.0,0.667,1.143,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,12.1,0.0
Talen Horton-Tucker,hortota01,2025,16,263.0,22.0,2024-12-02,,,BRK,"W, 128-102",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,11.0,7.4,7.0
Talen Horton-Tucker,hortota01,2025,17,264.0,23.0,2024-12-05,,,SAS,"W, 139-124",,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,1.0,2.0,0.5,0.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,13.0,10.2,10.0
Talen Horton-Tucker,hortota01,2025,18,265.0,24.0,2024-12-06,,,IND,"L, 123-132",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9,-8.0
Talen Horton-Tucker,hortota01,2025,19,266.0,25.0,2024-12-08,,,PHI,"L, 100-108",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-18.0
Talen Horton-Tucker,hortota01,2025,20,267.0,26.0,2024-12-13,,,CHO,"W, 109-95",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,12.0
Talen Horton-Tucker,hortota01,2025,21,268.0,27.0,2024-12-16,,,TOR,"W, 122-121",,,6.0,12.0,0.5,1.0,6.0,0.167,5.0,6.0,0.833,0.542,2.0,6.0,0.333,1.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,15.0,10.9,-6.0
Talen Horton-Tucker,hortota01,2025,22,269.0,28.0,2024-12-19,,,BOS,"W, 117-108",,,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0,3.1,-4.0
Talen Horton-Tucker,hortota01,2025,23,270.0,29.0,2024-12-21,,,BOS,"L, 98-123",,,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,0.0,0.3,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.1,-10.0
Talen Horton-Tucker,hortota01,2025,24,271.0,30.0,2024-12-23,,,MIL,"L, 91-112",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,-10.0
Talen Horton-Tucker,hortota01,2025,25,272.0,31.0,2024-12-26,,,ATL,"L, 133-141",,,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,-1.8,14.0
Talen Horton-Tucker,hortota01,2025,26,273.0,32.0,2024-12-28,,,MIL,"W, 116-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,5.0
Talen Horton-Tucker,hortota01,2025,27,274.0,33.0,2024-12-30,,,CHO,"W, 115-108 (OT)",,,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,0.0,0.0,,1.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,5.8,20.0
Talen Horton-Tucker,hortota01,2025,28,275.0,34.0,2025-01-01,,,WAS,"L, 107-125",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,6.3,-18.0
Talen Horton-Tucker,hortota01,2025,29,276.0,35.0,2025-01-04,,,NYK,"W, 139-126",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.4,0.0
Talen Horton-Tucker,hortota01,2025,30,277.0,37.0,2025-01-08,,,IND,"L, 113-129",,,3.0,4.0,0.75,1.0,1.0,1.0,2.0,3.0,0.667,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.4,11.0
Talen Horton-Tucker,hortota01,2025,31,278.0,38.0,2025-01-10,,,WAS,"W, 138-105",,,5.0,8.0,0.625,2.0,4.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,12.0,8.6,13.0
Talen Horton-Tucker,hortota01,2025,32,279.0,39.0,2025-01-12,,,SAC,"L, 119-124",,,3.0,8.0,0.375,3.0,4.0,0.75,0.0,4.0,0.0,0.563,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,5.4,-12.0
Talen Horton-Tucker,hortota01,2025,33,280.0,40.0,2025-01-14,,,NOP,"L, 113-119",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,6.0
