player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jonathan Isaac,isaacjo01,2025,1,206.0,1.0,2024-10-23,,,MIA,"W, 116-97",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,3.5,-10.0
Jonathan Isaac,isaacjo01,2025,2,207.0,5.0,2024-10-30,,,CHI,"L, 99-102",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,8.0,8.3,-2.0
Jonathan Isaac,isaacjo01,2025,3,208.0,6.0,2024-11-01,,,CLE,"L, 109-120",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,0.0,0.0,,2.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,5.0,4.9,-10.0
Jonathan Isaac,isaacjo01,2025,4,209.0,7.0,2024-11-03,,,DAL,"L, 85-108",,,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.167,1.0,2.0,0.5,2.0,3.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,2.3,-16.0
Jonathan Isaac,isaacjo01,2025,5,210.0,8.0,2024-11-04,,,OKC,"L, 86-102",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.6,-21.0
Jonathan Isaac,isaacjo01,2025,6,211.0,9.0,2024-11-06,,,IND,"L, 111-118",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,9.0,9.7,1.0
Jonathan Isaac,isaacjo01,2025,7,212.0,10.0,2024-11-08,,,NOP,"W, 115-88",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,10.2,8.0
Jonathan Isaac,isaacjo01,2025,8,213.0,11.0,2024-11-10,,,WAS,"W, 121-94",,,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,3.2,5.0
Jonathan Isaac,isaacjo01,2025,9,214.0,12.0,2024-11-12,,,CHO,"W, 114-89",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,0.0,0.0,,1.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,7.0,10.0,12.0
Jonathan Isaac,isaacjo01,2025,10,215.0,13.0,2024-11-13,,,IND,"W, 94-90",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,1.0,10.0,11.0,1.0,0.0,3.0,0.0,3.0,8.0,11.0,0.0
Jonathan Isaac,isaacjo01,2025,11,216.0,14.0,2024-11-15,,,PHI,"W, 98-86",,,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,0.75,2.0,4.0,0.5,4.0,5.0,9.0,0.0,1.0,1.0,1.0,3.0,11.0,11.4,21.0
Jonathan Isaac,isaacjo01,2025,12,217.0,15.0,2024-11-18,,,PHO,"W, 109-99",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,7.0,7.2,4.0
Jonathan Isaac,isaacjo01,2025,13,218.0,16.0,2024-11-20,,,LAC,"L, 93-104",,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,6.0,5.7,-3.0
Jonathan Isaac,isaacjo01,2025,14,219.0,17.0,2024-11-21,,,LAL,"W, 119-118",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,0.7,-7.0
Jonathan Isaac,isaacjo01,2025,15,220.0,18.0,2024-11-23,,,DET,"W, 111-100",,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,3.0,4.0,0.75,3.0,9.0,12.0,0.0,2.0,3.0,0.0,1.0,5.0,9.3,11.0
Jonathan Isaac,isaacjo01,2025,16,221.0,19.0,2024-11-25,,,CHO,"W, 95-84",,,4.0,14.0,0.286,3.0,10.0,0.3,1.0,4.0,0.25,0.393,0.0,0.0,,3.0,3.0,6.0,0.0,1.0,2.0,0.0,4.0,11.0,6.6,5.0
Jonathan Isaac,isaacjo01,2025,17,222.0,20.0,2024-11-27,,,CHI,"W, 133-119",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,3.0,0.0,0.0,4.0,6.9,11.0
Jonathan Isaac,isaacjo01,2025,18,223.0,21.0,2024-11-29,,,BRK,"W, 123-100",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,3.0,4.0,0.75,0.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,8.0,7.7,-6.0
Jonathan Isaac,isaacjo01,2025,19,224.0,22.0,2024-12-01,,,BRK,"W, 100-92",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,-0.9,-6.0
Jonathan Isaac,isaacjo01,2025,20,225.0,23.0,2024-12-03,,,NYK,"L, 106-121",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,2.6,-12.0
Jonathan Isaac,isaacjo01,2025,21,226.0,24.0,2024-12-04,,,PHI,"W, 106-102",,,6.0,8.0,0.75,2.0,3.0,0.667,4.0,5.0,0.8,0.875,0.0,0.0,,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,14.0,17.0,8.0
Jonathan Isaac,isaacjo01,2025,22,227.0,28.0,2024-12-15,,,NYK,"L, 91-100",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,5.6,-12.0
Jonathan Isaac,isaacjo01,2025,23,228.0,29.0,2024-12-19,,,OKC,"L, 99-105",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,2.2,-12.0
Jonathan Isaac,isaacjo01,2025,24,229.0,30.0,2024-12-21,,,MIA,"W, 121-114",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,-0.1,8.0
Jonathan Isaac,isaacjo01,2025,25,230.0,31.0,2024-12-23,,,BOS,"W, 108-104",,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,7.0,4.8,0.0
Jonathan Isaac,isaacjo01,2025,26,231.0,32.0,2024-12-26,,,MIA,"L, 88-89",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,-12.0
Jonathan Isaac,isaacjo01,2025,27,232.0,33.0,2024-12-27,,,NYK,"L, 85-108",,,3.0,9.0,0.333,0.0,4.0,0.0,3.0,5.0,0.6,0.333,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,3.0,7.0,3.7,-16.0
Jonathan Isaac,isaacjo01,2025,28,233.0,34.0,2024-12-29,,,BRK,"W, 102-101",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,1.0,2.0,0.5,5.0,4.0,9.0,2.0,1.0,0.0,2.0,1.0,5.0,5.9,-12.0
Jonathan Isaac,isaacjo01,2025,29,234.0,35.0,2025-01-01,,,DET,"L, 96-105",,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.5,3.0
Jonathan Isaac,isaacjo01,2025,30,235.0,36.0,2025-01-03,,,TOR,"W, 106-97",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,2.0,3.0,0.667,1.0,3.0,4.0,1.0,0.0,2.0,2.0,2.0,7.0,6.2,1.0
Jonathan Isaac,isaacjo01,2025,31,236.0,37.0,2025-01-05,,,UTA,"L, 92-105",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.1,-8.0
Jonathan Isaac,isaacjo01,2025,32,237.0,38.0,2025-01-06,,,NYK,"W, 103-94",,,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,0.9,4.0,6.0,0.667,4.0,5.0,9.0,1.0,0.0,2.0,0.0,1.0,13.0,16.3,7.0
Jonathan Isaac,isaacjo01,2025,33,238.0,39.0,2025-01-09,,,MIN,"L, 89-104",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,4.0,6.3,-11.0
Jonathan Isaac,isaacjo01,2025,34,239.0,40.0,2025-01-10,,,MIL,"L, 106-109",,,4.0,10.0,0.4,1.0,4.0,0.25,3.0,6.0,0.5,0.45,0.0,0.0,,2.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,9.0,9.3,-6.0
Jonathan Isaac,isaacjo01,2025,35,240.0,41.0,2025-01-12,,,PHI,"W, 104-99",,,8.0,13.0,0.615,2.0,4.0,0.5,6.0,9.0,0.667,0.692,2.0,4.0,0.5,5.0,6.0,11.0,1.0,0.0,2.0,0.0,1.0,20.0,20.3,1.0
Jonathan Isaac,isaacjo01,2025,36,241.0,42.0,2025-01-15,,,MIL,"L, 93-122",,,4.0,8.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,9.0,7.5,-18.0
Jonathan Isaac,isaacjo01,2025,37,242.0,43.0,2025-01-17,,,BOS,"L, 94-121",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,1.0,4.0,0.25,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,2.7,-11.0
Jonathan Isaac,isaacjo01,2025,38,243.0,44.0,2025-01-19,,,DEN,"L, 100-113",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,2.0,2.0,1.0,3.0,3.0,6.0,1.0,0.0,2.0,0.0,3.0,10.0,9.5,-8.0
Jonathan Isaac,isaacjo01,2025,39,244.0,45.0,2025-01-21,,,TOR,"L, 93-109",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0
