player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
GG Jackson II,jacksgg01,2025,1,49.0,43.0,2025-01-20,,,MIN,"W, 108-106",,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.6,-4.0
GG Jackson II,jacksgg01,2025,2,50.0,44.0,2025-01-22,,,CHO,"W, 132-120",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,-0.4,-4.0
GG Jackson II,jacksgg01,2025,3,51.0,45.0,2025-01-24,,,NOP,"W, 139-126",,,4.0,12.0,0.333,1.0,4.0,0.25,3.0,8.0,0.375,0.375,1.0,1.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,2.0,0.0,10.0,4.1,-11.0
GG Jackson II,jacksgg01,2025,4,52.0,46.0,2025-01-25,,,UTA,"W, 125-103",,,5.0,12.0,0.417,2.0,8.0,0.25,3.0,4.0,0.75,0.5,3.0,4.0,0.75,2.0,4.0,6.0,3.0,1.0,0.0,0.0,3.0,15.0,12.7,2.0
GG Jackson II,jacksgg01,2025,5,53.0,47.0,2025-01-27,,,NYK,"L, 106-143",,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,3.0,4.0,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,3.4,5.0
GG Jackson II,jacksgg01,2025,6,54.0,48.0,2025-01-30,,,HOU,"W, 120-119",,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-4.2,-14.0
GG Jackson II,jacksgg01,2025,7,55.0,49.0,2025-02-02,,,MIL,"W, 132-119",,,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,,2.0,6.0,8.0,2.0,0.0,1.0,0.0,1.0,5.0,5.8,-1.0
GG Jackson II,jacksgg01,2025,8,56.0,50.0,2025-02-03,,,SAS,"W, 128-109",,,11.0,20.0,0.55,4.0,9.0,0.444,7.0,11.0,0.636,0.65,1.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,1.0,27.0,17.9,8.0
GG Jackson II,jacksgg01,2025,9,57.0,51.0,2025-02-05,,,TOR,"W, 138-107",,,5.0,8.0,0.625,1.0,3.0,0.333,4.0,5.0,0.8,0.688,6.0,7.0,0.857,5.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0,17.0,15.1,1.0
GG Jackson II,jacksgg01,2025,10,58.0,52.0,2025-02-08,,,OKC,"L, 112-125",,,3.0,7.0,0.429,2.0,4.0,0.5,1.0,3.0,0.333,0.571,3.0,6.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,4.4,-12.0
GG Jackson II,jacksgg01,2025,11,59.0,53.0,2025-02-11,,,PHO,"W, 119-112",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.6,-9.0
GG Jackson II,jacksgg01,2025,12,60.0,54.0,2025-02-12,,,LAC,"L, 114-128",,,6.0,11.0,0.545,2.0,4.0,0.5,4.0,7.0,0.571,0.636,1.0,3.0,0.333,2.0,6.0,8.0,3.0,1.0,0.0,1.0,1.0,15.0,13.8,14.0
GG Jackson II,jacksgg01,2025,13,61.0,55.0,2025-02-20,,,IND,"L, 113-127",,,3.0,10.0,0.3,1.0,4.0,0.25,2.0,6.0,0.333,0.35,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,9.0,4.5,-13.0
GG Jackson II,jacksgg01,2025,14,62.0,56.0,2025-02-21,,,ORL,"W, 105-104",,,4.0,5.0,0.8,3.0,3.0,1.0,1.0,2.0,0.5,1.1,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,12.0,9.1,4.0
GG Jackson II,jacksgg01,2025,15,63.0,57.0,2025-02-23,,,CLE,"L, 123-129",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1,-7.0
GG Jackson II,jacksgg01,2025,16,64.0,58.0,2025-02-25,,,PHO,"W, 151-148 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0
GG Jackson II,jacksgg01,2025,17,65.0,60.0,2025-03-01,,,SAS,"L, 128-130",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.6,-10.0
GG Jackson II,jacksgg01,2025,18,66.0,61.0,2025-03-03,,,ATL,"L, 130-132",,,3.0,11.0,0.273,2.0,6.0,0.333,1.0,5.0,0.2,0.364,3.0,4.0,0.75,2.0,5.0,7.0,3.0,0.0,1.0,5.0,1.0,11.0,4.4,-2.0
GG Jackson II,jacksgg01,2025,19,67.0,62.0,2025-03-05,,,OKC,"L, 103-120",,,2.0,7.0,0.286,2.0,3.0,0.667,0.0,4.0,0.0,0.429,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,3.4,4.0
GG Jackson II,jacksgg01,2025,20,68.0,63.0,2025-03-07,,,DAL,"W, 122-111",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,3.3,-6.0
GG Jackson II,jacksgg01,2025,21,69.0,64.0,2025-03-09,,,NOP,"W, 107-104",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.9,1.0
GG Jackson II,jacksgg01,2025,22,70.0,65.0,2025-03-10,,,PHO,"W, 120-118",*,,6.0,12.0,0.5,2.0,6.0,0.333,4.0,6.0,0.667,0.583,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,0.0,2.0,1.0,14.0,11.7,-2.0
GG Jackson II,jacksgg01,2025,23,71.0,66.0,2025-03-12,,,UTA,"W, 122-115",*,,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.667,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,8.0,6.8,-15.0
GG Jackson II,jacksgg01,2025,24,72.0,67.0,2025-03-14,,,CLE,"L, 124-133",,,2.0,9.0,0.222,0.0,2.0,0.0,2.0,7.0,0.286,0.222,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.8,1.0
GG Jackson II,jacksgg01,2025,25,73.0,68.0,2025-03-15,,,MIA,"W, 125-91",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,3.8,3.0
GG Jackson II,jacksgg01,2025,26,74.0,78.0,2025-04-05,,,DET,"W, 109-103",,,0.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.9,-10.0
GG Jackson II,jacksgg01,2025,27,75.0,79.0,2025-04-08,,,CHO,"W, 124-100",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,1.0,2.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,3.5,-3.0
GG Jackson II,jacksgg01,2025,28,76.0,80.0,2025-04-10,,,MIN,"L, 125-141",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0
GG Jackson II,jacksgg01,2025,29,77.0,82.0,2025-04-13,,,DAL,"W, 132-97",*,,2.0,12.0,0.167,1.0,3.0,0.333,1.0,9.0,0.111,0.208,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,5.0,-1.7,15.0
