player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trayce Jackson-Davis,jackstr01,2025,1,69.0,1.0,2024-10-23,,,POR,"W, 140-104",*,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,4.0,5.0,0.8,1.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,14.0,15.7,6.0
Trayce Jackson-Davis,jackstr01,2025,2,70.0,2.0,2024-10-25,,,UTA,"W, 127-86",*,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,0.0,0.0,,3.0,6.0,9.0,2.0,0.0,0.0,1.0,3.0,12.0,13.3,12.0
Trayce Jackson-Davis,jackstr01,2025,3,71.0,3.0,2024-10-27,,,LAC,"L, 104-112",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.3,1.0
Trayce Jackson-Davis,jackstr01,2025,4,72.0,4.0,2024-10-29,,,NOP,"W, 124-106",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,3.0,6.1,6.0
Trayce Jackson-Davis,jackstr01,2025,5,73.0,5.0,2024-10-30,,,NOP,"W, 104-89",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,1.0,2.0,0.5,1.0,8.0,9.0,2.0,0.0,1.0,0.0,1.0,15.0,15.9,11.0
Trayce Jackson-Davis,jackstr01,2025,6,74.0,6.0,2024-11-02,,,HOU,"W, 127-121 (OT)",*,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,6.9,7.0
Trayce Jackson-Davis,jackstr01,2025,7,75.0,7.0,2024-11-04,,,WAS,"W, 125-112",*,,6.0,11.0,0.545,0.0,0.0,,6.0,11.0,0.545,0.545,0.0,0.0,,1.0,5.0,6.0,3.0,0.0,1.0,0.0,1.0,12.0,11.3,11.0
Trayce Jackson-Davis,jackstr01,2025,8,76.0,8.0,2024-11-06,,,BOS,"W, 118-112",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,5.7,-9.0
Trayce Jackson-Davis,jackstr01,2025,9,77.0,9.0,2024-11-08,,,CLE,"L, 117-136",*,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,1.0,1.0,2.0,3.0,5.0,4.0,0.0,1.0,1.0,3.0,3.0,4.9,-5.0
Trayce Jackson-Davis,jackstr01,2025,10,78.0,10.0,2024-11-10,,,OKC,"W, 127-116",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,-6.0
Trayce Jackson-Davis,jackstr01,2025,11,79.0,11.0,2024-11-12,,,DAL,"W, 120-117",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,6.0,0.333,5.0,4.0,9.0,2.0,2.0,0.0,2.0,1.0,8.0,9.8,4.0
Trayce Jackson-Davis,jackstr01,2025,12,80.0,12.0,2024-11-15,,,MEM,"W, 123-118",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,3.0,4.0,0.75,2.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,9.0,9.2,-1.0
Trayce Jackson-Davis,jackstr01,2025,13,81.0,13.0,2024-11-18,,,LAC,"L, 99-102",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,8.0,7.3,-11.0
Trayce Jackson-Davis,jackstr01,2025,14,82.0,14.0,2024-11-20,,,ATL,"W, 120-97",*,,6.0,11.0,0.545,0.0,0.0,,6.0,11.0,0.545,0.545,2.0,2.0,1.0,2.0,9.0,11.0,4.0,0.0,1.0,2.0,2.0,14.0,13.5,10.0
Trayce Jackson-Davis,jackstr01,2025,15,83.0,15.0,2024-11-22,,,NOP,"W, 112-108",*,,4.0,9.0,0.444,0.0,1.0,0.0,4.0,8.0,0.5,0.444,1.0,2.0,0.5,3.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,9.0,8.2,2.0
Trayce Jackson-Davis,jackstr01,2025,16,84.0,16.0,2024-11-23,,,SAS,"L, 94-104",*,,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,0.0,0.0,,4.0,4.0,8.0,3.0,0.0,0.0,0.0,2.0,12.0,11.3,-7.0
Trayce Jackson-Davis,jackstr01,2025,17,85.0,17.0,2024-11-25,,,BRK,"L, 120-128",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,8.0,4.6,-2.0
Trayce Jackson-Davis,jackstr01,2025,18,86.0,18.0,2024-11-27,,,OKC,"L, 101-105",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-8.0
Trayce Jackson-Davis,jackstr01,2025,19,87.0,19.0,2024-11-30,,,PHO,"L, 105-113",*,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,4.0,2.0,6.0,2.0,0.0,3.0,1.0,1.0,2.0,4.4,-3.0
Trayce Jackson-Davis,jackstr01,2025,20,88.0,20.0,2024-12-03,,,DEN,"L, 115-119",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,1.0,2.0,0.5,4.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,7.0,9.1,5.0
Trayce Jackson-Davis,jackstr01,2025,21,89.0,21.0,2024-12-05,,,HOU,"W, 99-93",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,6.1,-17.0
Trayce Jackson-Davis,jackstr01,2025,22,90.0,22.0,2024-12-06,,,MIN,"L, 90-107",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,1.0,2.0,0.5,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,1.9,-5.0
Trayce Jackson-Davis,jackstr01,2025,23,91.0,24.0,2024-12-11,,,HOU,"L, 90-91",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,6.1,3.0
Trayce Jackson-Davis,jackstr01,2025,24,92.0,25.0,2024-12-15,,,DAL,"L, 133-143",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,3.0,0.333,3.0,3.0,6.0,3.0,0.0,0.0,0.0,3.0,5.0,7.5,2.0
Trayce Jackson-Davis,jackstr01,2025,25,93.0,26.0,2024-12-19,,,MEM,"L, 93-144",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,3.0,3.0,1.0,1.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,7.0,9.9,-4.0
Trayce Jackson-Davis,jackstr01,2025,26,94.0,27.0,2024-12-21,,,MIN,"W, 113-103",*,,7.0,8.0,0.875,0.0,0.0,,7.0,8.0,0.875,0.875,1.0,2.0,0.5,2.0,7.0,9.0,2.0,1.0,2.0,1.0,5.0,15.0,16.1,7.0
Trayce Jackson-Davis,jackstr01,2025,27,95.0,28.0,2024-12-23,,,IND,"L, 105-111",*,,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,1.0,1.0,1.0,3.0,5.0,8.0,3.0,0.0,1.0,0.0,0.0,13.0,15.5,-17.0
Trayce Jackson-Davis,jackstr01,2025,28,96.0,29.0,2024-12-25,,,LAL,"L, 113-115",*,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,1.0,3.0,0.333,3.0,6.0,9.0,4.0,0.0,2.0,2.0,1.0,11.0,13.0,11.0
Trayce Jackson-Davis,jackstr01,2025,29,97.0,30.0,2024-12-27,,,LAC,"L, 92-102",*,,7.0,12.0,0.583,0.0,0.0,,7.0,12.0,0.583,0.583,1.0,2.0,0.5,6.0,3.0,9.0,2.0,2.0,0.0,2.0,1.0,15.0,15.1,-12.0
Trayce Jackson-Davis,jackstr01,2025,30,98.0,31.0,2024-12-28,,,PHO,"W, 109-105",*,,6.0,11.0,0.545,0.0,0.0,,6.0,11.0,0.545,0.545,4.0,4.0,1.0,4.0,6.0,10.0,2.0,1.0,4.0,0.0,1.0,16.0,20.1,-11.0
Trayce Jackson-Davis,jackstr01,2025,31,99.0,32.0,2024-12-30,,,CLE,"L, 95-113",*,,6.0,14.0,0.429,0.0,0.0,,6.0,14.0,0.429,0.429,4.0,4.0,1.0,6.0,10.0,16.0,2.0,0.0,2.0,2.0,2.0,16.0,15.8,-23.0
Trayce Jackson-Davis,jackstr01,2025,32,100.0,33.0,2025-01-02,,,PHI,"W, 139-105",*,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,1.0,2.0,0.5,1.0,4.0,5.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,14.0
Trayce Jackson-Davis,jackstr01,2025,33,101.0,34.0,2025-01-04,,,MEM,"W, 121-113",*,,5.0,13.0,0.385,0.0,0.0,,5.0,13.0,0.385,0.385,1.0,1.0,1.0,3.0,6.0,9.0,5.0,3.0,0.0,1.0,2.0,11.0,12.5,12.0
Trayce Jackson-Davis,jackstr01,2025,34,102.0,35.0,2025-01-05,,,SAC,"L, 99-129",*,,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,-3.6,-16.0
Trayce Jackson-Davis,jackstr01,2025,35,103.0,36.0,2025-01-07,,,MIA,"L, 98-114",*,,9.0,12.0,0.75,0.0,0.0,,9.0,12.0,0.75,0.75,1.0,1.0,1.0,3.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0,19.0,20.2,-15.0
Trayce Jackson-Davis,jackstr01,2025,36,104.0,37.0,2025-01-09,,,DET,"W, 107-104",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,0.0,2.0,0.0,2.0,8.0,10.0,3.0,0.0,0.0,1.0,1.0,14.0,14.2,16.0
Trayce Jackson-Davis,jackstr01,2025,37,105.0,38.0,2025-01-10,,,IND,"L, 96-108",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,3.0,4.0,0.75,3.0,7.0,10.0,1.0,2.0,1.0,0.0,1.0,9.0,12.8,-6.0
Trayce Jackson-Davis,jackstr01,2025,38,106.0,39.0,2025-01-13,,,TOR,"L, 101-104",*,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,1.0,4.0,0.25,3.0,3.0,6.0,3.0,1.0,0.0,3.0,2.0,3.0,1.7,6.0
Trayce Jackson-Davis,jackstr01,2025,39,107.0,40.0,2025-01-15,,,MIN,"W, 116-115",*,,2.0,7.0,0.286,0.0,0.0,,2.0,7.0,0.286,0.286,0.0,0.0,,9.0,6.0,15.0,2.0,0.0,2.0,2.0,2.0,4.0,8.0,2.0
Trayce Jackson-Davis,jackstr01,2025,40,108.0,41.0,2025-01-18,,,WAS,"W, 122-114",*,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,4.0,0.5,5.0,10.0,15.0,1.0,0.0,1.0,2.0,3.0,6.0,7.2,-5.0
Trayce Jackson-Davis,jackstr01,2025,41,109.0,42.0,2025-01-20,,,BOS,"L, 85-125",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,2.0,0.5,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,8.4,-21.0
Trayce Jackson-Davis,jackstr01,2025,42,110.0,43.0,2025-01-22,,,SAC,"L, 117-123",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,3.0,6.0,0.5,3.0,5.0,8.0,2.0,1.0,0.0,0.0,4.0,11.0,11.6,-2.0
Trayce Jackson-Davis,jackstr01,2025,43,111.0,44.0,2025-01-23,,,CHI,"W, 131-106",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,6.7,-5.0
Trayce Jackson-Davis,jackstr01,2025,44,112.0,45.0,2025-01-25,,,LAL,"L, 108-118",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,0.0,2.0,0.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,4.0,4.5,-2.0
Trayce Jackson-Davis,jackstr01,2025,45,113.0,46.0,2025-01-28,,,UTA,"W, 114-103",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.7,-7.0
Trayce Jackson-Davis,jackstr01,2025,46,114.0,48.0,2025-01-31,,,PHO,"L, 105-130",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-6.0
Trayce Jackson-Davis,jackstr01,2025,47,115.0,51.0,2025-02-06,,,LAL,"L, 112-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,-4.0
Trayce Jackson-Davis,jackstr01,2025,48,116.0,52.0,2025-02-08,,,CHI,"W, 132-111",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,3.4,-4.0
Trayce Jackson-Davis,jackstr01,2025,49,117.0,53.0,2025-02-10,,,MIL,"W, 125-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Trayce Jackson-Davis,jackstr01,2025,50,118.0,56.0,2025-02-21,,,SAC,"W, 132-108",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.1,2.0
