player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jonathan Kuminga,kuminjo01,2025,1,212.0,1.0,2024-10-23,,,POR,"W, 140-104",*,,3.0,9.0,0.333,0.0,2.0,0.0,3.0,7.0,0.429,0.333,4.0,6.0,0.667,1.0,3.0,4.0,1.0,0.0,1.0,4.0,3.0,10.0,1.9,0.0
Jonathan Kuminga,kuminjo01,2025,2,213.0,2.0,2024-10-25,,,UTA,"W, 127-86",*,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.6,8.0
Jonathan Kuminga,kuminjo01,2025,3,214.0,3.0,2024-10-27,,,LAC,"L, 104-112",*,,4.0,10.0,0.4,1.0,6.0,0.167,3.0,4.0,0.75,0.45,3.0,6.0,0.5,3.0,2.0,5.0,1.0,3.0,0.0,1.0,2.0,12.0,10.0,0.0
Jonathan Kuminga,kuminjo01,2025,4,215.0,4.0,2024-10-29,,,NOP,"W, 124-106",,,6.0,13.0,0.462,1.0,3.0,0.333,5.0,10.0,0.5,0.5,4.0,4.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,17.0,14.0,4.0
Jonathan Kuminga,kuminjo01,2025,5,216.0,5.0,2024-10-30,,,NOP,"W, 104-89",,,6.0,12.0,0.5,0.0,1.0,0.0,6.0,11.0,0.545,0.5,4.0,5.0,0.8,2.0,2.0,4.0,2.0,1.0,0.0,1.0,4.0,16.0,11.4,8.0
Jonathan Kuminga,kuminjo01,2025,6,217.0,6.0,2024-11-02,,,HOU,"W, 127-121 (OT)",,,7.0,12.0,0.583,2.0,3.0,0.667,5.0,9.0,0.556,0.667,7.0,10.0,0.7,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,23.0,15.1,18.0
Jonathan Kuminga,kuminjo01,2025,7,218.0,7.0,2024-11-04,,,WAS,"W, 125-112",,,7.0,15.0,0.467,0.0,2.0,0.0,7.0,13.0,0.538,0.467,1.0,4.0,0.25,3.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,15.0,11.5,3.0
Jonathan Kuminga,kuminjo01,2025,8,219.0,8.0,2024-11-06,,,BOS,"W, 118-112",,,4.0,10.0,0.4,2.0,3.0,0.667,2.0,7.0,0.286,0.5,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,4.3,-2.0
Jonathan Kuminga,kuminjo01,2025,9,220.0,9.0,2024-11-08,,,CLE,"L, 117-136",,,7.0,14.0,0.5,3.0,7.0,0.429,4.0,7.0,0.571,0.607,4.0,6.0,0.667,1.0,4.0,5.0,5.0,2.0,1.0,3.0,2.0,21.0,17.5,-4.0
Jonathan Kuminga,kuminjo01,2025,10,221.0,10.0,2024-11-10,,,OKC,"W, 127-116",,,8.0,11.0,0.727,2.0,4.0,0.5,6.0,7.0,0.857,0.818,2.0,3.0,0.667,1.0,4.0,5.0,1.0,0.0,1.0,2.0,2.0,20.0,15.6,7.0
Jonathan Kuminga,kuminjo01,2025,11,222.0,11.0,2024-11-12,,,DAL,"W, 120-117",,,6.0,11.0,0.545,2.0,5.0,0.4,4.0,6.0,0.667,0.636,2.0,4.0,0.5,2.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,16.0,13.1,-1.0
Jonathan Kuminga,kuminjo01,2025,12,223.0,12.0,2024-11-15,,,MEM,"W, 123-118",,,3.0,13.0,0.231,0.0,4.0,0.0,3.0,9.0,0.333,0.231,2.0,4.0,0.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,5.0,8.0,-0.3,2.0
Jonathan Kuminga,kuminjo01,2025,13,224.0,13.0,2024-11-18,,,LAC,"L, 99-102",,,5.0,10.0,0.5,1.0,3.0,0.333,4.0,7.0,0.571,0.55,1.0,4.0,0.25,0.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,12.0,10.5,2.0
Jonathan Kuminga,kuminjo01,2025,14,225.0,14.0,2024-11-20,,,ATL,"W, 120-97",,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,3.0,4.0,0.75,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,10.0,9.8,1.0
Jonathan Kuminga,kuminjo01,2025,15,226.0,15.0,2024-11-22,,,NOP,"W, 112-108",,,3.0,10.0,0.3,0.0,2.0,0.0,3.0,8.0,0.375,0.3,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,7.0,2.7,-1.0
Jonathan Kuminga,kuminjo01,2025,16,227.0,18.0,2024-11-27,,,OKC,"L, 101-105",*,,8.0,21.0,0.381,3.0,10.0,0.3,5.0,11.0,0.455,0.452,0.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,3.0,19.0,8.9,2.0
Jonathan Kuminga,kuminjo01,2025,17,228.0,19.0,2024-11-30,,,PHO,"L, 105-113",,,4.0,12.0,0.333,0.0,3.0,0.0,4.0,9.0,0.444,0.333,4.0,6.0,0.667,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,12.0,5.1,-14.0
Jonathan Kuminga,kuminjo01,2025,18,229.0,20.0,2024-12-03,,,DEN,"L, 115-119",*,,9.0,18.0,0.5,1.0,2.0,0.5,8.0,16.0,0.5,0.528,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,4.0,19.0,12.2,-7.0
Jonathan Kuminga,kuminjo01,2025,19,230.0,21.0,2024-12-05,,,HOU,"W, 99-93",*,,13.0,22.0,0.591,3.0,6.0,0.5,10.0,16.0,0.625,0.659,4.0,6.0,0.667,1.0,6.0,7.0,2.0,0.0,1.0,3.0,3.0,33.0,22.4,7.0
Jonathan Kuminga,kuminjo01,2025,20,231.0,22.0,2024-12-06,,,MIN,"L, 90-107",*,,6.0,15.0,0.4,1.0,4.0,0.25,5.0,11.0,0.455,0.433,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,13.0,4.1,-7.0
Jonathan Kuminga,kuminjo01,2025,21,232.0,23.0,2024-12-08,,,MIN,"W, 114-106",*,,7.0,16.0,0.438,1.0,4.0,0.25,6.0,12.0,0.5,0.469,5.0,8.0,0.625,1.0,6.0,7.0,2.0,2.0,3.0,3.0,2.0,20.0,14.6,8.0
Jonathan Kuminga,kuminjo01,2025,22,233.0,24.0,2024-12-11,,,HOU,"L, 90-91",*,,8.0,20.0,0.4,2.0,6.0,0.333,6.0,14.0,0.429,0.45,2.0,6.0,0.333,5.0,2.0,7.0,1.0,0.0,1.0,1.0,2.0,20.0,11.3,2.0
Jonathan Kuminga,kuminjo01,2025,23,234.0,25.0,2024-12-15,,,DAL,"L, 133-143",*,,9.0,15.0,0.6,2.0,3.0,0.667,7.0,12.0,0.583,0.667,0.0,0.0,,2.0,1.0,3.0,6.0,0.0,0.0,0.0,4.0,20.0,17.4,-10.0
Jonathan Kuminga,kuminjo01,2025,24,235.0,26.0,2024-12-19,,,MEM,"L, 93-144",,,2.0,12.0,0.167,0.0,2.0,0.0,2.0,10.0,0.2,0.167,7.0,10.0,0.7,0.0,4.0,4.0,2.0,1.0,0.0,4.0,0.0,11.0,1.8,-23.0
Jonathan Kuminga,kuminjo01,2025,25,236.0,27.0,2024-12-21,,,MIN,"W, 113-103",,,3.0,11.0,0.273,2.0,4.0,0.5,1.0,7.0,0.143,0.364,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,11.0,6.4,5.0
Jonathan Kuminga,kuminjo01,2025,26,237.0,28.0,2024-12-23,,,IND,"L, 105-111",,,9.0,16.0,0.563,2.0,3.0,0.667,7.0,13.0,0.538,0.625,6.0,9.0,0.667,4.0,4.0,8.0,4.0,0.0,1.0,1.0,0.0,26.0,23.7,-2.0
Jonathan Kuminga,kuminjo01,2025,27,238.0,29.0,2024-12-25,,,LAL,"L, 113-115",,,4.0,10.0,0.4,0.0,4.0,0.0,4.0,6.0,0.667,0.4,6.0,8.0,0.75,0.0,6.0,6.0,0.0,1.0,0.0,1.0,1.0,14.0,9.2,-17.0
Jonathan Kuminga,kuminjo01,2025,28,239.0,30.0,2024-12-27,,,LAC,"L, 92-102",,,11.0,19.0,0.579,1.0,3.0,0.333,10.0,16.0,0.625,0.605,11.0,14.0,0.786,4.0,6.0,10.0,5.0,2.0,1.0,3.0,1.0,34.0,31.3,-5.0
Jonathan Kuminga,kuminjo01,2025,29,240.0,31.0,2024-12-28,,,PHO,"W, 109-105",,,12.0,20.0,0.6,2.0,5.0,0.4,10.0,15.0,0.667,0.65,8.0,12.0,0.667,5.0,4.0,9.0,3.0,1.0,0.0,1.0,4.0,34.0,28.4,9.0
Jonathan Kuminga,kuminjo01,2025,30,241.0,32.0,2024-12-30,,,CLE,"L, 95-113",,,4.0,15.0,0.267,0.0,2.0,0.0,4.0,13.0,0.308,0.267,10.0,14.0,0.714,2.0,8.0,10.0,2.0,1.0,1.0,0.0,3.0,18.0,13.2,-5.0
Jonathan Kuminga,kuminjo01,2025,31,242.0,33.0,2025-01-02,,,PHI,"W, 139-105",,,8.0,11.0,0.727,2.0,3.0,0.667,6.0,8.0,0.75,0.818,2.0,3.0,0.667,0.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,20.0,19.3,25.0
Jonathan Kuminga,kuminjo01,2025,32,243.0,34.0,2025-01-04,,,MEM,"W, 121-113",,,4.0,6.0,0.667,3.0,3.0,1.0,1.0,3.0,0.333,0.917,2.0,4.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,13.0,7.6,0.0
Jonathan Kuminga,kuminjo01,2025,33,244.0,66.0,2025-03-13,,,SAC,"W, 130-104",,,7.0,10.0,0.7,0.0,1.0,0.0,7.0,9.0,0.778,0.7,4.0,6.0,0.667,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,18.0,14.8,8.0
