player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Karlo Matković,matkoka01,2025,1,1.0,1.0,2024-10-23,,,CHI,"W, 123-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,-3.0
Karlo Matković,matkoka01,2025,2,2.0,3.0,2024-10-27,,,POR,"L, 103-125",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
Karlo Matković,matkoka01,2025,3,3.0,15.0,2024-11-19,,,DAL,"L, 91-132",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.2,-7.0
Karlo Matković,matkoka01,2025,4,4.0,16.0,2024-11-20,,,CLE,"L, 100-128",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,3.0,5.0,0.0,2.0,1.0,1.0,0.0,2.0,5.0,4.0
Karlo Matković,matkoka01,2025,5,5.0,21.0,2024-12-01,,,NYK,"L, 85-118",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0
Karlo Matković,matkoka01,2025,6,6.0,38.0,2025-01-08,,,POR,"L, 100-119",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0
Karlo Matković,matkoka01,2025,7,7.0,43.0,2025-01-17,,,UTA,"W, 136-123",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,-1.2,-11.0
Karlo Matković,matkoka01,2025,8,8.0,44.0,2025-01-20,,,UTA,"W, 123-119 (OT)",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.8,14.0
Karlo Matković,matkoka01,2025,9,9.0,45.0,2025-01-24,,,MEM,"L, 126-139",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0
Karlo Matković,matkoka01,2025,10,10.0,46.0,2025-01-25,,,CHO,"L, 92-123",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.1,-14.0
