player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kelly Olynyk,olynyke01,2025,1,757.0,24.0,2024-12-07,,,DAL,"L, 118-125",,,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,,1.5,4.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,13.0,15.4,1.0
Kelly Olynyk,olynyke01,2025,2,758.0,25.0,2024-12-09,,,NYK,"L, 108-113",,,3.0,8.0,0.375,0.0,1.0,0.0,3.0,7.0,0.429,0.375,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,3.6,-15.0
Kelly Olynyk,olynyke01,2025,3,759.0,26.0,2024-12-12,,,MIA,"L, 104-114",,,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,-0.8,-4.0
Kelly Olynyk,olynyke01,2025,4,760.0,27.0,2024-12-16,,,CHI,"L, 121-122",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,3.0,4.0,0.75,0.0,3.0,3.0,1.0,2.0,0.0,2.0,5.0,7.0,2.8,-7.0
Kelly Olynyk,olynyke01,2025,5,761.0,28.0,2024-12-19,,,BRK,"L, 94-101",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,4.0,4.0,1.0,1.0,5.0,6.0,5.0,0.0,0.0,2.0,4.0,8.0,7.4,6.0
Kelly Olynyk,olynyke01,2025,6,762.0,29.0,2024-12-22,,,HOU,"L, 110-114",,,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,0.0,0.0,,2.0,7.0,9.0,4.0,2.0,1.0,5.0,5.0,8.0,5.6,-2.0
Kelly Olynyk,olynyke01,2025,7,763.0,30.0,2024-12-23,,,NYK,"L, 125-139",,,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,6.0,4.4,7.0
Kelly Olynyk,olynyke01,2025,8,764.0,31.0,2024-12-26,,,MEM,"L, 126-155",*,,6.0,9.0,0.667,2.0,4.0,0.5,4.0,5.0,0.8,0.778,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,14.0,12.3,-8.0
Kelly Olynyk,olynyke01,2025,9,765.0,32.0,2024-12-29,,,ATL,"L, 107-136",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,4.0,4.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,4.0,4.0,6.0,2.4,-1.0
Kelly Olynyk,olynyke01,2025,10,766.0,33.0,2024-12-31,,,BOS,"L, 71-125",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.6,-25.0
