player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Scotty Pippen Jr.,pippesc01,2025,1,28.0,1.0,2024-10-23,,,UTA,"W, 126-124",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,0.0,2.0,0.0,1.0,2.0,3.0,7.0,3.0,1.0,2.0,3.0,6.0,8.9,5.0
Scotty Pippen Jr.,pippesc01,2025,2,29.0,2.0,2024-10-25,,,HOU,"L, 108-128",,,4.0,9.0,0.444,2.0,3.0,0.667,2.0,6.0,0.333,0.556,3.0,4.0,0.75,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,13.0,9.8,-13.0
Scotty Pippen Jr.,pippesc01,2025,3,30.0,3.0,2024-10-26,,,ORL,"W, 124-111",,,5.0,7.0,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,0.0,0.0,,2.0,3.0,5.0,12.0,2.0,1.0,5.0,5.0,11.0,14.5,6.0
Scotty Pippen Jr.,pippesc01,2025,4,31.0,4.0,2024-10-28,,,CHI,"L, 123-126",,,6.0,13.0,0.462,2.0,4.0,0.5,4.0,9.0,0.444,0.538,0.0,0.0,,1.0,3.0,4.0,10.0,1.0,1.0,1.0,4.0,14.0,15.0,-17.0
Scotty Pippen Jr.,pippesc01,2025,5,32.0,5.0,2024-10-30,,,BRK,"L, 106-119",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,3.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,4.0,5.0,1.8,-19.0
Scotty Pippen Jr.,pippesc01,2025,6,33.0,6.0,2024-10-31,,,MIL,"W, 122-99",,,5.0,8.0,0.625,1.0,3.0,0.333,4.0,5.0,0.8,0.688,5.0,5.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,16.0,11.2,9.0
Scotty Pippen Jr.,pippesc01,2025,7,34.0,7.0,2024-11-02,,,PHI,"W, 124-107",,,4.0,9.0,0.444,1.0,2.0,0.5,3.0,7.0,0.429,0.5,3.0,3.0,1.0,0.0,4.0,4.0,13.0,1.0,0.0,2.0,3.0,12.0,15.4,9.0
Scotty Pippen Jr.,pippesc01,2025,8,35.0,8.0,2024-11-04,,,BRK,"L, 104-106",,,6.0,13.0,0.462,2.0,6.0,0.333,4.0,7.0,0.571,0.538,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,2.0,5.0,14.0,6.6,0.0
Scotty Pippen Jr.,pippesc01,2025,9,36.0,9.0,2024-11-06,,,LAL,"W, 131-114",,,5.0,9.0,0.556,3.0,4.0,0.75,2.0,5.0,0.4,0.722,1.0,2.0,0.5,1.0,5.0,6.0,4.0,1.0,1.0,4.0,3.0,14.0,10.8,8.0
Scotty Pippen Jr.,pippesc01,2025,10,37.0,10.0,2024-11-08,,,WAS,"W, 128-104",*,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,3.0,4.0,0.75,1.0,9.0,10.0,11.0,1.0,0.0,2.0,3.0,11.0,15.5,21.0
Scotty Pippen Jr.,pippesc01,2025,11,38.0,11.0,2024-11-10,,,POR,"W, 134-89",*,,6.0,8.0,0.75,2.0,3.0,0.667,4.0,5.0,0.8,0.875,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,1.0,3.0,2.0,17.0,12.9,17.0
Scotty Pippen Jr.,pippesc01,2025,12,39.0,12.0,2024-11-13,,,LAL,"L, 123-128",*,,6.0,14.0,0.429,1.0,2.0,0.5,5.0,12.0,0.417,0.464,2.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,15.0,11.1,-10.0
Scotty Pippen Jr.,pippesc01,2025,13,40.0,13.0,2024-11-15,,,GSW,"L, 118-123",*,,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,1.8,-23.0
Scotty Pippen Jr.,pippesc01,2025,14,41.0,14.0,2024-11-17,,,DEN,"W, 105-90",*,,3.0,12.0,0.25,2.0,7.0,0.286,1.0,5.0,0.2,0.333,2.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,0.0,2.0,3.0,10.0,8.1,12.0
Scotty Pippen Jr.,pippesc01,2025,15,42.0,15.0,2024-11-19,,,DEN,"L, 110-122",*,,5.0,11.0,0.455,0.0,2.0,0.0,5.0,9.0,0.556,0.455,6.0,10.0,0.6,3.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,16.0,16.2,-14.0
Scotty Pippen Jr.,pippesc01,2025,16,43.0,16.0,2024-11-20,,,PHI,"W, 117-111",*,,3.0,10.0,0.3,2.0,4.0,0.5,1.0,6.0,0.167,0.4,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,8.0,3.3,-1.0
Scotty Pippen Jr.,pippesc01,2025,17,44.0,17.0,2024-11-23,,,CHI,"W, 142-131",*,,13.0,16.0,0.813,3.0,6.0,0.5,10.0,10.0,1.0,0.906,1.0,1.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,4.0,2.0,30.0,26.8,-4.0
Scotty Pippen Jr.,pippesc01,2025,18,45.0,18.0,2024-11-25,,,POR,"W, 123-98",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,2.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,6.3,10.0
Scotty Pippen Jr.,pippesc01,2025,19,46.0,19.0,2024-11-27,,,DET,"W, 131-111",*,,9.0,12.0,0.75,1.0,2.0,0.5,8.0,10.0,0.8,0.792,0.0,1.0,0.0,0.0,7.0,7.0,4.0,3.0,0.0,2.0,2.0,19.0,18.9,13.0
Scotty Pippen Jr.,pippesc01,2025,20,47.0,20.0,2024-11-29,,,NOP,"W, 120-109",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,1.4,-11.0
Scotty Pippen Jr.,pippesc01,2025,21,48.0,21.0,2024-12-01,,,IND,"W, 136-121",,,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,-0.4,-2.0
Scotty Pippen Jr.,pippesc01,2025,22,49.0,22.0,2024-12-03,,,DAL,"L, 116-121",,,2.0,6.0,0.333,1.0,2.0,0.5,1.0,4.0,0.25,0.417,0.0,0.0,,1.0,3.0,4.0,4.0,2.0,0.0,2.0,3.0,5.0,4.8,5.0
Scotty Pippen Jr.,pippesc01,2025,23,50.0,23.0,2024-12-05,,,SAC,"W, 115-110",,,2.0,9.0,0.222,0.0,4.0,0.0,2.0,5.0,0.4,0.222,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,-0.5,10.0
Scotty Pippen Jr.,pippesc01,2025,24,51.0,24.0,2024-12-07,,,BOS,"W, 127-121",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.4,2.0
Scotty Pippen Jr.,pippesc01,2025,25,52.0,25.0,2024-12-08,,,WAS,"W, 140-112",*,,6.0,11.0,0.545,0.0,1.0,0.0,6.0,10.0,0.6,0.545,2.0,3.0,0.667,0.0,3.0,3.0,12.0,2.0,0.0,4.0,0.0,14.0,15.6,21.0
Scotty Pippen Jr.,pippesc01,2025,26,53.0,26.0,2024-12-13,,,BRK,"W, 135-119",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0,7.0,7.2,-6.0
Scotty Pippen Jr.,pippesc01,2025,27,54.0,27.0,2024-12-15,,,LAL,"L, 110-116",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,-2.5,-6.0
Scotty Pippen Jr.,pippesc01,2025,28,55.0,28.0,2024-12-19,,,GSW,"W, 144-93",,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,1.0,4.0,0.25,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,8.0,2.7,24.0
Scotty Pippen Jr.,pippesc01,2025,29,56.0,29.0,2024-12-21,,,ATL,"W, 128-112",*,,9.0,12.0,0.75,3.0,4.0,0.75,6.0,8.0,0.75,0.875,1.0,3.0,0.333,0.0,5.0,5.0,9.0,2.0,0.0,5.0,1.0,22.0,20.8,14.0
Scotty Pippen Jr.,pippesc01,2025,30,57.0,30.0,2024-12-23,,,LAC,"L, 110-114",,,5.0,10.0,0.5,3.0,4.0,0.75,2.0,6.0,0.333,0.65,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,13.0,8.5,8.0
Scotty Pippen Jr.,pippesc01,2025,31,58.0,31.0,2024-12-26,,,TOR,"W, 155-126",,,5.0,12.0,0.417,1.0,5.0,0.2,4.0,7.0,0.571,0.458,4.0,5.0,0.8,1.0,1.0,2.0,3.0,4.0,0.0,2.0,2.0,15.0,12.5,1.0
Scotty Pippen Jr.,pippesc01,2025,32,59.0,32.0,2024-12-27,,,NOP,"W, 132-124",,,4.0,10.0,0.4,3.0,6.0,0.5,1.0,4.0,0.25,0.55,2.0,2.0,1.0,3.0,3.0,6.0,4.0,0.0,0.0,1.0,4.0,13.0,10.8,-8.0
Scotty Pippen Jr.,pippesc01,2025,33,60.0,33.0,2024-12-29,,,OKC,"L, 106-130",*,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,1.0,2.0,0.5,2.0,1.0,3.0,6.0,1.0,1.0,4.0,1.0,10.0,9.5,-19.0
Scotty Pippen Jr.,pippesc01,2025,34,61.0,34.0,2024-12-31,,,PHO,"W, 117-112",*,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,-0.6,-6.0
Scotty Pippen Jr.,pippesc01,2025,35,62.0,35.0,2025-01-03,,,SAC,"L, 133-138",*,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,5.0,5.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,4.0,4.0,16.0,12.9,-21.0
Scotty Pippen Jr.,pippesc01,2025,36,63.0,36.0,2025-01-04,,,GSW,"L, 113-121",*,,4.0,9.0,0.444,3.0,4.0,0.75,1.0,5.0,0.2,0.611,1.0,2.0,0.5,4.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,12.0,11.6,-7.0
Scotty Pippen Jr.,pippesc01,2025,37,64.0,37.0,2025-01-06,,,DAL,"W, 119-104",*,,6.0,13.0,0.462,3.0,7.0,0.429,3.0,6.0,0.5,0.577,3.0,4.0,0.75,1.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,18.0,19.5,9.0
Scotty Pippen Jr.,pippesc01,2025,38,65.0,38.0,2025-01-09,,,HOU,"L, 115-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,-0.2,-1.0
