player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jakob Poeltl,poeltja01,2025,1,539.0,1.0,2024-10-23,,,CLE,"L, 106-136",*,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,2.0,4.0,0.5,3.0,6.0,9.0,2.0,0.0,0.0,5.0,4.0,6.0,0.5,-13.0
Jakob Poeltl,poeltja01,2025,2,540.0,2.0,2024-10-25,,,PHI,"W, 115-107",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,9.0,11.0,0.818,1.0,8.0,9.0,3.0,0.0,4.0,2.0,4.0,19.0,19.0,7.0
Jakob Poeltl,poeltja01,2025,3,541.0,3.0,2024-10-26,,,MIN,"L, 101-112",*,,4.0,9.0,0.444,0.0,0.0,,4.0,9.0,0.444,0.444,0.0,0.0,,3.0,7.0,10.0,3.0,1.0,1.0,2.0,4.0,8.0,7.7,-12.0
Jakob Poeltl,poeltja01,2025,4,542.0,4.0,2024-10-28,,,DEN,"L, 125-127 (OT)",*,,7.0,13.0,0.538,0.0,0.0,,7.0,13.0,0.538,0.538,2.0,2.0,1.0,8.0,11.0,19.0,2.0,0.0,1.0,3.0,2.0,16.0,16.9,-1.0
Jakob Poeltl,poeltja01,2025,5,543.0,5.0,2024-10-30,,,CHO,"L, 133-138",*,,10.0,14.0,0.714,0.0,0.0,,10.0,14.0,0.714,0.714,0.0,0.0,,5.0,11.0,16.0,2.0,2.0,0.0,1.0,4.0,20.0,21.8,18.0
Jakob Poeltl,poeltja01,2025,6,544.0,6.0,2024-11-01,,,LAL,"L, 125-131",*,,9.0,14.0,0.643,0.0,0.0,,9.0,14.0,0.643,0.643,1.0,1.0,1.0,6.0,6.0,12.0,6.0,0.0,3.0,2.0,3.0,19.0,21.9,-4.0
Jakob Poeltl,poeltja01,2025,7,545.0,7.0,2024-11-02,,,SAC,"W, 131-128 (OT)",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,3.0,4.0,0.75,3.0,6.0,9.0,2.0,2.0,1.0,4.0,6.0,13.0,10.6,-16.0
Jakob Poeltl,poeltja01,2025,8,546.0,8.0,2024-11-04,,,DEN,"L, 119-121",*,,11.0,18.0,0.611,0.0,0.0,,11.0,18.0,0.611,0.611,2.0,4.0,0.5,6.0,5.0,11.0,3.0,3.0,0.0,2.0,6.0,24.0,21.4,-5.0
Jakob Poeltl,poeltja01,2025,9,547.0,9.0,2024-11-06,,,SAC,"L, 107-122",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,0.0,0.0,,1.0,7.0,8.0,4.0,2.0,0.0,3.0,2.0,10.0,10.2,-18.0
Jakob Poeltl,poeltja01,2025,10,548.0,10.0,2024-11-09,,,LAC,"L, 103-105",*,,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,0.167,0.167,3.0,6.0,0.5,2.0,10.0,12.0,3.0,0.0,3.0,4.0,2.0,5.0,3.8,0.0
Jakob Poeltl,poeltja01,2025,11,549.0,11.0,2024-11-10,,,LAL,"L, 103-123",*,,7.0,12.0,0.583,0.0,0.0,,7.0,12.0,0.583,0.583,0.0,0.0,,4.0,6.0,10.0,4.0,1.0,0.0,1.0,4.0,14.0,14.2,-4.0
Jakob Poeltl,poeltja01,2025,12,550.0,12.0,2024-11-12,,,MIL,"L, 85-99",*,,6.0,13.0,0.462,0.0,0.0,,6.0,13.0,0.462,0.462,1.0,2.0,0.5,4.0,4.0,8.0,1.0,3.0,2.0,3.0,4.0,13.0,10.4,0.0
Jakob Poeltl,poeltja01,2025,13,551.0,13.0,2024-11-15,,,DET,"L, 95-99",*,,12.0,20.0,0.6,0.0,0.0,,12.0,20.0,0.6,0.6,1.0,4.0,0.25,10.0,8.0,18.0,3.0,1.0,3.0,1.0,4.0,25.0,26.6,6.0
Jakob Poeltl,poeltja01,2025,14,552.0,14.0,2024-11-16,,,BOS,"L, 123-126 (OT)",*,,16.0,19.0,0.842,0.0,0.0,,16.0,19.0,0.842,0.842,3.0,4.0,0.75,6.0,6.0,12.0,0.0,1.0,0.0,2.0,2.0,35.0,31.9,-3.0
Jakob Poeltl,poeltja01,2025,15,553.0,15.0,2024-11-18,,,IND,"W, 130-119",*,,13.0,18.0,0.722,0.0,0.0,,13.0,18.0,0.722,0.722,4.0,6.0,0.667,4.0,11.0,15.0,2.0,2.0,2.0,6.0,3.0,30.0,25.5,18.0
Jakob Poeltl,poeltja01,2025,16,554.0,16.0,2024-11-21,,,MIN,"W, 110-105",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,5.0,8.0,0.625,3.0,9.0,12.0,2.0,0.0,0.0,0.0,4.0,15.0,14.8,0.0
Jakob Poeltl,poeltja01,2025,17,555.0,17.0,2024-11-24,,,CLE,"L, 108-122",*,,5.0,12.0,0.417,0.0,1.0,0.0,5.0,11.0,0.455,0.417,2.0,3.0,0.667,8.0,11.0,19.0,2.0,1.0,2.0,1.0,2.0,12.0,16.1,-14.0
