player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Micah Potter,pottemi01,2025,1,27.0,18.0,2024-11-27,,,DEN,"L, 103-122",*,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,8.0,8.0,16.0,3.0,0.0,1.0,3.0,3.0,9.0,11.9,5.0
Micah Potter,pottemi01,2025,2,28.0,19.0,2024-11-30,,,DAL,"L, 94-106",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,5.3,14.0
Micah Potter,pottemi01,2025,3,29.0,20.0,2024-12-01,,,LAL,"L, 104-105",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,7.0
Micah Potter,pottemi01,2025,4,30.0,22.0,2024-12-06,,,POR,"W, 141-99",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,9.0,10.0,2.0,0.0,2.0,1.0,2.0,5.0,6.7,15.0
Micah Potter,pottemi01,2025,5,31.0,23.0,2024-12-08,,,SAC,"L, 97-141",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-19.0
Micah Potter,pottemi01,2025,6,32.0,26.0,2024-12-19,,,DET,"W, 126-119",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.9,13.0
Micah Potter,pottemi01,2025,7,33.0,27.0,2024-12-21,,,BRK,"W, 105-94",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.1,11.0
Micah Potter,pottemi01,2025,8,34.0,28.0,2024-12-23,,,CLE,"L, 113-124",*,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,0.0,0.0,,2.0,5.0,7.0,2.0,1.0,1.0,1.0,1.0,11.0,12.3,-8.0
Micah Potter,pottemi01,2025,9,35.0,30.0,2024-12-28,,,PHI,"L, 111-114",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.3,10.0
Micah Potter,pottemi01,2025,10,36.0,33.0,2025-01-04,,,MIA,"W, 136-100",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4,-5.0
Micah Potter,pottemi01,2025,11,37.0,34.0,2025-01-05,,,ORL,"W, 105-92",*,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.6,-2.0
Micah Potter,pottemi01,2025,12,38.0,35.0,2025-01-07,,,ATL,"L, 121-124",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,-0.1,-9.0
Micah Potter,pottemi01,2025,13,39.0,36.0,2025-01-09,,,MIA,"L, 92-97",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.5,-8.0
