player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trevelin Queen,queentr01,2025,1,32.0,3.0,2024-10-26,,,MEM,"L, 111-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,8.0
Trevelin Queen,queentr01,2025,2,33.0,12.0,2024-11-12,,,CHO,"W, 114-89",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9,-2.0
Trevelin Queen,queentr01,2025,3,34.0,28.0,2024-12-15,,,NYK,"L, 91-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,4.0
Trevelin Queen,queentr01,2025,4,35.0,30.0,2024-12-21,,,MIA,"W, 121-114",,,3.0,4.0,0.75,1.0,1.0,1.0,2.0,3.0,0.667,0.875,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,7.0,9.5,27.0
Trevelin Queen,queentr01,2025,5,36.0,31.0,2024-12-23,,,BOS,"W, 108-104",*,,5.0,9.0,0.556,3.0,4.0,0.75,2.0,5.0,0.4,0.722,4.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,17.0,13.8,4.0
Trevelin Queen,queentr01,2025,6,37.0,32.0,2024-12-26,,,MIA,"L, 88-89",*,,4.0,8.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,3.0,0.0,1.0,3.0,8.0,7.5,9.0
Trevelin Queen,queentr01,2025,7,38.0,33.0,2024-12-27,,,NYK,"L, 85-108",,,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,,0.643,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,4.0,9.0,5.8,-20.0
Trevelin Queen,queentr01,2025,8,39.0,34.0,2024-12-29,,,BRK,"W, 102-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,-3.1,-14.0
Trevelin Queen,queentr01,2025,9,40.0,36.0,2025-01-03,,,TOR,"W, 106-97",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,8.2,-11.0
Trevelin Queen,queentr01,2025,10,41.0,37.0,2025-01-05,,,UTA,"L, 92-105",,,3.0,10.0,0.3,2.0,5.0,0.4,1.0,5.0,0.2,0.4,3.0,4.0,0.75,1.0,2.0,3.0,6.0,3.0,1.0,2.0,3.0,11.0,10.8,-6.0
Trevelin Queen,queentr01,2025,11,42.0,38.0,2025-01-06,,,NYK,"W, 103-94",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.6,-3.0
Trevelin Queen,queentr01,2025,12,43.0,39.0,2025-01-09,,,MIN,"L, 89-104",,,1.0,9.0,0.111,1.0,5.0,0.2,0.0,4.0,0.0,0.167,0.0,0.0,,3.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,-0.9,-11.0
Trevelin Queen,queentr01,2025,13,44.0,40.0,2025-01-10,,,MIL,"L, 106-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Trevelin Queen,queentr01,2025,14,45.0,41.0,2025-01-12,,,PHI,"W, 104-99",,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,0.0,0.0,,3.0,2.0,5.0,3.0,0.0,2.0,0.0,1.0,4.0,7.1,9.0
Trevelin Queen,queentr01,2025,15,46.0,42.0,2025-01-15,,,MIL,"L, 93-122",,,5.0,11.0,0.455,3.0,6.0,0.5,2.0,5.0,0.4,0.591,0.0,0.0,,0.0,2.0,2.0,3.0,4.0,0.0,1.0,2.0,13.0,12.2,-14.0
Trevelin Queen,queentr01,2025,16,47.0,43.0,2025-01-17,,,BOS,"L, 94-121",,,4.0,10.0,0.4,0.0,5.0,0.0,4.0,5.0,0.8,0.4,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,4.0,9.0,5.1,-8.0
Trevelin Queen,queentr01,2025,17,48.0,44.0,2025-01-19,,,DEN,"L, 100-113",,,4.0,11.0,0.364,0.0,5.0,0.0,4.0,6.0,0.667,0.364,0.0,0.0,,1.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,8.0,5.7,-9.0
Trevelin Queen,queentr01,2025,18,49.0,45.0,2025-01-21,,,TOR,"L, 93-109",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,3.8,-32.0
Trevelin Queen,queentr01,2025,19,50.0,46.0,2025-01-23,,,POR,"L, 79-101",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9,0.0
Trevelin Queen,queentr01,2025,20,51.0,47.0,2025-01-25,,,DET,"W, 121-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trevelin Queen,queentr01,2025,21,52.0,49.0,2025-01-30,,,POR,"L, 90-119",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-1.5,-7.0
Trevelin Queen,queentr01,2025,22,53.0,52.0,2025-02-05,,,SAC,"W, 130-111",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-10.0
Trevelin Queen,queentr01,2025,23,54.0,53.0,2025-02-06,,,DEN,"L, 90-112",,,1.0,8.0,0.125,0.0,4.0,0.0,1.0,4.0,0.25,0.125,2.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,3.5,0.0
Trevelin Queen,queentr01,2025,24,55.0,56.0,2025-02-12,,,CHO,"W, 102-86",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,6.0
Trevelin Queen,queentr01,2025,25,56.0,59.0,2025-02-23,,,WAS,"W, 110-90",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,-2.0
Trevelin Queen,queentr01,2025,26,57.0,60.0,2025-02-25,,,CLE,"L, 82-122",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,-8.0
Trevelin Queen,queentr01,2025,27,58.0,66.0,2025-03-10,,,HOU,"L, 84-97",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,4.9,0.0
Trevelin Queen,queentr01,2025,28,59.0,67.0,2025-03-13,,,NOP,"W, 113-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0
Trevelin Queen,queentr01,2025,29,60.0,75.0,2025-03-29,,,SAC,"W, 121-91",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,3.7,-5.0
Trevelin Queen,queentr01,2025,30,61.0,80.0,2025-04-09,,,BOS,"W, 96-76",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,-1.0
Trevelin Queen,queentr01,2025,31,62.0,81.0,2025-04-11,,,IND,"W, 129-115",,,9.0,11.0,0.818,5.0,6.0,0.833,4.0,5.0,0.8,1.045,2.0,2.0,1.0,2.0,3.0,5.0,4.0,3.0,0.0,0.0,1.0,25.0,28.6,13.0
