player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Baylor Scheierman,scheiba01,2025,1,1.0,2.0,2024-10-24,,,WAS,"W, 122-102",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.2,-10.0
Baylor Scheierman,scheiba01,2025,2,2.0,4.0,2024-10-28,,,MIL,"W, 119-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Baylor Scheierman,scheiba01,2025,3,3.0,8.0,2024-11-04,,,ATL,"W, 123-93",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-3.0
Baylor Scheierman,scheiba01,2025,4,4.0,18.0,2024-11-25,,,LAC,"W, 126-94",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Baylor Scheierman,scheiba01,2025,5,5.0,21.0,2024-12-02,,,MIA,"W, 108-89",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.5,4.0
Baylor Scheierman,scheiba01,2025,6,6.0,41.0,2025-01-17,,,ORL,"W, 121-94",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
Baylor Scheierman,scheiba01,2025,7,7.0,43.0,2025-01-20,,,GSW,"W, 125-85",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,6.3,1.0
Baylor Scheierman,scheiba01,2025,8,8.0,44.0,2025-01-22,,,LAC,"W, 117-113 (OT)",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-3.0
Baylor Scheierman,scheiba01,2025,9,9.0,45.0,2025-01-23,,,LAL,"L, 96-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.8,0.0
Baylor Scheierman,scheiba01,2025,10,10.0,53.0,2025-02-08,,,NYK,"W, 131-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.7,0.0
Baylor Scheierman,scheiba01,2025,11,11.0,54.0,2025-02-10,,,MIA,"W, 103-85",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0
Baylor Scheierman,scheiba01,2025,12,12.0,55.0,2025-02-12,,,SAS,"W, 116-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Baylor Scheierman,scheiba01,2025,13,13.0,56.0,2025-02-20,,,PHI,"W, 124-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Baylor Scheierman,scheiba01,2025,14,14.0,58.0,2025-02-25,,,TOR,"W, 111-101",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,2.0
Baylor Scheierman,scheiba01,2025,15,15.0,59.0,2025-02-26,,,DET,"L, 97-117",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,-2.0
Baylor Scheierman,scheiba01,2025,16,16.0,63.0,2025-03-06,,,PHI,"W, 123-105",,,5.0,10.0,0.5,3.0,7.0,0.429,2.0,3.0,0.667,0.65,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,15.0,14.0,18.0
Baylor Scheierman,scheiba01,2025,17,17.0,65.0,2025-03-10,,,UTA,"W, 114-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,-11.0
Baylor Scheierman,scheiba01,2025,18,18.0,68.0,2025-03-15,,,BRK,"W, 115-113",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.3,-8.0
Baylor Scheierman,scheiba01,2025,19,19.0,69.0,2025-03-18,,,BRK,"W, 104-96",,,7.0,8.0,0.875,6.0,7.0,0.857,1.0,1.0,1.0,1.25,0.0,0.0,,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,20.0,21.2,4.0
Baylor Scheierman,scheiba01,2025,20,20.0,70.0,2025-03-21,,,UTA,"W, 121-99",,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,5.0
Baylor Scheierman,scheiba01,2025,21,21.0,71.0,2025-03-23,,,POR,"W, 129-116",,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,1.0,4.0,5.0,3.0,0.0,1.0,1.0,2.0,6.0,6.2,-1.0
Baylor Scheierman,scheiba01,2025,22,22.0,72.0,2025-03-24,,,SAC,"W, 113-95",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,0.0,0.0,,2.0,5.0,7.0,1.0,2.0,1.0,0.0,0.0,9.0,12.3,17.0
Baylor Scheierman,scheiba01,2025,23,23.0,73.0,2025-03-26,,,PHO,"W, 132-102",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,3.7,-6.0
Baylor Scheierman,scheiba01,2025,24,24.0,74.0,2025-03-29,,,SAS,"W, 121-111",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,5.6,-1.0
Baylor Scheierman,scheiba01,2025,25,25.0,75.0,2025-03-31,,,MEM,"W, 117-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
Baylor Scheierman,scheiba01,2025,26,26.0,76.0,2025-04-02,,,MIA,"L, 103-124",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,-8.0
Baylor Scheierman,scheiba01,2025,27,27.0,77.0,2025-04-04,,,PHO,"W, 123-103",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0
Baylor Scheierman,scheiba01,2025,28,28.0,78.0,2025-04-06,,,WAS,"W, 124-90",,,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.5,0.0,0.0,,2.0,2.0,4.0,2.0,1.0,0.0,4.0,3.0,6.0,1.8,17.0
Baylor Scheierman,scheiba01,2025,29,29.0,80.0,2025-04-09,,,ORL,"L, 76-96",*,,6.0,14.0,0.429,1.0,7.0,0.143,5.0,7.0,0.714,0.464,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,15.0,9.8,-8.0
Baylor Scheierman,scheiba01,2025,30,30.0,81.0,2025-04-11,,,CHO,"W, 130-94",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,5.0,6.6,16.0
Baylor Scheierman,scheiba01,2025,31,31.0,82.0,2025-04-13,,,CHO,"W, 93-86",*,,2.0,14.0,0.143,2.0,10.0,0.2,0.0,4.0,0.0,0.214,1.0,2.0,0.5,2.0,5.0,7.0,2.0,3.0,0.0,1.0,1.0,7.0,3.5,10.0
