player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Alperen Şengün,sengual01,2025,1,211.0,1.0,2024-10-23,,,CHO,"L, 105-110",*,,10.0,22.0,0.455,2.0,3.0,0.667,8.0,19.0,0.421,0.5,3.0,4.0,0.75,6.0,12.0,18.0,5.0,4.0,1.0,3.0,2.0,25.0,25.4,10.0
Alperen Şengün,sengual01,2025,2,212.0,2.0,2024-10-25,,,MEM,"W, 128-108",*,,5.0,13.0,0.385,0.0,2.0,0.0,5.0,11.0,0.455,0.385,6.0,8.0,0.75,5.0,10.0,15.0,2.0,1.0,0.0,3.0,5.0,16.0,12.0,17.0
Alperen Şengün,sengual01,2025,3,213.0,3.0,2024-10-26,,,SAS,"L, 106-109",*,,2.0,8.0,0.25,1.0,2.0,0.5,1.0,6.0,0.167,0.313,1.0,2.0,0.5,1.0,4.0,5.0,2.0,2.0,0.0,1.0,3.0,6.0,3.9,-6.0
Alperen Şengün,sengual01,2025,4,214.0,4.0,2024-10-28,,,SAS,"W, 106-101",*,,5.0,14.0,0.357,1.0,1.0,1.0,4.0,13.0,0.308,0.393,1.0,2.0,0.5,5.0,7.0,12.0,5.0,1.0,1.0,2.0,5.0,12.0,10.6,-1.0
Alperen Şengün,sengual01,2025,5,215.0,5.0,2024-10-31,,,DAL,"W, 108-102",*,,5.0,16.0,0.313,0.0,1.0,0.0,5.0,15.0,0.333,0.313,7.0,9.0,0.778,6.0,6.0,12.0,4.0,0.0,1.0,1.0,3.0,17.0,14.3,10.0
Alperen Şengün,sengual01,2025,6,216.0,6.0,2024-11-02,,,GSW,"L, 121-127 (OT)",*,,5.0,10.0,0.5,0.0,1.0,0.0,5.0,9.0,0.556,0.5,4.0,6.0,0.667,3.0,7.0,10.0,4.0,0.0,1.0,2.0,3.0,14.0,12.7,-7.0
Alperen Şengün,sengual01,2025,7,217.0,7.0,2024-11-04,,,NYK,"W, 109-97",*,,11.0,15.0,0.733,0.0,3.0,0.0,11.0,12.0,0.917,0.733,3.0,3.0,1.0,2.0,12.0,14.0,5.0,0.0,4.0,4.0,2.0,25.0,25.4,14.0
Alperen Şengün,sengual01,2025,8,218.0,8.0,2024-11-06,,,SAS,"W, 127-100",*,,8.0,15.0,0.533,0.0,1.0,0.0,8.0,14.0,0.571,0.533,0.0,1.0,0.0,0.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,16.0,13.6,13.0
Alperen Şengün,sengual01,2025,9,219.0,9.0,2024-11-08,,,OKC,"L, 107-126",*,,3.0,12.0,0.25,0.0,1.0,0.0,3.0,11.0,0.273,0.25,5.0,6.0,0.833,4.0,5.0,9.0,6.0,1.0,0.0,2.0,5.0,11.0,8.9,-11.0
Alperen Şengün,sengual01,2025,10,220.0,10.0,2024-11-10,,,DET,"W, 101-99",*,,11.0,17.0,0.647,0.0,0.0,,11.0,17.0,0.647,0.647,5.0,7.0,0.714,3.0,7.0,10.0,2.0,0.0,1.0,1.0,2.0,27.0,23.2,11.0
Alperen Şengün,sengual01,2025,11,221.0,11.0,2024-11-11,,,WAS,"W, 107-92",*,,12.0,19.0,0.632,1.0,1.0,1.0,11.0,18.0,0.611,0.658,2.0,2.0,1.0,7.0,10.0,17.0,3.0,0.0,3.0,2.0,1.0,27.0,28.2,22.0
Alperen Şengün,sengual01,2025,12,222.0,12.0,2024-11-13,,,LAC,"W, 111-103",*,,6.0,14.0,0.429,1.0,2.0,0.5,5.0,12.0,0.417,0.464,0.0,0.0,,4.0,7.0,11.0,6.0,1.0,4.0,4.0,3.0,13.0,13.3,-18.0
Alperen Şengün,sengual01,2025,13,223.0,13.0,2024-11-15,,,LAC,"W, 125-104",*,,3.0,9.0,0.333,1.0,3.0,0.333,2.0,6.0,0.333,0.389,9.0,10.0,0.9,2.0,8.0,10.0,10.0,2.0,2.0,1.0,2.0,16.0,22.9,38.0
Alperen Şengün,sengual01,2025,14,224.0,14.0,2024-11-17,,,CHI,"W, 143-107",*,,9.0,15.0,0.6,0.0,2.0,0.0,9.0,13.0,0.692,0.6,2.0,3.0,0.667,2.0,8.0,10.0,11.0,0.0,1.0,0.0,1.0,20.0,24.5,35.0
Alperen Şengün,sengual01,2025,15,225.0,15.0,2024-11-18,,,MIL,"L, 100-101",*,,8.0,21.0,0.381,0.0,2.0,0.0,8.0,19.0,0.421,0.381,2.0,3.0,0.667,4.0,3.0,7.0,5.0,2.0,0.0,4.0,4.0,18.0,9.7,11.0
Alperen Şengün,sengual01,2025,16,226.0,16.0,2024-11-20,,,IND,"W, 130-113",*,,12.0,19.0,0.632,1.0,1.0,1.0,11.0,18.0,0.611,0.658,6.0,8.0,0.75,4.0,8.0,12.0,2.0,1.0,0.0,1.0,3.0,31.0,27.1,4.0
Alperen Şengün,sengual01,2025,17,227.0,17.0,2024-11-22,,,POR,"W, 116-88",*,,7.0,13.0,0.538,0.0,1.0,0.0,7.0,12.0,0.583,0.538,0.0,1.0,0.0,2.0,6.0,8.0,3.0,1.0,0.0,3.0,2.0,14.0,9.8,11.0
