player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brice Sensabaugh,sensabr01,2025,1,33.0,1.0,2024-10-23,,,MEM,"L, 124-126",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,4.6,-12.0
Brice Sensabaugh,sensabr01,2025,2,34.0,2.0,2024-10-25,,,GSW,"L, 86-127",,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,4.6,-28.0
Brice Sensabaugh,sensabr01,2025,3,35.0,3.0,2024-10-28,,,DAL,"L, 102-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,4.0
Brice Sensabaugh,sensabr01,2025,4,36.0,4.0,2024-10-29,,,SAC,"L, 96-113",,,4.0,8.0,0.5,3.0,5.0,0.6,1.0,3.0,0.333,0.688,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,7.6,13.0
Brice Sensabaugh,sensabr01,2025,5,37.0,5.0,2024-10-31,,,SAS,"L, 88-106",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,3.3,8.0
Brice Sensabaugh,sensabr01,2025,6,38.0,6.0,2024-11-02,,,DEN,"L, 103-129",,,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,10.0,5.3,-12.0
Brice Sensabaugh,sensabr01,2025,7,39.0,7.0,2024-11-04,,,CHI,"W, 135-126",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,-2.4,-4.0
Brice Sensabaugh,sensabr01,2025,8,40.0,8.0,2024-11-07,,,MIL,"L, 100-123",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.3,1.0
Brice Sensabaugh,sensabr01,2025,9,41.0,10.0,2024-11-12,,,PHO,"L, 112-120",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,0.0
Brice Sensabaugh,sensabr01,2025,10,42.0,15.0,2024-11-21,,,SAS,"L, 118-126",,,7.0,13.0,0.538,4.0,7.0,0.571,3.0,6.0,0.5,0.692,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,1.0,0.0,2.0,18.0,14.5,-19.0
Brice Sensabaugh,sensabr01,2025,11,43.0,17.0,2024-11-26,,,SAS,"L, 115-128",,,6.0,11.0,0.545,4.0,7.0,0.571,2.0,4.0,0.5,0.727,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,16.0,8.3,-15.0
Brice Sensabaugh,sensabr01,2025,12,44.0,18.0,2024-11-27,,,DEN,"L, 103-122",,,5.0,12.0,0.417,3.0,6.0,0.5,2.0,6.0,0.333,0.542,0.0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,13.0,8.5,-18.0
Brice Sensabaugh,sensabr01,2025,13,45.0,19.0,2024-11-30,,,DAL,"L, 94-106",,,4.0,12.0,0.333,3.0,9.0,0.333,1.0,3.0,0.333,0.458,2.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,2.0,13.0,10.1,-1.0
Brice Sensabaugh,sensabr01,2025,14,46.0,20.0,2024-12-01,,,LAL,"L, 104-105",,,2.0,6.0,0.333,2.0,6.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,6.0,3.5,-16.0
Brice Sensabaugh,sensabr01,2025,15,47.0,21.0,2024-12-03,,,OKC,"L, 106-133",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,2.0,6.0,-1.2,-13.0
Brice Sensabaugh,sensabr01,2025,16,48.0,22.0,2024-12-06,,,POR,"W, 141-99",,,5.0,6.0,0.833,0.0,1.0,0.0,5.0,5.0,1.0,0.833,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,11.0,10.5,10.0
Brice Sensabaugh,sensabr01,2025,17,49.0,23.0,2024-12-08,,,SAC,"L, 97-141",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,6.6,-30.0
Brice Sensabaugh,sensabr01,2025,18,50.0,24.0,2024-12-13,,,PHO,"L, 126-134",,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,6.3,-3.0
Brice Sensabaugh,sensabr01,2025,19,51.0,25.0,2024-12-16,,,LAC,"L, 107-144",,,2.0,9.0,0.222,1.0,7.0,0.143,1.0,2.0,0.5,0.278,1.0,2.0,0.5,2.0,3.0,5.0,5.0,2.0,0.0,4.0,2.0,6.0,3.1,-17.0
