player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Marcus Smart,smartma01,2025,1,602.0,1.0,2024-10-23,,,UTA,"W, 126-124",*,,3.0,11.0,0.273,1.0,6.0,0.167,2.0,5.0,0.4,0.318,4.0,4.0,1.0,3.0,2.0,5.0,1.0,1.0,0.0,2.0,4.0,11.0,5.3,-5.0
Marcus Smart,smartma01,2025,2,603.0,2.0,2024-10-25,,,HOU,"L, 108-128",*,,1.0,4.0,0.25,1.0,1.0,1.0,0.0,3.0,0.0,0.375,4.0,5.0,0.8,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,7.0,3.7,-15.0
Marcus Smart,smartma01,2025,3,604.0,3.0,2024-10-26,,,ORL,"W, 124-111",*,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,0.0,0.0,,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,9.0,7.4,14.0
Marcus Smart,smartma01,2025,4,605.0,4.0,2024-10-28,,,CHI,"L, 123-126",*,,0.0,11.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,14.0
Marcus Smart,smartma01,2025,5,606.0,5.0,2024-10-30,,,BRK,"L, 106-119",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Marcus Smart,smartma01,2025,6,607.0,12.0,2024-11-13,,,LAL,"L, 123-128",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,7.0,8.0,0.875,1.0,1.0,2.0,6.0,1.0,1.0,4.0,2.0,15.0,14.4,-5.0
Marcus Smart,smartma01,2025,7,608.0,13.0,2024-11-15,,,GSW,"L, 118-123",,,4.0,11.0,0.364,1.0,6.0,0.167,3.0,5.0,0.6,0.409,0.0,0.0,,1.0,4.0,5.0,6.0,0.0,2.0,3.0,2.0,9.0,6.6,-2.0
Marcus Smart,smartma01,2025,8,609.0,18.0,2024-11-25,,,POR,"W, 123-98",,,3.0,6.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,0.5,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,6.0,6.0,11.0
Marcus Smart,smartma01,2025,9,610.0,19.0,2024-11-27,,,DET,"W, 131-111",,,8.0,12.0,0.667,7.0,11.0,0.636,1.0,1.0,1.0,0.958,2.0,2.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,2.0,0.0,25.0,26.7,25.0
Marcus Smart,smartma01,2025,10,611.0,20.0,2024-11-29,,,NOP,"W, 120-109",,,4.0,11.0,0.364,3.0,9.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,4.0,4.0,6.0,2.0,0.0,1.0,1.0,11.0,10.9,5.0
