player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Xavier Tillman Sr.,tillmxa01,2025,1,228.0,1.0,2024-10-22,,,NYK,"W, 132-109",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,0.0,0.0,,3.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,2.0,2.5,-3.0
Xavier Tillman Sr.,tillmxa01,2025,2,229.0,2.0,2024-10-24,,,WAS,"W, 122-102",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,15.0
Xavier Tillman Sr.,tillmxa01,2025,3,230.0,3.0,2024-10-26,,,DET,"W, 124-118",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,4.2,2.0
Xavier Tillman Sr.,tillmxa01,2025,4,231.0,4.0,2024-10-28,,,MIL,"W, 119-108",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-3.0,10.0
Xavier Tillman Sr.,tillmxa01,2025,5,232.0,5.0,2024-10-30,,,IND,"L, 132-135 (OT)",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,2.0
Xavier Tillman Sr.,tillmxa01,2025,6,233.0,7.0,2024-11-02,,,CHO,"W, 113-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
Xavier Tillman Sr.,tillmxa01,2025,7,234.0,8.0,2024-11-04,,,ATL,"W, 123-93",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.7,-3.0
Xavier Tillman Sr.,tillmxa01,2025,8,235.0,10.0,2024-11-08,,,BRK,"W, 108-104 (OT)",*,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-14.0
Xavier Tillman Sr.,tillmxa01,2025,9,236.0,11.0,2024-11-10,,,MIL,"W, 113-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Xavier Tillman Sr.,tillmxa01,2025,10,237.0,13.0,2024-11-13,,,BRK,"W, 139-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Xavier Tillman Sr.,tillmxa01,2025,11,238.0,16.0,2024-11-22,,,WAS,"W, 108-96",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.2,2.0
Xavier Tillman Sr.,tillmxa01,2025,12,239.0,17.0,2024-11-24,,,MIN,"W, 107-105",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,1.9,-1.0
Xavier Tillman Sr.,tillmxa01,2025,13,240.0,18.0,2024-11-25,,,LAC,"W, 126-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0
Xavier Tillman Sr.,tillmxa01,2025,14,241.0,21.0,2024-12-02,,,MIA,"W, 108-89",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.4,2.0
Xavier Tillman Sr.,tillmxa01,2025,15,242.0,22.0,2024-12-04,,,DET,"W, 130-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6,3.0
