player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Karl-Anthony Towns,townska01,2025,1,574.0,1.0,2024-10-22,,,BOS,"L, 109-132",*,,5.0,9.0,0.556,1.0,2.0,0.5,4.0,7.0,0.571,0.611,1.0,1.0,1.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,12.0,11.5,-18.0
Karl-Anthony Towns,townska01,2025,2,575.0,2.0,2024-10-25,,,IND,"W, 123-98",*,,5.0,11.0,0.455,2.0,2.0,1.0,3.0,9.0,0.333,0.545,9.0,10.0,0.9,4.0,11.0,15.0,0.0,1.0,2.0,0.0,2.0,21.0,22.6,17.0
Karl-Anthony Towns,townska01,2025,3,576.0,3.0,2024-10-28,,,CLE,"L, 104-110",*,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,4.0,4.0,1.0,1.0,9.0,10.0,3.0,1.0,0.0,3.0,6.0,13.0,10.1,-1.0
Karl-Anthony Towns,townska01,2025,4,577.0,4.0,2024-10-30,,,MIA,"W, 116-107",*,,17.0,25.0,0.68,4.0,5.0,0.8,13.0,20.0,0.65,0.76,6.0,6.0,1.0,3.0,10.0,13.0,2.0,0.0,0.0,2.0,5.0,44.0,35.8,15.0
Karl-Anthony Towns,townska01,2025,5,578.0,5.0,2024-11-01,,,DET,"W, 128-98",*,,8.0,18.0,0.444,3.0,6.0,0.5,5.0,12.0,0.417,0.528,2.0,3.0,0.667,3.0,8.0,11.0,7.0,2.0,1.0,1.0,1.0,21.0,21.9,28.0
Karl-Anthony Towns,townska01,2025,6,579.0,6.0,2024-11-04,,,HOU,"L, 97-109",*,,7.0,17.0,0.412,0.0,2.0,0.0,7.0,15.0,0.467,0.412,3.0,4.0,0.75,9.0,10.0,19.0,0.0,0.0,1.0,3.0,4.0,17.0,12.9,-26.0
Karl-Anthony Towns,townska01,2025,7,580.0,7.0,2024-11-06,,,ATL,"L, 116-121",*,,11.0,23.0,0.478,5.0,9.0,0.556,6.0,14.0,0.429,0.587,7.0,7.0,1.0,5.0,11.0,16.0,1.0,1.0,3.0,3.0,2.0,34.0,29.1,-12.0
Karl-Anthony Towns,townska01,2025,8,581.0,8.0,2024-11-08,,,MIL,"W, 116-94",*,,12.0,20.0,0.6,4.0,8.0,0.5,8.0,12.0,0.667,0.7,4.0,5.0,0.8,3.0,8.0,11.0,5.0,0.0,0.0,2.0,4.0,32.0,26.8,24.0
Karl-Anthony Towns,townska01,2025,9,582.0,9.0,2024-11-10,,,IND,"L, 121-132",*,,11.0,19.0,0.579,2.0,5.0,0.4,9.0,14.0,0.643,0.632,6.0,8.0,0.75,1.0,8.0,9.0,0.0,0.0,1.0,2.0,4.0,30.0,20.5,-13.0
Karl-Anthony Towns,townska01,2025,10,583.0,10.0,2024-11-12,,,PHI,"W, 111-99",*,,7.0,16.0,0.438,2.0,6.0,0.333,5.0,10.0,0.5,0.5,5.0,6.0,0.833,3.0,10.0,13.0,6.0,1.0,1.0,2.0,3.0,21.0,20.0,11.0
Karl-Anthony Towns,townska01,2025,11,584.0,11.0,2024-11-13,,,CHI,"L, 123-124",*,,18.0,30.0,0.6,6.0,12.0,0.5,12.0,18.0,0.667,0.7,4.0,8.0,0.5,1.0,9.0,10.0,3.0,3.0,0.0,4.0,5.0,46.0,33.1,4.0
Karl-Anthony Towns,townska01,2025,12,585.0,13.0,2024-11-17,,,BRK,"W, 114-104",*,,10.0,16.0,0.625,1.0,3.0,0.333,9.0,13.0,0.692,0.656,5.0,5.0,1.0,4.0,11.0,15.0,6.0,1.0,1.0,1.0,5.0,26.0,27.8,14.0
Karl-Anthony Towns,townska01,2025,13,586.0,14.0,2024-11-18,,,WAS,"W, 134-106",*,,8.0,14.0,0.571,3.0,4.0,0.75,5.0,10.0,0.5,0.679,5.0,5.0,1.0,1.0,11.0,12.0,3.0,0.0,0.0,0.0,1.0,24.0,23.1,22.0
Karl-Anthony Towns,townska01,2025,14,587.0,15.0,2024-11-20,,,PHO,"W, 138-122",*,,12.0,19.0,0.632,3.0,8.0,0.375,9.0,11.0,0.818,0.711,7.0,8.0,0.875,1.0,9.0,10.0,2.0,1.0,0.0,3.0,4.0,34.0,26.3,23.0
Karl-Anthony Towns,townska01,2025,15,588.0,16.0,2024-11-23,,,UTA,"L, 106-121",*,,6.0,19.0,0.316,1.0,9.0,0.111,5.0,10.0,0.5,0.342,3.0,3.0,1.0,8.0,8.0,16.0,5.0,0.0,1.0,2.0,2.0,16.0,14.5,-34.0
Karl-Anthony Towns,townska01,2025,16,589.0,17.0,2024-11-25,,,DEN,"W, 145-118",*,,12.0,15.0,0.8,2.0,2.0,1.0,10.0,13.0,0.769,0.867,4.0,6.0,0.667,1.0,14.0,15.0,4.0,3.0,0.0,4.0,4.0,30.0,28.6,21.0
Karl-Anthony Towns,townska01,2025,17,590.0,18.0,2024-11-27,,,DAL,"L, 114-129",*,,7.0,16.0,0.438,2.0,4.0,0.5,5.0,12.0,0.417,0.5,9.0,10.0,0.9,1.0,13.0,14.0,4.0,0.0,1.0,1.0,4.0,25.0,21.7,-7.0
Karl-Anthony Towns,townska01,2025,18,591.0,19.0,2024-11-29,,,CHO,"W, 99-98",*,,8.0,16.0,0.5,2.0,5.0,0.4,6.0,11.0,0.545,0.563,1.0,1.0,1.0,4.0,8.0,12.0,5.0,1.0,2.0,6.0,4.0,19.0,14.5,5.0
Karl-Anthony Towns,townska01,2025,19,592.0,20.0,2024-12-01,,,NOP,"W, 118-85",*,,4.0,12.0,0.333,1.0,5.0,0.2,3.0,7.0,0.429,0.375,5.0,5.0,1.0,3.0,16.0,19.0,2.0,1.0,1.0,2.0,1.0,14.0,14.8,17.0
Karl-Anthony Towns,townska01,2025,20,593.0,21.0,2024-12-03,,,ORL,"W, 121-106",*,,8.0,18.0,0.444,2.0,5.0,0.4,6.0,13.0,0.462,0.5,5.0,5.0,1.0,2.0,13.0,15.0,0.0,0.0,2.0,5.0,4.0,23.0,13.7,25.0
